Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribonucleoprotein	22	7.142857142857142	2.5001064783230615E-10	5721802, 5716607, 5715904, 5720697, 5721788, 5720364, 5722614, 5725206, 5723498, 5725863, 5726205, 5725358, 5726664, 5721581, 5727862, 5726079, 5724234, 5719095, 5724241, 5719099, 5718254, 5728280	308	180	14416	5.72063492063492	2.92512489785679E-8	2.7480908956381708E-8	2.3722835936705576E-8
UP_KEYWORDS	Ribosomal protein	21	6.8181818181818175	4.697591274595164E-10	5721802, 5716607, 5715904, 5720697, 5721788, 5720364, 5722614, 5725206, 5723498, 5725863, 5726205, 5725358, 5721581, 5727862, 5726079, 5724234, 5719095, 5724241, 5719099, 5718254, 5728280	308	168	14416	5.85064935064935	5.496181565423086E-8	2.7480908956381708E-8	2.3722835936705576E-8
UP_SEQ_FEATURE	chain:Histone H2A	10	3.2467532467532463	8.000267992205515E-10	5726026, 5717160, 5716280, 5716319, 5726001, 5726012, 5719121, 5717135, 5716279, 5725954	25	10	265	10.600000000000001	3.440115281527767E-8	3.520117916570427E-8	3.520117916570427E-8
UP_KEYWORDS	Oxidoreductase	23	7.467532467532467	1.6737476558257312E-8	5715766, 5724629, 5718949, 5721538, 5720157, 5720036, 5728718, 5722404, 5723945, 5722476, 5722444, 5728910, 5725400, 5722285, 5721164, 5716061, 5722095, 5728176, 5718002, 5716231, 5728173, 5715225, 5717864	308	248	14416	4.340804356933389	1.9582828513220463E-6	6.527615857720352E-7	5.634950441279961E-7
SMART	SM00414:H2A	10	3.2467532467532463	1.416693921761506E-7	5726026, 5717160, 5716280, 5716319, 5726001, 5726012, 5719121, 5717135, 5716279, 5725954	84	33	2990	10.786435786435787	9.350136835895029E-6	9.35017988362594E-6	9.35017988362594E-6
INTERPRO	IPR002119:Histone H2A	10	3.2467532467532463	2.427041930852488E-7	5726026, 5717160, 5716280, 5716319, 5726001, 5726012, 5719121, 5717135, 5716279, 5725954	252	34	9041	10.55205415499533	1.2547021100206557E-4	1.2547806782507365E-4	1.2547806782507365E-4
GOTERM_BP_DIRECT	GO:0006412~translation	24	7.792207792207792	4.5295909212200513E-7	5721802, 5716607, 5715904, 5720697, 5721788, 5720364, 5727538, 5729104, 5725206, 5723498, 5725863, 5728614, 5726205, 5725358, 5728754, 5721581, 5727862, 5726079, 5724234, 5719095, 5724241, 5719099, 5718254, 5728280	150	217	4507	3.3231336405529954	6.386520698486997E-5	6.386723198920273E-5	6.386723198920273E-5
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	23	7.467532467532467	7.196003260703753E-7	5721802, 5716607, 5715904, 5720697, 5721788, 5720364, 5727538, 5729104, 5725206, 5723498, 5725863, 5728614, 5726205, 5725358, 5721581, 5727862, 5726079, 5724234, 5719095, 5724241, 5719099, 5718254, 5728280	184	224	6102	3.4051339285714284	1.2304412948793697E-4	1.2305165575803416E-4	1.2305165575803416E-4
UP_KEYWORDS	Cytoplasm	14	4.545454545454546	1.2235964673869257E-6	5719519, 5715835, 5721802, 5727925, 5726407, 5725863, 5728767, 5719095, 5716082, 5726980, 5719388, 5716475, 5718721, 5719644	308	117	14416	5.600621600621601	1.4315062723890826E-4	3.5790196671067576E-5	3.089581080151987E-5
GOTERM_BP_DIRECT	GO:0006342~chromatin silencing	10	3.2467532467532463	1.2549276092839607E-6	5726026, 5717160, 5716280, 5716319, 5726001, 5726012, 5719121, 5717135, 5716279, 5725954	150	35	4507	8.584761904761905	1.7692925010781568E-4	8.847239645451923E-5	8.847239645451923E-5
