Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribonucleoprotein	14	9.523809523809524	3.4761116487099194E-8	5716607, 5715904, 5720697, 5721788, 5720364, 5722614, 5725206, 5725863, 5726205, 5725358, 5726664, 5726079, 5724234, 5719095	147	180	14416	7.627513227513227	2.9894516060391396E-6	2.9894560178905306E-6	2.7461282024808363E-6
UP_KEYWORDS	Ribosomal protein	13	8.843537414965986	1.3501216218869485E-7	5716607, 5715904, 5720697, 5721788, 5720364, 5722614, 5725206, 5725863, 5726205, 5725358, 5726079, 5724234, 5719095	147	168	14416	7.588597343699385	1.1610979327447701E-5	5.805522974113879E-6	5.332980406453446E-6
UP_KEYWORDS	Cytoplasm	11	7.482993197278912	2.9488417409957783E-7	5719519, 5719095, 5716082, 5715835, 5727925, 5726407, 5716475, 5718721, 5725863, 5719644, 5728767	147	117	14416	9.220070934356649	2.535972114681151E-5	8.453346324187898E-6	7.765283251288882E-6
UP_KEYWORDS	Oxidoreductase	12	8.16326530612245	4.436297686065789E-5	5715766, 5721164, 5724629, 5718949, 5721538, 5728176, 5718002, 5716231, 5728718, 5722404, 5722476, 5728910	147	248	14416	4.745227123107306	0.0038080316276271065	9.538040025041446E-4	8.761687929979933E-4
GOTERM_BP_DIRECT	GO:0006412~translation	13	8.843537414965986	7.613263800720513E-5	5716607, 5715904, 5720697, 5721788, 5720364, 5725206, 5725863, 5726205, 5725358, 5728754, 5726079, 5724234, 5719095	69	217	4507	3.9131102651439256	0.006072331318653368	0.00609061104057641	0.00609061104057641
KEGG_PATHWAY	cre03010:Ribosome	12	8.16326530612245	1.955540145764236E-4	5726079, 5724234, 5719095, 5716607, 5715904, 5720697, 5720364, 5721788, 5725206, 5725863, 5725358, 5726205	47	134	1930	3.677357891394093	0.010118265572127028	0.010168808757974027	0.010168808757974027
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	8.16326530612245	3.731281158883823E-4	5726079, 5724234, 5719095, 5716607, 5715904, 5720697, 5720364, 5721788, 5725206, 5725863, 5725358, 5726205	90	224	6102	3.632142857142857	0.03878672179891918	0.039551580284168525	0.039551580284168525
UP_KEYWORDS	Iron	7	4.761904761904762	5.034101777295588E-4	5715766, 5718949, 5719098, 5728176, 5718002, 5722404, 5728910	147	99	14416	6.934102934102933	0.04237993935556095	0.00865865505694841	0.007953880808127029
UP_KEYWORDS	WD repeat	5	3.4013605442176873	0.0015018011630700374	5721692, 5715193, 5723548, 5716475, 5718721	147	49	14416	10.006941552131057	0.1212474901675592	0.021525816670670536	0.01977371531375549
UP_KEYWORDS	Metal-binding	10	6.802721088435375	0.0060950609439976	5715766, 5724629, 5718949, 5719098, 5728176, 5725094, 5718002, 5722404, 5723630, 5728910	147	327	14416	2.9990222388649648	0.4089053972302662	0.0721756404239381	0.06630087899408267
