Annotation Cluster 1	Enrichment Score: 24.742620208019364
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribonucleoprotein	38	15.767634854771783	4.266768417747502E-30	5716844, 5720646, 5719839, 5720945, 5722926, 5722589, 5722105, 5722288, 5723498, 5725138, 5725358, 5726664, 5717290, 5719095, 5724241, 5717299, 5728280, 5721805, 5715546, 5723924, 5721802, 5715848, 5715904, 5722438, 5720458, 5727924, 5725206, 5727008, 5729217, 5726114, 5724234, 5726079, 5719183, 5727201, 5727882, 5715022, 5728094, 5718833	241	180	14416	12.62812355924389	4.394771470279927E-28	2.882071116252625E-28	2.378408202732749E-28
UP_KEYWORDS	Ribosomal protein	37	15.352697095435685	5.5962545946652915E-30	5716844, 5720646, 5719839, 5720945, 5722926, 5722589, 5722105, 5722288, 5723498, 5725138, 5725358, 5717290, 5719095, 5724241, 5717299, 5728280, 5721805, 5715546, 5723924, 5721802, 5715848, 5715904, 5722438, 5720458, 5727924, 5725206, 5727008, 5729217, 5726114, 5724234, 5726079, 5719183, 5727201, 5727882, 5715022, 5728094, 5718833	241	168	14416	13.174076269511955	5.76414223250525E-28	2.882071116252625E-28	2.378408202732749E-28
KEGG_PATHWAY	cre03010:Ribosome	37	15.352697095435685	8.3512137083533155E-22	5716844, 5720646, 5719839, 5720945, 5722926, 5722589, 5722105, 5722288, 5723498, 5725138, 5725358, 5717290, 5719095, 5724241, 5717299, 5728280, 5721805, 5715546, 5723924, 5721802, 5715848, 5715904, 5722438, 5720458, 5727924, 5725206, 5727008, 5729217, 5726114, 5724234, 5726079, 5719183, 5727201, 5727882, 5715022, 5728094, 5718833	85	134	1930	6.269534679543459	4.0920947170931243E-20	4.0920947170931243E-20	4.0920947170931243E-20
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	38	15.767634854771783	5.3675121313824307E-20	5716844, 5720646, 5720945, 5722926, 5722589, 5722105, 5722288, 5723498, 5725138, 5725358, 5717290, 5719095, 5724241, 5717299, 5728280, 5721805, 5715546, 5720839, 5723924, 5721802, 5715848, 5715904, 5722438, 5720458, 5727924, 5725206, 5727008, 5729217, 5726114, 5724234, 5726079, 5719183, 5727201, 5727882, 5722051, 5715022, 5728094, 5718833	165	224	6102	6.273701298701299	6.279989193717444E-18	6.279989193717444E-18	6.118963829775971E-18

Annotation Cluster 2	Enrichment Score: 22.629839622493083
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00417:H4	30	12.448132780082988	2.539623694983396E-44	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	67	37	2990	36.18394513916902	8.634720562943546E-43	8.634720562943546E-43	8.634720562943546E-43
INTERPRO	IPR019809:Histone H4, conserved site	30	12.448132780082988	1.190949673026591E-41	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	208	37	9041	35.24298336798336	4.430332783658918E-39	4.430332783658918E-39	4.430332783658918E-39
INTERPRO	IPR001951:Histone H4	30	12.448132780082988	1.884321504300081E-40	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	208	39	9041	33.435650887573956	7.009675995996302E-38	3.504837997998151E-38	3.504837997998151E-38
UP_SEQ_FEATURE	chain:Histone H4	30	12.448132780082988	1.668698759281234E-27	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	43	30	265	6.162790697674419	5.506705905628071E-26	5.673575781556195E-26	5.673575781556195E-26
UP_KEYWORDS	Nucleosome core	30	12.448132780082988	2.736264027887988E-23	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	241	146	14416	12.291252202580571	2.8183519487246278E-21	9.39450649574876E-22	7.752748079015967E-22
UP_KEYWORDS	Chromosome	30	12.448132780082988	1.1095527195144644E-22	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	241	153	14416	11.728907330567083	1.1428393010998983E-20	2.8570982527497457E-21	2.3577995289682367E-21
UP_KEYWORDS	DNA-binding	30	12.448132780082988	1.4811666230952585E-19	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	241	196	14416	9.155728681514098	1.5256016217881164E-17	3.0512032435762328E-18	2.5179832592619397E-18
GOTERM_CC_DIRECT	GO:0000786~nucleosome	30	12.448132780082988	1.2159170480497438E-18	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	166	130	5706	7.9323447636700655	8.633011041153182E-17	4.316505520576591E-17	4.2557096681741035E-17
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	30	12.448132780082988	1.9703143614877425E-18	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	144	123	4507	7.6338075880758804	2.088533223177007E-16	2.088533223177007E-16	2.0688300795621295E-16
INTERPRO	IPR009072:Histone-fold	30	12.448132780082988	2.7849465781346105E-18	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	208	163	9041	7.999941009910334	1.036000127066075E-15	3.453333756886917E-16	3.453333756886917E-16
UP_KEYWORDS	Nucleus	32	13.278008298755188	9.058782235600412E-18	5721959, 5716449, 5728909, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5721692, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	241	266	14416	7.1960814900321335	9.330545702668425E-16	1.5550909504447374E-16	1.283327483376725E-16
GOTERM_MF_DIRECT	GO:0003677~DNA binding	30	12.448132780082988	2.063447545156999E-7	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	165	379	6102	2.9273207004077717	2.4142047344022366E-5	1.2071168139168445E-5	1.1761651007394895E-5
GOTERM_CC_DIRECT	GO:0005634~nucleus	34	14.107883817427386	0.0012163532717513626	5721959, 5716449, 5728909, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5721692, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5727204, 5721781, 5726011, 5717168, 5716454, 5716930	166	667	5706	1.7521721067177254	0.08278525104695089	0.021590270573586687	0.021286182255648847

Annotation Cluster 3	Enrichment Score: 3.1803953088261463
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Photosystem I	7	2.904564315352697	2.5636778828363126E-5	5723050, 5728187, 5716179, 5722300, 5719625, 5719633, 5720993	241	36	14416	11.631166436145689	0.0026371386923048634	3.7722688847448597E-4	3.113037429158379E-4
UP_KEYWORDS	Photosynthesis	8	3.319502074688797	3.673042444572957E-4	5720328, 5723050, 5728187, 5716179, 5722300, 5719625, 5719633, 5720993	241	80	14416	5.981742738589212	0.0371323260652312	0.004203593019900162	0.0034689845309855707
UP_KEYWORDS	Thylakoid	8	3.319502074688797	5.320006081618728E-4	5720328, 5723050, 5728187, 5716179, 5722300, 5719625, 5719633, 5720993	241	85	14416	5.629875518672199	0.05333561203924586	0.00547960626406729	0.004522005169375919
UP_KEYWORDS	Chloroplast	10	4.149377593360995	0.0015740875403980987	5720328, 5723050, 5728187, 5716179, 5724279, 5722300, 5719625, 5719633, 5722796, 5720993	241	162	14416	3.6924337892525996	0.14977882284860344	0.012825080281736982	0.010583804115996541
UP_KEYWORDS	Plastid	10	4.149377593360995	0.0017074026994230297	5720328, 5723050, 5728187, 5716179, 5724279, 5722300, 5719625, 5719633, 5722796, 5720993	241	164	14416	3.6474041088958606	0.16139273680525723	0.012825080281736982	0.010583804115996541
GOTERM_CC_DIRECT	GO:0010287~plastoglobule	6	2.4896265560165975	0.006144149431875978	5723050, 5728187, 5722300, 5719625, 5719633, 5720993	166	41	5706	5.030267411107846	0.35440329754896194	0.08724692193263889	0.08601809204626369

Annotation Cluster 4	Enrichment Score: 2.225302341085208
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Photosystem II	6	2.4896265560165975	8.706735119742385E-4	5720328, 5723050, 5728187, 5719625, 5719633, 5720993	241	45	14416	7.975656984785615	0.08581144758788173	0.00815267015757696	0.006727931683437298
UP_KEYWORDS	Chlorophyll	5	2.0746887966804977	0.0018677301381170364	5723050, 5728187, 5719625, 5719633, 5720993	241	32	14416	9.346473029045642	0.1751519419362827	0.012825080281736982	0.010583804115996541
UP_KEYWORDS	Chromophore	5	2.0746887966804977	0.0018677301381170364	5723050, 5728187, 5719625, 5719633, 5720993	241	32	14416	9.346473029045642	0.1751519419362827	0.012825080281736982	0.010583804115996541
INTERPRO	IPR001344:Chlorophyll A-B binding protein, plant	5	2.0746887966804977	0.0023147485287810434	5723050, 5728187, 5719625, 5719633, 5720993	208	25	9041	8.69326923076923	0.5777191194348055	0.12301235038664975	0.12301235038664975
INTERPRO	IPR023329:Chlorophyll a/b binding protein domain	5	2.0746887966804977	0.0035512486394346713	5723050, 5728187, 5719625, 5719633, 5720993	208	28	9041	7.761847527472527	0.7337756158687783	0.16513306173371223	0.16513306173371223
GOTERM_MF_DIRECT	GO:0031409~pigment binding	5	2.0746887966804977	0.0040932273487404094	5723050, 5728187, 5719625, 5719633, 5720993	165	25	6102	7.396363636363636	0.3811487991251338	0.11972689995065698	0.11665697943910167
GOTERM_CC_DIRECT	GO:0010287~plastoglobule	6	2.4896265560165975	0.006144149431875978	5723050, 5728187, 5722300, 5719625, 5719633, 5720993	166	41	5706	5.030267411107846	0.35440329754896194	0.08724692193263889	0.08601809204626369
GOTERM_BP_DIRECT	GO:0009768~photosynthesis, light harvesting in photosystem I	5	2.0746887966804977	0.007313960205329244	5723050, 5728187, 5719625, 5719633, 5720993	144	25	4507	6.259722222222223	0.5407354462144187	0.15505595635297997	0.1535931643119141
UP_KEYWORDS	Magnesium	6	2.4896265560165975	0.007353023953700358	5723050, 5728187, 5722217, 5719625, 5719633, 5720993	241	73	14416	4.916500881032228	0.5324082257045806	0.04455067454300805	0.03676511976850179
GOTERM_MF_DIRECT	GO:0016168~chlorophyll binding	5	2.0746887966804977	0.012446838475901889	5723050, 5728187, 5719625, 5719633, 5720993	165	34	6102	5.438502673796791	0.7690188229768418	0.24495589829210349	0.23867497782307517
