Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribosomal protein	53	16.158536585365855	4.595791200875595E-45	5722589, 5722105, 5720364, 5725138, 5719095, 5724241, 5715690, 5719099, 5728280, 5715546, 5723924, 5715904, 5720697, 5721788, 5722438, 5720458, 5727924, 5721069, 5725863, 5727008, 5729217, 5726114, 5721581, 5723486, 5726079, 5724135, 5727201, 5719183, 5727882, 5718254, 5715022, 5728094, 5715302, 5716844, 5725519, 5720945, 5716607, 5720023, 5722288, 5728549, 5726205, 5725358, 5717290, 5728341, 5717299, 5716444, 5721805, 5716018, 5721802, 5715848, 5725206, 5724234, 5718833	328	168	14416	13.865563298490128	5.9285706491295175E-43	5.9285706491295175E-43	4.917496584936887E-43
UP_KEYWORDS	Ribonucleoprotein	54	16.463414634146343	1.210686220262375E-44	5722589, 5722105, 5720364, 5725138, 5726664, 5719095, 5724241, 5715690, 5719099, 5728280, 5715546, 5723924, 5715904, 5720697, 5721788, 5722438, 5720458, 5727924, 5721069, 5725863, 5727008, 5729217, 5726114, 5721581, 5723486, 5726079, 5724135, 5727201, 5719183, 5727882, 5718254, 5715022, 5728094, 5715302, 5716844, 5725519, 5720945, 5716607, 5720023, 5722288, 5728549, 5726205, 5725358, 5717290, 5728341, 5717299, 5716444, 5721805, 5716018, 5721802, 5715848, 5725206, 5724234, 5718833	328	180	14416	13.185365853658537	1.5617852241384636E-42	7.808926120692318E-43	6.477171278403706E-43
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	56	17.073170731707318	1.0848141589750312E-31	5717878, 5722589, 5722105, 5720364, 5725138, 5719095, 5724241, 5715690, 5719099, 5728280, 5715546, 5723924, 5715904, 5720697, 5721788, 5722438, 5720458, 5727924, 5728614, 5721069, 5725863, 5727008, 5729217, 5726114, 5721581, 5723486, 5726079, 5724135, 5727201, 5719183, 5727882, 5718254, 5715022, 5728094, 5715302, 5716844, 5725519, 5720945, 5716607, 5720023, 5722288, 5728549, 5726205, 5725358, 5717290, 5728341, 5717299, 5716444, 5721805, 5716018, 5720839, 5721802, 5715848, 5725206, 5724234, 5718833	226	224	6102	6.75	2.0286024772833085E-29	2.0286024772833085E-29	2.0286024772833085E-29
KEGG_PATHWAY	cre03010:Ribosome	52	15.853658536585366	6.712654565886524E-28	5722589, 5722105, 5720364, 5725138, 5719095, 5724241, 5715690, 5719099, 5728280, 5715546, 5723924, 5715904, 5720697, 5721788, 5722438, 5720458, 5727924, 5721069, 5725863, 5727008, 5729217, 5726114, 5721581, 5726079, 5724135, 5727201, 5719183, 5727882, 5718254, 5715022, 5728094, 5715302, 5716844, 5725519, 5720945, 5716607, 5720023, 5722288, 5728549, 5726205, 5725358, 5717290, 5728341, 5717299, 5716444, 5721805, 5716018, 5721802, 5715848, 5725206, 5724234, 5718833	138	134	1930	5.427211767250703	4.497478559143971E-26	4.497478559143971E-26	4.497478559143971E-26
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	29	8.841463414634147	2.4702707154685905E-27	5720945, 5716607, 5722589, 5720023, 5720364, 5725138, 5725358, 5717290, 5724241, 5728341, 5715690, 5717299, 5728280, 5715546, 5715848, 5715904, 5722438, 5720458, 5725206, 5721069, 5729217, 5726114, 5724135, 5727201, 5718254, 5715022, 5728094, 5718833, 5715302	223	50	5706	14.840717488789236	2.346757179695161E-25	2.346757179695161E-25	2.346757179695161E-25
GOTERM_BP_DIRECT	GO:0006412~translation	48	14.634146341463413	8.98687697705118E-23	5717878, 5716844, 5725519, 5720945, 5716607, 5722105, 5720023, 5720364, 5728549, 5721993, 5726205, 5725358, 5717290, 5719095, 5724241, 5728341, 5719099, 5715690, 5717299, 5716444, 5728280, 5721805, 5716018, 5720839, 5723924, 5721802, 5715848, 5715904, 5720697, 5721788, 5722438, 5727924, 5725206, 5725863, 5728614, 5727008, 5721069, 5727887, 5721581, 5723486, 5724234, 5726079, 5719183, 5727201, 5727882, 5718254, 5728094, 5715302	187	217	4507	5.331230439389833	1.6625722407544682E-20	1.6625722407544682E-20	1.6625722407544682E-20
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	16	4.878048780487805	4.863471138093228E-12	5716018, 5721805, 5716844, 5723924, 5725519, 5720697, 5727924, 5722288, 5728549, 5727008, 5721581, 5724234, 5719095, 5719183, 5727882, 5716444	223	39	5706	10.497412901000345	4.6202708325893127E-10	2.3101487905942834E-10	2.3101487905942834E-10
UP_KEYWORDS	Cytoplasm	18	5.487804878048781	1.1298354330848535E-9	5719519, 5721802, 5718906, 5722217, 5724549, 5725863, 5727345, 5719095, 5716082, 5728641, 5718481, 5727165, 5717531, 5716475, 5728480, 5718721, 5719644, 5715302	328	117	14416	6.761726078799249	1.4574876217032795E-7	4.8582923622648696E-8	4.029746378002644E-8
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	9	2.7439024390243905	1.280641133283427E-7	5726114, 5715546, 5724135, 5722589, 5715022, 5720458, 5718833, 5725138, 5729217	187	17	4507	12.759672853098458	2.369158183013198E-5	1.18459304828717E-5	1.18459304828717E-5
UP_KEYWORDS	Oxidoreductase	21	6.402439024390244	9.734381658030894E-7	5715766, 5715019, 5724629, 5718949, 5720157, 5728718, 5722009, 5724549, 5727901, 5723213, 5722476, 5720015, 5722372, 5726125, 5722285, 5724296, 5728176, 5718002, 5726062, 5716231, 5715870	328	248	14416	3.721675845790716	1.2556570048150029E-4	3.1393380847149636E-5	2.6039470935232643E-5
