Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Chromosome	82	28.47222222222222	1.511392836490228E-99	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5726025, 5727630, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5723501, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	288	153	14416	26.82716049382716	1.2091142691921825E-97	1.2091142691921825E-97	1.133544627367671E-97
UP_KEYWORDS	Nucleosome core	80	27.77777777777778	4.897777324926738E-98	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5726025, 5727630, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5727766, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	288	146	14416	27.427701674277017	3.91822185994139E-96	1.959110929970695E-96	1.8366664968475266E-96
GOTERM_CC_DIRECT	GO:0000786~nucleosome	82	28.47222222222222	4.87757259759691E-96	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5726025, 5727630, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5723501, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	179	130	5706	20.107090674688443	3.414300818317837E-94	3.414300818317837E-94	3.414300818317837E-94
INTERPRO	IPR009072:Histone-fold	81	28.125	3.8495169998566705E-90	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5726025, 5727630, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5727766, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5723501, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	218	163	9041	20.609022344796532	9.23884079965601E-88	9.23884079965601E-88	9.23884079965601E-88
UP_KEYWORDS	DNA-binding	82	28.47222222222222	4.2816807508391453E-88	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5726025, 5727630, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5723501, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	288	196	14416	20.941609977324262	3.425344600671316E-86	1.1417815335571055E-86	1.0704201877097863E-86
UP_KEYWORDS	Nucleus	87	30.208333333333332	9.050090406595318E-83	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5722186, 5726025, 5727630, 5719530, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5717160, 5721781, 5716471, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5721359, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5715151, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5723501, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	288	266	14416	16.371553884711776	7.2400723252762545E-81	1.8100180813190636E-81	1.6968919512366221E-81
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	66	22.916666666666664	1.2184878552546475E-69	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726025, 5727630, 5716266, 5716466, 5716467, 5723807, 5716318, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5721781, 5716276, 5717168, 5717167, 5716278, 5721959, 5716449, 5724508, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5726006, 5726000, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717178, 5719118, 5721929, 5721962, 5721963, 5721766, 5721767, 5723501, 5726011, 5716450, 5716453, 5716454	146	123	4507	16.5643167390578	1.0600844340715433E-67	1.0600844340715433E-67	1.0600844340715433E-67
GOTERM_MF_DIRECT	GO:0003677~DNA binding	82	28.47222222222222	2.11139306284518E-55	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5726025, 5727630, 5717990, 5716266, 5718644, 5716466, 5716467, 5723807, 5716318, 5716319, 5721900, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5716449, 5724508, 5721956, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5728507, 5721954, 5728505, 5725954, 5726006, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721962, 5721963, 5721766, 5721965, 5721767, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	167	379	6102	7.905518777747934	1.9424816178175657E-53	1.9424816178175657E-53	1.9424816178175657E-53
INTERPRO	IPR007125:Histone core	51	17.708333333333336	5.197928856532106E-53	5717958, 5721777, 5721778, 5725975, 5728604, 5721893, 5726026, 5727630, 5718644, 5716467, 5716319, 5721900, 5721748, 5723806, 5721902, 5725949, 5727766, 5717160, 5716276, 5717167, 5716278, 5716279, 5724508, 5721956, 5721836, 5725959, 5721958, 5723811, 5721953, 5728505, 5725954, 5726006, 5716280, 5726001, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5718639, 5721929, 5721969, 5721963, 5721965, 5721767, 5723501, 5726012, 5719121, 5716450, 5716453	218	110	9041	19.22814845704754	1.2475029255677054E-50	6.237514627838527E-51	6.237514627838527E-51
UP_KEYWORDS	Methylation	34	11.805555555555555	1.8132763582195195E-48	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	288	43	14416	39.57881136950904	1.4506210865756157E-46	2.901242173151231E-47	2.7199145373292794E-47
INTERPRO	IPR000164:Histone H3	35	12.152777777777777	2.7589667572309775E-48	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5723501, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	218	43	9041	33.75666737785364	6.621520217354346E-46	2.207173405784782E-46	2.207173405784782E-46
GOTERM_MF_DIRECT	GO:0031492~nucleosomal DNA binding	35	12.152777777777777	8.035722251841396E-47	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5723501, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	167	43	6102	29.740983149979108	7.392864471694085E-45	3.6964322358470424E-45	3.6964322358470424E-45
UP_KEYWORDS	Phosphoprotein	34	11.805555555555555	3.008585433190481E-46	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	288	47	14416	36.21040189125296	2.406868346552385E-44	4.011447244253975E-45	3.760731791488101E-45
SMART	SM00428:H3	35	12.152777777777777	9.407530900857813E-44	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5723501, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	112	42	2990	22.247023809523807	3.104485197283078E-42	3.104485197283078E-42	3.104485197283078E-42
UP_KEYWORDS	Acetylation	34	11.805555555555555	1.6011081215481136E-43	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	288	53	14416	32.111111111111114	1.2808864972384908E-41	1.8298378531978442E-42	1.7154729873729787E-42
INTERPRO	IPR019809:Histone H4, conserved site	30	10.416666666666668	5.120598189955172E-41	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	218	37	9041	33.626332754773124	1.228943565589241E-38	3.072358913973103E-39	3.072358913973103E-39
INTERPRO	IPR001951:Histone H4	30	10.416666666666668	8.083464851038312E-40	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	218	39	9041	31.901905434015525	1.940031564249195E-37	3.88006312849839E-38	3.88006312849839E-38
SMART	SM00417:H4	30	10.416666666666668	2.103271519816757E-36	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	112	37	2990	21.645752895752896	6.940796015395298E-35	3.470398007697649E-35	3.470398007697649E-35
GOTERM_CC_DIRECT	GO:0005634~nucleus	83	28.819444444444443	1.1419170270200594E-31	5717958, 5721930, 5721776, 5721777, 5721778, 5725975, 5721892, 5728604, 5721893, 5728603, 5721972, 5726026, 5722186, 5726025, 5727630, 5719530, 5716266, 5716466, 5716467, 5723807, 5716318, 5716319, 5721901, 5721748, 5723806, 5721902, 5725949, 5721749, 5721745, 5727766, 5726873, 5717160, 5721781, 5716276, 5717168, 5717167, 5716278, 5716279, 5721959, 5715556, 5716449, 5724508, 5721835, 5721836, 5725959, 5721958, 5723811, 5723810, 5721953, 5725955, 5721359, 5728507, 5721954, 5728505, 5725954, 5723058, 5726006, 5728469, 5716280, 5726000, 5726001, 5716482, 5717133, 5717177, 5716484, 5717132, 5716320, 5716485, 5717135, 5717178, 5719118, 5721929, 5721962, 5721963, 5721766, 5721767, 5723501, 5726011, 5726012, 5719121, 5716450, 5716453, 5716454	179	667	5706	3.966714966539077	7.993419189140416E-30	3.996709594570208E-30	3.996709594570208E-30
UP_SEQ_FEATURE	site:Not N6-methylated	34	11.805555555555555	4.242211603967777E-20	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	76	34	265	3.486842105263158	6.787538566348443E-19	2.403919908915074E-19	2.403919908915074E-19
UP_SEQ_FEATURE	site:Not N6-acetylated	34	11.805555555555555	4.242211603967777E-20	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	76	34	265	3.486842105263158	6.787538566348443E-19	2.403919908915074E-19	2.403919908915074E-19
UP_SEQ_FEATURE	chain:Histone H3 type 2	34	11.805555555555555	4.242211603967777E-20	5724508, 5717958, 5725959, 5721836, 5721958, 5723811, 5721777, 5721953, 5721778, 5725975, 5728604, 5728505, 5721893, 5726006, 5727630, 5717132, 5716485, 5716320, 5717178, 5716467, 5719118, 5721929, 5721748, 5723806, 5721902, 5725949, 5721963, 5721767, 5727766, 5716450, 5716276, 5716453, 5717167, 5716278	76	34	265	3.486842105263158	6.787538566348443E-19	2.403919908915074E-19	2.403919908915074E-19
UP_SEQ_FEATURE	chain:Histone H4	30	10.416666666666668	2.8409972499683526E-17	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	76	30	265	3.486842105263158	4.545595599949364E-16	1.2074238312365497E-16	1.2074238312365497E-16
INTERPRO	IPR002119:Histone H2A	16	5.555555555555555	3.761184441185687E-16	5718639, 5716319, 5721900, 5721956, 5721969, 5721965, 5725954, 5726026, 5717160, 5716280, 5726001, 5726012, 5719121, 5717135, 5718644, 5716279	218	34	9041	19.516459794927147	7.993605777301127E-14	1.504473776474275E-14	1.504473776474275E-14
GOTERM_BP_DIRECT	GO:0006342~chromatin silencing	17	5.902777777777778	1.3361255503637346E-15	5718639, 5716319, 5721900, 5721956, 5721969, 5724824, 5721965, 5725954, 5726026, 5717160, 5716280, 5726001, 5726012, 5719121, 5717135, 5718644, 5716279	146	35	4507	14.993933463796477	1.1590728377086634E-13	5.812146144082246E-14	5.812146144082246E-14
SMART	SM00414:H2A	16	5.555555555555555	8.040096371850748E-14	5718639, 5716319, 5721900, 5721956, 5721969, 5721965, 5725954, 5726026, 5717160, 5716280, 5726001, 5726012, 5719121, 5717135, 5718644, 5716279	112	33	2990	12.943722943722943	2.652544850434424E-12	8.844106009035822E-13	8.844106009035822E-13
GOTERM_CC_DIRECT	GO:0000790~nuclear chromatin	16	5.555555555555555	1.8728295498384912E-13	5718639, 5716319, 5721900, 5721956, 5721969, 5721965, 5725954, 5726026, 5717160, 5716280, 5726001, 5726012, 5719121, 5717135, 5718644, 5716279	179	39	5706	13.077782552642889	1.3110623697798474E-11	4.3699356162898125E-12	4.3699356162898125E-12
UP_SEQ_FEATURE	chain:Histone H2A	10	3.4722222222222223	6.230283276024532E-5	5726026, 5717160, 5716280, 5716319, 5726001, 5726012, 5719121, 5717135, 5716279, 5725954	76	10	265	3.486842105263158	9.963796624083976E-4	2.1182963138483409E-4	2.1182963138483409E-4
KEGG_PATHWAY	cre03020:RNA polymerase	5	1.7361111111111112	9.827459313608523E-4	5716471, 5715151, 5717707, 5717990, 5718447	31	30	1930	10.376344086021506	0.03192581932289984	0.03243061573490812	0.03243061573490812
UP_KEYWORDS	DNA-directed RNA polymerase	5	1.7361111111111112	0.0013989519755921356	5716471, 5715151, 5717707, 5717990, 5718447	288	25	14416	10.011111111111111	0.1059508375791397	0.013989519755921356	0.01311517477117627
KEGG_PATHWAY	cre00240:Pyrimidine metabolism	6	2.083333333333333	0.007552282426298849	5716471, 5715151, 5717707, 5717990, 5716110, 5718447	31	82	1930	4.555468135326515	0.2213325326477189	0.10091756836621539	0.10091756836621539
KEGG_PATHWAY	cre00230:Purine metabolism	7	2.430555555555556	0.009174324396928672	5716471, 5715151, 5717707, 5717990, 5716110, 5726778, 5718447	31	121	1930	3.6017062116768863	0.2622498293100439	0.10091756836621539	0.10091756836621539
GOTERM_MF_DIRECT	GO:0003899~DNA-directed RNA polymerase activity	5	1.7361111111111112	0.01579772365316113	5716471, 5715151, 5717707, 5717990, 5718447	167	36	6102	5.074850299401198	0.7689204059780943	0.484463525363608	0.484463525363608
UP_KEYWORDS	Transcription	5	1.7361111111111112	0.03311537269955949	5716471, 5715151, 5717707, 5717990, 5718447	288	61	14416	4.102914389799635	0.9323959945804137	0.27506433353359927	0.2578728126877493
UP_KEYWORDS	Ubl conjugation pathway	4	1.3888888888888888	0.03438304169169991	5728356, 5722155, 5720449, 5721359	288	36	14416	5.561728395061728	0.9391317600440691	0.27506433353359927	0.2578728126877493
INTERPRO	IPR010400:PITH domain	2	0.6944444444444444	0.047430045818647674	5725486, 5727092	218	2	9041	41.472477064220186	0.9999913850860146	1.0	1.0
INTERPRO	IPR012336:Thioredoxin-like fold	7	2.430555555555556	0.04878173534949638	5728248, 5727301, 5722919, 5727909, 5726320, 5727529, 5724764	218	110	9041	2.639157631359466	0.9999938730635919	1.0	1.0
INTERPRO	IPR012340:Nucleic acid-binding, OB-fold	5	1.7361111111111112	0.05832730333968598	5724770, 5717707, 5722002, 5723058, 5718447	218	61	9041	3.3993833659196873	0.9999994555038328	1.0	1.0
PIR_SUPERFAMILY	PIRSF005586:DNA-directed RNA polymerase subunit, RpoM type	2	0.6944444444444444	0.05953748108857806	5716471, 5715151	9	3	396	29.333333333333332	0.3880274599556539	0.47629984870862446	0.47629984870862446
GOTERM_CC_DIRECT	GO:0005665~DNA-directed RNA polymerase II, core complex	3	1.0416666666666665	0.060238755066226765	5716471, 5717707, 5717990	179	13	5706	7.356252685861624	0.9870810512651077	1.0	1.0
INTERPRO	IPR011051:RmlC-like cupin domain	3	1.0416666666666665	0.06157164557049717	5717712, 5719530, 5725646	218	17	9041	7.31867242309768	0.9999997621686271	1.0	1.0
INTERPRO	IPR012164:DNA-directed RNA polymerase, subunit C11/M/9	2	0.6944444444444444	0.07029846932372494	5716471, 5715151	218	3	9041	27.648318042813457	0.999999974738971	1.0	1.0
INTERPRO	IPR005576:RNA polymerase Rpb7, N-terminal	2	0.6944444444444444	0.07029846932372494	5717707, 5718447	218	3	9041	27.648318042813457	0.999999974738971	1.0	1.0
INTERPRO	IPR001222:Zinc finger, TFIIS-type	2	0.6944444444444444	0.09262035825355154	5716471, 5715151	218	4	9041	20.736238532110093	0.9999999999259769	1.0	1.0
INTERPRO	IPR002052:DNA methylase, N-6 adenine-specific, conserved site	2	0.6944444444444444	0.09262035825355154	5728320, 5715483	218	4	9041	20.736238532110093	0.9999999999259769	1.0	1.0
