	intron	intergenic	five_prime_UTR	three_prime_UTR	CDS
simulated_1	9.0	0.0	0.0	1.0	7.0
simulated_2	3.0	3.0	0.0	3.0	11.0
simulated_3	1.0	2.0	0.0	6.0	11.0
simulated_4	0.0	2.0	1.0	4.0	9.0
simulated_5	0.0	2.0	0.0	6.0	14.0
simulated_6	0.0	4.0	1.0	3.0	17.0
simulated_7	0.0	2.0	3.0	5.0	16.0
simulated_8	0.0	4.0	2.0	5.0	17.0
simulated_9	0.0	4.0	1.0	7.0	11.0
simulated_10	0.0	4.0	1.0	2.0	18.0
simulated_11	0.0	1.0	0.0	5.0	10.0
simulated_12	0.0	2.0	1.0	5.0	11.0
simulated_13	0.0	2.0	3.0	7.0	10.0
simulated_14	0.0	3.0	1.0	5.0	9.0
simulated_15	0.0	5.0	2.0	2.0	10.0
simulated_16	0.0	3.0	1.0	3.0	9.0
simulated_17	0.0	2.0	2.0	4.0	9.0
simulated_18	0.0	1.0	2.0	1.0	17.0
simulated_19	0.0	1.0	1.0	0.0	14.0
simulated_20	0.0	1.0	1.0	5.0	7.0
simulated_21	0.0	2.0	2.0	2.0	8.0
simulated_22	0.0	2.0	0.0	6.0	12.0
simulated_23	0.0	4.0	0.0	5.0	9.0
simulated_24	0.0	3.0	2.0	2.0	15.0
simulated_25	0.0	3.0	3.0	2.0	16.0
simulated_26	0.0	2.0	3.0	4.0	12.0
simulated_27	0.0	1.0	1.0	3.0	11.0
simulated_28	0.0	4.0	2.0	4.0	17.0
simulated_29	0.0	3.0	4.0	4.0	13.0
simulated_30	0.0	4.0	2.0	4.0	12.0
simulated_31	0.0	3.0	1.0	4.0	9.0
simulated_32	0.0	4.0	2.0	3.0	13.0
simulated_33	0.0	4.0	1.0	4.0	8.0
simulated_34	0.0	2.0	2.0	4.0	12.0
simulated_35	0.0	1.0	2.0	4.0	10.0
simulated_36	0.0	2.0	5.0	4.0	25.0
simulated_37	0.0	3.0	0.0	7.0	7.0
simulated_38	0.0	3.0	3.0	3.0	9.0
simulated_39	0.0	6.0	2.0	5.0	14.0
simulated_40	0.0	1.0	1.0	6.0	12.0
simulated_41	0.0	5.0	0.0	0.0	8.0
simulated_42	0.0	4.0	1.0	4.0	13.0
simulated_43	0.0	3.0	1.0	4.0	4.0
simulated_44	0.0	2.0	3.0	3.0	12.0
simulated_45	0.0	4.0	0.0	1.0	14.0
simulated_46	0.0	2.0	1.0	4.0	6.0
simulated_47	0.0	7.0	3.0	3.0	18.0
simulated_48	0.0	4.0	0.0	1.0	14.0
simulated_49	0.0	2.0	2.0	5.0	13.0
simulated_50	0.0	3.0	2.0	3.0	8.0
simulated_51	0.0	5.0	0.0	2.0	18.0
simulated_52	0.0	1.0	1.0	2.0	17.0
simulated_53	0.0	0.0	2.0	2.0	16.0
simulated_54	0.0	7.0	4.0	6.0	10.0
simulated_55	0.0	2.0	0.0	1.0	7.0
simulated_56	0.0	3.0	1.0	2.0	12.0
simulated_57	0.0	1.0	4.0	2.0	12.0
simulated_58	0.0	2.0	2.0	6.0	7.0
simulated_59	0.0	4.0	1.0	4.0	13.0
simulated_60	0.0	2.0	2.0	3.0	8.0
simulated_61	0.0	2.0	2.0	6.0	11.0
simulated_62	0.0	1.0	1.0	7.0	11.0
simulated_63	0.0	2.0	0.0	4.0	5.0
simulated_64	0.0	2.0	3.0	3.0	16.0
simulated_65	0.0	3.0	3.0	4.0	10.0
simulated_66	0.0	7.0	3.0	4.0	12.0
simulated_67	0.0	2.0	3.0	4.0	20.0
simulated_68	0.0	3.0	1.0	3.0	19.0
simulated_69	0.0	2.0	1.0	4.0	14.0
