	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
CC2344-L1	1.0	1.0	1.0	0.614	0.0	0.631	0.878
CC2344-L2	1.0	1.0	1.0	1.0	0.541	0.288	0.655
CC2344-L3	1.0	1.0	1.0	0.105	0.644	0.522	0.119
CC2344-L4	1.0	1.0	1.0	0.59	0.201	0.337	0.0
CC2344-L5	1.0	1.0	1.0	1.0	0.142	0.643	0.155
CC2344-L6	1.0	1.0	1.0	0.02	0.781	0.068	0.0
CC2344-L7	1.0	1.0	1.0	1.0	1.0	0.497	0.644
CC2344-L8	1.0	1.0	1.0	0.536	0.784	0.4	0.038
CC2344-L9	1.0	0.065	1.0	0.988	1.0	0.001	0.0
CC2344-L10	1.0	1.0	1.0	0.706	0.169	0.0	0.464
CC2344-L11	1.0	1.0	1.0	0.33	0.037	0.074	0.003
CC2344-L12	1.0	1.0	1.0	0.916	0.745	0.148	0.0
CC2344-L13	1.0	1.0	1.0	1.0	1.0	0.023	0.917
CC2344-L14	1.0	1.0	1.0	0.095	0.589	0.261	0.829
CC2344-L15	1.0	1.0	1.0	0.706	0.423	0.0	0.238
CC2931-L1	1.0	1.0	1.0	0.518	0.794	0.012	0.763
CC2931-L2	1.0	1.0	1.0	0.289	0.627	0.15	0.295
CC2931-L3	1.0	1.0	1.0	0.229	0.422	0.568	0.318
CC2931-L4	1.0	1.0	1.0	0.376	0.378	0.0	0.861
CC2931-L5	1.0	1.0	1.0	0.933	0.017	0.66	0.133
CC2931-L6	1.0	1.0	1.0	0.033	0.114	0.705	0.006
CC2931-L7	1.0	1.0	1.0	1.0	0.219	0.417	0.376
CC2931-L9	1.0	1.0	1.0	0.474	0.939	0.522	0.101
CC2931-L10	1.0	1.0	1.0	1.0	0.714	0.087	0.76
CC2931-L11	1.0	1.0	1.0	0.004	0.039	0.029	0.678
CC2931-L13	1.0	1.0	1.0	0.497	0.219	0.28	0.631
CC2931-L14	1.0	1.0	1.0	0.51	0.936	0.0	0.559
CC2931-L15	1.0	0.058	0.009	0.018	0.028	0.07	0.976
