	(0, 1]	(1, 2]	(2, 3]	(3, 4]	(4, 5]	(5, 6]	(6, 7]
trial_0	0	0	0	0	19	100	161
trial_1	0	0	0	0	13	110	154
trial_2	0	0	0	0	18	125	123
trial_3	0	0	1	1	19	113	132
trial_4	0	0	0	3	16	137	120
trial_5	0	0	0	2	19	122	138
trial_6	0	0	0	1	24	126	129
trial_7	0	0	0	3	21	118	123
trial_8	0	0	0	2	16	140	121
trial_9	0	0	0	2	14	118	138
trial_10	0	0	0	0	16	130	125
trial_11	0	0	0	2	14	118	136
trial_12	0	0	0	0	11	117	151
trial_13	0	0	0	1	18	118	137
trial_14	0	0	1	1	21	138	117
trial_15	0	0	0	1	15	114	135
trial_16	0	0	0	3	12	117	147
trial_17	0	0	0	2	14	117	137
trial_18	0	0	0	2	12	127	139
trial_19	0	0	0	1	15	127	136
trial_20	0	0	0	3	7	133	127
trial_21	0	0	0	6	18	128	129
trial_22	0	0	0	2	25	119	128
trial_23	0	0	0	2	37	115	124
trial_24	0	0	0	2	18	125	127
trial_25	0	0	0	2	17	117	143
trial_26	0	0	0	1	14	122	136
trial_27	0	0	0	3	19	129	118
trial_28	0	0	0	1	21	120	126
trial_29	0	0	0	3	18	123	133
trial_30	0	0	0	2	9	119	148
trial_31	0	0	1	2	20	122	126
trial_32	0	0	0	0	19	124	124
trial_33	0	0	0	1	23	125	133
trial_34	0	0	0	3	12	116	136
trial_35	0	0	0	1	23	117	130
trial_36	0	0	0	5	17	130	121
trial_37	0	0	0	2	16	118	136
trial_38	0	0	0	3	17	121	135
trial_39	0	0	0	1	8	120	149
trial_40	0	0	0	1	13	128	131
trial_41	0	0	0	0	17	143	113
trial_42	0	0	0	2	13	113	147
trial_43	0	0	0	1	17	121	138
trial_44	0	0	0	2	20	112	135
trial_45	0	0	0	2	10	113	146
trial_46	0	0	2	2	18	110	132
trial_47	0	0	0	2	14	138	118
trial_48	0	0	0	3	16	115	141
trial_49	0	0	0	0	14	122	136
trial_50	0	0	0	3	8	122	148
trial_51	0	0	0	0	17	130	130
trial_52	0	0	0	1	15	112	140
trial_53	0	0	0	1	12	107	150
trial_54	0	0	0	1	18	126	125
trial_55	0	0	0	1	13	123	142
trial_56	0	0	0	1	25	143	111
trial_57	0	0	0	0	11	116	148
trial_58	0	0	0	2	15	114	150
trial_59	0	0	0	1	14	123	127
trial_60	0	0	0	3	19	130	124
trial_61	0	0	0	0	21	103	146
trial_62	0	0	0	2	16	118	137
trial_63	0	0	1	1	18	124	128
trial_64	0	0	0	0	17	124	134
trial_65	0	0	0	1	16	121	137
trial_66	0	0	0	2	15	113	134
trial_67	0	0	0	7	19	116	149
trial_68	0	0	0	0	16	127	137
trial_69	0	0	0	3	11	117	135
trial_70	0	0	0	1	11	118	131
trial_71	0	0	1	1	16	122	134
trial_72	0	0	1	2	18	118	136
trial_73	0	0	0	2	16	112	138
trial_74	0	0	0	1	16	135	124
trial_75	0	0	0	2	26	125	119
trial_76	0	0	1	0	18	117	132
trial_77	0	0	0	1	14	110	150
trial_78	0	0	0	2	13	119	130
trial_79	0	0	0	1	13	123	132
trial_80	0	0	0	1	20	120	137
trial_81	0	0	0	1	16	138	130
trial_82	0	0	0	0	19	112	146
trial_83	0	0	1	2	15	132	140
trial_84	0	0	0	0	19	121	134
trial_85	0	1	0	2	20	111	129
trial_86	0	0	0	2	21	113	144
trial_87	0	0	0	0	19	133	123
trial_88	0	0	0	2	15	113	140
trial_89	0	0	0	2	22	115	132
trial_90	0	0	0	1	17	123	125
trial_91	0	0	0	1	19	130	126
trial_92	0	0	0	2	21	136	130
trial_93	0	0	0	2	19	115	131
trial_94	0	0	1	1	28	118	127
trial_95	0	0	0	1	13	124	139
trial_96	0	0	0	0	14	124	128
trial_97	0	0	0	2	20	111	140
trial_98	0	0	0	1	17	138	128
trial_99	0	0	0	4	20	116	124
trial_100	0	0	0	2	22	124	112
trial_101	0	0	0	4	17	133	128
trial_102	0	0	0	2	21	115	138
trial_103	0	0	0	2	18	122	133
trial_104	0	0	1	0	10	117	147
trial_105	0	0	0	2	14	112	146
trial_106	0	0	0	0	16	127	132
trial_107	0	0	0	2	21	109	147
trial_108	0	0	1	5	15	119	129
trial_109	0	0	0	2	22	126	120
trial_110	0	0	0	2	22	115	131
trial_111	0	0	1	0	14	137	129
trial_112	0	0	0	0	19	122	134
trial_113	0	0	0	0	15	126	141
trial_114	0	0	0	1	19	111	130
trial_115	0	0	0	1	21	124	124
trial_116	0	0	0	1	13	116	138
trial_117	0	0	0	1	15	120	137
trial_118	0	0	0	1	15	117	145
trial_119	0	0	0	0	22	127	114
trial_120	0	0	0	1	20	130	118
trial_121	0	0	0	2	15	129	113
trial_122	0	0	0	1	16	129	132
trial_123	0	0	0	0	14	132	125
trial_124	0	0	0	1	13	127	131
trial_125	0	0	0	0	12	113	148
trial_126	0	0	0	1	10	120	139
trial_127	0	0	0	1	17	127	140
trial_128	0	0	0	2	13	117	132
trial_129	0	0	0	4	15	107	131
