KEGG Pathway	Hits	Score	Phytozome v5 Transcript IDs
Ribosome	27	0.00066474	Cre12.g520500.t1.3, Cre14.g621450.t1.2, Cre06.g308250.t1.2, Cre13.g568650.t1.2, Cre12.g537800.t1.2, Cre12.g520400.t1.2, Cre12.g494050.t1.2, Cre09.g400650.t1.2, Cre02.g091100.t1.2, Cre14.g612450.t1.2, Cre02.g102250.t1.2, Cre13.g568900.t1.2, Cre06.g272950.t1.3, Cre12.g498250.t1.2, Cre08.g360900.t1.2, Cre02.g075700.t1.2, Cre06.g273600.t1.2, Cre10.g420750.t1.2, Cre06.g282500.t1.2, Cre10.g456200.t1.2, Cre01.g040000.t1.2, Cre06.g257150.t1.2, Cre08.g382500.t1.2, Cre16.g682300.t1.2, Cre14.g617900.t1.2, Cre10.g430400.t1.2, Cre01.g053600.t1.2
Biosynthesis of phenylpropanoids	21	0.005146	Cre17.g703700.t1.1, Cre12.g485150.t1.2, Cre03.g149100.t1.2, Cre04.g214500.t1.3, Cre06.g280950.t1.2, Cre12.g527400.t1.3, Cre17.g726750.t1.2, Cre03.g194200.t1.2, Cre10.g436350.t1.3, Cre13.g602350.t1.2, Cre02.g145800.t1.2, Cre05.g234700.t1.3, Cre12.g519000.t1.3, Cre03.g166950.t1.2, Cre03.g207800.t1.2, Cre03.g207550.t1.2, Cre07.g354250.t1.2, Cre10.g448500.t1.3, Cre03.g176800.t1.3, Cre02.g086500.t1.2, Cre02.g116000.t1.3
Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	20	0.011903	Cre12.g527400.t1.3, Cre10.g451950.t1.2, Cre01.g022500.t1.2, Cre17.g703700.t1.1, Cre12.g528450.t1.2, Cre12.g485150.t1.2, Cre03.g149100.t1.2, Cre01.g000650.t1.3, Cre06.g280950.t1.2, Cre04.g214500.t1.3, Cre03.g194200.t1.2, Cre06.g251450.t1.3, Cre02.g145800.t1.2, Cre16.g682100.t1.2, Cre09.g388800.t1.2, Cre05.g234700.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre02.g105150.t1.3, Cre02.g086500.t1.2
Peroxisome	14	0.014445	Cre09.g417150.t1.2, Cre03.g182050.t1.2, Cre03.g171300.t1.2, Cre17.g723650.t1.2, Cre04.g214500.t1.3, Cre02.g094250.t1.1, Cre06.g278800.t1.2, Cre13.g605150.t1.2, Cre02.g096150.t1.2, Cre10.g446250.t1.3, Cre06.g257601.t1.2, Cre06.g308100.t1.2, Cre07.g337050.t1.2, Cre06.g263600.t1.3
Biosynthesis of alkaloids derived from shikimate pathway	18	0.01688	Cre04.g214500.t1.3, Cre06.g280950.t1.2, Cre12.g527400.t1.3, Cre01.g022500.t1.2, Cre17.g726750.t1.2, Cre17.g703700.t1.1, Cre12.g485150.t1.2, Cre03.g149100.t1.2, Cre03.g194200.t1.2, Cre10.g436350.t1.3, Cre13.g602350.t1.2, Cre02.g081400.t1.2, Cre02.g145800.t1.2, Cre05.g234700.t1.3, Cre12.g519000.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre02.g086500.t1.2
Phenylpropanoid biosynthesis	3	0.018192	Cre03.g207800.t1.2, Cre03.g207550.t1.2, Cre07.g320850.t1.2
Pyruvate metabolism	14	0.025338	Cre02.g141400.t1.2, Cre06.g280950.t1.2, Cre01.g022500.t1.2, Cre12.g500150.t1.1, Cre07.g353450.t1.2, Cre03.g171950.t1.3, Cre10.g424750.t1.2, Cre03.g194200.t1.2, Cre02.g145800.t1.2, Cre05.g234700.t1.3, Cre09.g396700.t1.2, Cre12.g484000.t1.2, Cre07.g324550.t1.3, Cre10.g432900.t1.2
Carbon fixation in photosynthetic organisms	11	0.025818	Cre06.g280950.t1.2, Cre01.g022500.t1.2, Cre03.g171950.t1.3, Cre10.g424750.t1.2, Cre10.g451950.t1.2, Cre03.g185550.t1.2, Cre02.g141400.t1.2, Cre02.g145800.t1.2, Cre03.g187450.t1.2, Cre05.g234700.t1.3, Cre07.g354250.t1.2
Taste transduction	3	0.029378	Cre03.g199000.t1.2, Cre10.g432550.t1.2, Cre07.g330400.t1.3
Biosynthesis of plant hormones	24	0.042634	Cre06.g280950.t1.2, Cre04.g214500.t1.3, Cre12.g527400.t1.3, Cre17.g726750.t1.2, Cre16.g663950.t1.2, Cre12.g526800.t1.2, Cre17.g703700.t1.1, Cre12.g485150.t1.2, Cre03.g180750.t1.2, Cre03.g149100.t1.2, Cre03.g194200.t1.2, Cre10.g436350.t1.3, Cre16.g695050.t1.2, Cre13.g602350.t1.2, Cre02.g145800.t1.2, Cre03.g187450.t1.2, Cre05.g234700.t1.3, Cre12.g519000.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre12.g512300.t1.2, Cre03.g149650.t1.3, Cre09.g394550.t1.2, Cre02.g086500.t1.2
Cell adhesion molecules (CAMs)	2	0.057478	Cre01.g005050.t1.1, Cre12.g512000.t1.1
Adipocytokine signaling pathway	5	0.062284	Cre03.g182050.t1.2, Cre17.g705350.t1.3, Cre12.g484350.t1.3, Cre13.g570250.t1.3, Cre03.g206800.t1.3
Photosynthesis - antenna proteins	5	0.062284	Cre10.g425900.t1.2, Cre12.g548400.t1.2, Cre08.g367500.t1.1, Cre03.g156900.t1.2, Cre10.g452050.t1.2
Biosynthesis of unsaturated fatty acids	6	0.066992	Cre17.g723650.t1.2, Cre13.g590500.t1.1, Cre01.g038600.t1.2, Cre17.g711150.t1.2, Cre03.g172000.t1.2, Cre01.g028600.t1.2
Nitrogen metabolism	7	0.06847	Cre01.g004300.t1.2, Cre09.g410950.t1.2, Cre03.g193750.t1.3, Cre06.g301650.t1.2, Cre09.g388800.t1.2, Cre13.g607350.t1.2, Cre03.g207250.t1.2
Phenylalanine, tyrosine and tryptophan biosynthesis	5	0.073929	Cre17.g726750.t1.2, Cre10.g436350.t1.3, Cre13.g602350.t1.2, Cre12.g519000.t1.3, Cre05.g248250.t1.3
Vitamin B6 metabolism	3	0.07939	Cre15.g643550.t1.2, Cre08.g378200.t1.2, Cre14.g631850.t1.2
Insulin signaling pathway	11	0.088904	Cre12.g552200.t1.2, Cre13.g607300.t1.2, Cre12.g484350.t1.3, Cre09.g400650.t1.2, Cre01.g051250.t1.2, Cre13.g570250.t1.3, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g169100.t1.3
Riboflavin metabolism	4	0.095599	Cre01.g002050.t1.2, Cre06.g259650.t1.2, Cre01.g026650.t1.2, Cre09.g396450.t1.3
Biosynthesis of alkaloids derived from histidine and purine	17	0.10428	Cre17.g703700.t1.1, Cre12.g485150.t1.2, Cre03.g149100.t1.2, Cre06.g280950.t1.2, Cre04.g214500.t1.3, Cre12.g526800.t1.2, Cre12.g527400.t1.3, Cre01.g022500.t1.2, Cre03.g194200.t1.2, Cre02.g081400.t1.2, Cre02.g145800.t1.2, Cre03.g187450.t1.2, Cre05.g234700.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre09.g394550.t1.2, Cre02.g086500.t1.2
Diterpenoid biosynthesis	1	0.1053	Cre10.g466700.t1.3
Lipopolysaccharide biosynthesis	1	0.1053	Cre13.g583100.t1.3
Primary bile acid biosynthesis	1	0.1053	Cre06.g308100.t1.2
Trinitrotoluene degradation	1	0.1053	Cre17.g727300.t1.2
Propanoate metabolism	6	0.11328	Cre07.g353450.t1.2, Cre17.g703700.t1.1, Cre16.g675650.t1.2, Cre12.g500150.t1.1, Cre09.g396700.t1.2, Cre12.g484000.t1.2
Proximal tubule bicarbonate reclamation	2	0.12474	Cre02.g145800.t1.2, Cre09.g388800.t1.2
Glycerophospholipid metabolism	8	0.12612	Cre12.g539000.t1.2, Cre02.g143000.t1.2, Cre03.g183650.t1.3, Cre12.g489050.t1.2, Cre02.g105900.t1.2, Cre13.g604700.t1.3, Cre10.g460350.t1.3, Cre17.g704150.t1.3
Prostate cancer	8	0.13773	Cre12.g514850.t1.2, Cre13.g607300.t1.2, Cre13.g575650.t1.3, Cre06.g249150.t1.3, Cre12.g494500.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g169100.t1.3
Prion diseases	6	0.14121	Cre02.g080600.t1.2, Cre13.g607300.t1.2, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Chemokine signaling pathway	7	0.14687	Cre13.g607300.t1.2, Cre01.g029850.t1.2, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre03.g204800.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Dorso-ventral axis formation	5	0.14786	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre02.g141050.t1.3
Benzoate degradation via CoA ligation	3	0.14984	Cre12.g534350.t1.2, Cre02.g103100.t1.1, Cre09.g415850.t1.2
Biosynthesis of alkaloids derived from terpenoid and polyketide	14	0.16287	Cre03.g149100.t1.2, Cre06.g280950.t1.2, Cre04.g214500.t1.3, Cre12.g527400.t1.3, Cre01.g022500.t1.2, Cre16.g663950.t1.2, Cre17.g703700.t1.1, Cre12.g485150.t1.2, Cre03.g194200.t1.2, Cre02.g145800.t1.2, Cre05.g234700.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre02.g086500.t1.2
Non-small cell lung cancer	5	0.16544	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g169100.t1.3
Pathogenic Escherichia coli infection	5	0.16544	Cre16.g648100.t1.3, Cre01.g029850.t1.2, Cre03.g172650.t1.2, Cre06.g275100.t1.2, Cre06.g249300.t1.2
Bladder cancer	6	0.17197	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre13.g573550.t1.3, Cre02.g112800.t1.3
Citrate cycle (TCA cycle)	6	0.17197	Cre02.g141400.t1.2, Cre04.g214500.t1.3, Cre17.g703700.t1.1, Cre03.g149100.t1.2, Cre03.g194200.t1.2, Cre02.g145800.t1.2
Antigen processing and presentation	4	0.1733	Cre12.g514850.t1.2, Cre08.g372100.t1.2, Cre06.g250100.t1.2, Cre09.g407700.t1.2
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	3	0.17663	Cre10.g441100.t1.2, Cre07.g320650.t1.3, Cre10.g462200.t1.2
Hypertrophic cardiomyopathy (HCM)	3	0.17663	Cre12.g484350.t1.3, Cre13.g570250.t1.3, Cre06.g249300.t1.2
Glycolysis / Gluconeogenesis	12	0.17894	Cre12.g527400.t1.3, Cre12.g500150.t1.1, Cre12.g485150.t1.2, Cre02.g141400.t1.2, Cre07.g353450.t1.2, Cre06.g280950.t1.2, Cre03.g194200.t1.2, Cre05.g234700.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre10.g431550.t1.1, Cre02.g086500.t1.2
VEGF signaling pathway	5	0.1838	Cre12.g530550.t1.3, Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
