Panther Pathway	Hits	Score	Phytozome v5 Transcript IDs
B cell activation	6	0.0055955	Cre17.g733300.t1.3, Cre12.g524450.t1.3, Cre03.g168150.t1.2, Cre01.g040150.t1.2, Cre11.g468450.t1.2, Cre01.g051250.t1.2
EGF receptor signaling pathway	10	0.017592	Cre13.g607300.t1.2, Cre12.g559250.t1.2, Cre13.g567800.t1.2, Cre10.g464100.t1.2, Cre17.g733300.t1.3, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g168150.t1.2, Cre01.g040150.t1.2
Vitamin D metabolism and pathway	6	0.029951	Cre01.g039350.t1.2, Cre13.g562550.t1.3, Cre16.g683550.t1.2, Cre07.g340850.t1.2, Cre10.g426750.t1.2, Cre10.g426600.t1.2
Inflammation mediated by chemokine and cytokine signaling pathway	14	0.036305	Cre01.g029850.t1.2, Cre17.g733300.t1.3, Cre17.g705000.t1.2, Cre03.g199000.t1.2, Cre12.g551250.t1.2, Cre10.g418900.t1.2, Cre10.g432250.t1.3, Cre16.g648100.t1.3, Cre03.g168150.t1.2, Cre06.g249300.t1.2, Cre12.g498650.t1.2, Cre01.g040150.t1.2, Cre17.g735550.t1.3, Cre12.g512300.t1.2
TCA cycle	3	0.066912	Cre04.g214500.t1.3, Cre03.g149100.t1.2, Cre02.g145800.t1.2
Muscarinic acetylcholine receptor 2 and 4 signaling pathway	4	0.09266	Cre03.g199000.t1.2, Cre02.g105900.t1.2, Cre12.g498650.t1.2, Cre01.g039500.t1.2
Peptidoglycan biosynthesis	1	0.098479	Cre12.g519900.t1.2
Parkinson disease	12	0.10666	Cre02.g080600.t1.2, Cre08.g372100.t1.2, Cre06.g250100.t1.2, Cre13.g607300.t1.2, Cre12.g559250.t1.2, Cre10.g424400.t1.2, Cre12.g516500.t1.1, Cre10.g439900.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre01.g014500.t1.3, Cre03.g194250.t1.2
Asparagine and aspartate biosynthesis	2	0.11092	Cre01.g004300.t1.2, Cre06.g257950.t1.2
Cytoskeletal regulation by Rho GTPase	5	0.13346	Cre01.g029850.t1.2, Cre03.g172650.t1.2, Cre16.g648100.t1.3, Cre06.g249300.t1.2, Cre17.g735550.t1.3
Pyruvate metabolism	4	0.14446	Cre06.g258700.t1.3, Cre05.g234700.t1.3, Cre01.g022500.t1.2, Cre06.g280950.t1.2
Isoleucine biosynthesis	2	0.14557	Cre02.g073200.t1.2, Cre02.g081400.t1.2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway	2	0.14557	Cre02.g105900.t1.2, Cre01.g039500.t1.2
Vasopressin synthesis	2	0.14557	Cre17.g697650.t1.2, Cre09.g406800.t1.3
FGF signaling pathway	7	0.15916	Cre12.g559250.t1.2, Cre13.g567800.t1.2, Cre17.g733300.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g168150.t1.2, Cre01.g040150.t1.2
Acetate utilization	2	0.18205	Cre07.g353450.t1.2, Cre09.g396700.t1.2
Glutamine glutamate conversion	2	0.18205	Cre09.g388800.t1.2, Cre03.g207250.t1.2
Tryptophan biosynthesis	2	0.18205	Cre13.g602350.t1.2, Cre12.g519000.t1.3
Alanine biosynthesis	1	0.18732	Cre02.g081400.t1.2
Pantothenate biosynthesis	1	0.18732	Cre02.g090150.t1.2
Pyridoxal-5-phosphate biosynthesis	1	0.18732	Cre08.g378200.t1.2
Interferon-gamma signaling pathway	3	0.20347	Cre13.g607300.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3
