CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15
Cre01.g002050,Cre01.g013450,Cre03.g145187,Cre01.g000550,Cre01.g053600,Cre01.g000350,Cre03.g145187,Cre01.g010700,Cre01.g005813,Cre01.g000650,Cre01.g000700,Cre01.g013850,Cre03.g188750,Cre03.g145187,Cre01.g001983
Cre01.g004550,Cre01.g027050,Cre06.g278149,Cre01.g004550,Cre02.g091200,Cre01.g001350,Cre08.g380550,Cre01.g010832,Cre01.g007051,Cre01.g004550,Cre01.g004550,Cre01.g015600,Cre03.g207918,Cre03.g168900,Cre01.g007450
Cre01.g009150,Cre02.g088450,Cre07.g344050,Cre01.g005813,Cre03.g145187,Cre01.g002050,Cre11.g467663,Cre01.g014500,Cre01.g009101,Cre01.g009101,Cre01.g008300,Cre01.g018550,Cre07.g312050,Cre03.g188750,Cre01.g010832
Cre01.g011660,Cre02.g101750,Cre09.g395251,Cre01.g007500,Cre03.g169050,Cre01.g004600,Cre12.g505800,Cre01.g022100,Cre01.g010832,Cre01.g012500,Cre01.g008650,Cre01.g019650,Cre12.g489350,Cre04.g223250,Cre01.g012500
Cre01.g012500,Cre09.g389541,Cre11.g467663,Cre01.g010832,Cre03.g172500,Cre01.g012500,Cre12.g523400,Cre01.g022500,Cre01.g012500,Cre01.g013450,Cre01.g010832,Cre01.g020400,Cre12.g527550,Cre06.g298650,Cre01.g014400
Cre01.g016300,Cre03.g145187,Cre12.g523400,Cre01.g012500,Cre03.g177950,Cre01.g013450,Cre13.g569500,Cre01.g053450,Cre01.g013850,Cre01.g014100,Cre01.g011660,Cre01.g024100,Cre13.g587500,Cre07.g344050,Cre01.g016850
Cre01.g020800,Cre03.g146507,Cre13.g585500,Cre01.g014500,Cre03.g206800,Cre01.g014100,,Cre02.g096150,Cre01.g014100,Cre01.g014500,Cre01.g012500,Cre01.g029200,Cre13.g588271,Cre09.g395251,Cre01.g018350
Cre01.g022150,Cre03.g168900,Cre13.g585600,Cre01.g016300,Cre03.g206750,Cre01.g019650,,Cre03.g145187,Cre01.g015600,Cre01.g015600,Cre01.g013400,Cre01.g032550,Cre13.g605150,Cre10.g427750,Cre01.g018600
Cre01.g022500,Cre06.g283550,Cre13.g605150,Cre01.g020100,Cre04.g216250,Cre01.g020800,,Cre03.g149300,Cre01.g017900,Cre01.g022500,Cre01.g014500,Cre01.g032600,Cre02.g142146,Cre10.g465750,Cre01.g019650
Cre01.g027050,Cre07.g313122,Cre14.g617450,Cre01.g022500,Cre07.g312150,Cre01.g022150,,Cre03.g174600,Cre01.g018550,Cre01.g026050,Cre01.g018400,Cre01.g033000,Cre17.g744997,Cre11.g467663,Cre01.g020100
