CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G000200V5,CHLRE_01G005200V5,CHLRE_01G055444V5,CHLRE_01G000050V5,CHLRE_01G004900V5,CHLRE_01G000250V5,CHLRE_01G004651V5,CHLRE_01G022600V5,CHLRE_01G000100V5,CHLRE_01G000550V5,CHLRE_01G000050V5,CHLRE_01G001100V5,CHLRE_01G033300V5,CHLRE_01G011901V5,CHLRE_01G000100V5,5725630.0,5718441.0,5717875.0,5715930.0,5728841.0,5725709.0,5725630.0,5725630.0,5728017.0,5717875.0,5715524.0,5724102.0,5728511.0
CHLRE_01G000550V5,CHLRE_01G009150V5,CHLRE_02G104450V5,CHLRE_01G000550V5,CHLRE_01G005651V5,CHLRE_01G000300V5,CHLRE_01G055444V5,CHLRE_01G055444V5,CHLRE_01G000600V5,CHLRE_01G003000V5,CHLRE_01G000100V5,CHLRE_01G002300V5,CHLRE_01G053450V5,CHLRE_01G021500V5,CHLRE_01G000200V5,5728841.0,5723486.0,5715524.0,5721643.0,5725709.0,5722270.0,5721643.0,5722173.0,5718075.0,5728758.0,5722886.0,5725709.0,5722195.0
CHLRE_01G000750V5,CHLRE_01G013400V5,CHLRE_03G145187V5,CHLRE_01G000600V5,CHLRE_01G008800V5,CHLRE_01G000400V5,CHLRE_02G094750V5,CHLRE_02G091950V5,CHLRE_01G000750V5,CHLRE_01G003376V5,CHLRE_01G000200V5,CHLRE_01G002500V5,CHLRE_01G055444V5,CHLRE_01G024750V5,CHLRE_01G000350V5,5725709.0,5722886.0,5727190.0,5717899.0,5724983.0,5722554.0,5719614.0,5719893.0,5717593.0,5724983.0,5726082.0,5717235.0,5728841.0
CHLRE_01G001200V5,CHLRE_01G020100V5,CHLRE_07G339633V5,CHLRE_01G000650V5,CHLRE_01G009765V5,CHLRE_01G000550V5,CHLRE_09G389500V5,CHLRE_02G120250V5,CHLRE_01G000900V5,CHLRE_01G003487V5,CHLRE_01G000350V5,CHLRE_01G002787V5,CHLRE_03G188700V5,CHLRE_01G055444V5,CHLRE_01G000550V5,5723955.0,5715904.0,5715452.0,5722646.0,5717899.0,5717875.0,5727190.0,5728847.0,5728903.0,5715524.0,5717050.0,5718441.0,5715930.0
CHLRE_01G001300V5,CHLRE_01G024750V5,CHLRE_08G363100V5,CHLRE_01G001100V5,CHLRE_01G011901V5,CHLRE_01G001983V5,CHLRE_02G142050V5,CHLRE_09G387912V5,CHLRE_01G001100V5,CHLRE_01G004500V5,CHLRE_01G000400V5,CHLRE_01G003200V5,CHLRE_03G198500V5,CHLRE_02G082000V5,CHLRE_01G001000V5,5717799.0,5726082.0,5715872.0,5719740.0,5727024.0,5728758.0,5726378.0,5727739.0,5718832.0,5727236.0,5724268.0,5715524.0,5717235.0
CHLRE_01G001983V5,CHLRE_01G026700V5,CHLRE_09G401071V5,CHLRE_01G001300V5,CHLRE_01G013450V5,CHLRE_01G002050V5,CHLRE_03G145187V5,CHLRE_03G145187V5,CHLRE_01G001200V5,CHLRE_01G005651V5,CHLRE_01G000550V5,CHLRE_01G003487V5,CHLRE_04G217940V5,CHLRE_02G088551V5,CHLRE_01G001100V5,5725744.0,5727190.0,5728847.0,5719614.0,5721074.0,5723486.0,5721453.0,5723140.0,5716719.0,5721643.0,5716386.0,5727236.0,5715524.0
CHLRE_01G002050V5,CHLRE_01G027050V5,CHLRE_09G405150V5,CHLRE_01G001450V5,CHLRE_01G022000V5,CHLRE_01G002150V5,CHLRE_03G156800V5,CHLRE_03G188700V5,CHLRE_01G001650V5,CHLRE_01G007901V5,CHLRE_01G000600V5,CHLRE_01G004157V5,CHLRE_04G212650V5,CHLRE_02G095300V5,CHLRE_01G001250V5,5724983.0,5723896.0,5717933.0,5724629.0,5718755.0,5721808.0,5727182.0,5718639.0,5728696.0,5722886.0,5721362.0,5722886.0,5729267.0
CHLRE_01G002100V5,CHLRE_01G033300V5,CHLRE_09G412850V5,CHLRE_01G001664V5,CHLRE_01G055444V5,CHLRE_01G003376V5,CHLRE_04G227400V5,CHLRE_03G188750V5,CHLRE_01G001657V5,CHLRE_01G009200V5,CHLRE_01G000650V5,CHLRE_01G004200V5,CHLRE_06G281350V5,CHLRE_02G104450V5,CHLRE_01G001600V5,5723486.0,5719716.0,5717908.0,5727572.0,5720934.0,5715524.0,5715872.0,5718644.0,5718842.0,5722965.0,5721453.0,5721074.0,5721074.0
CHLRE_01G002350V5,CHLRE_01G037600V5,CHLRE_02G095058V5,CHLRE_01G001800V5,CHLRE_02G079450V5,CHLRE_01G004350V5,CHLRE_06G271188V5,CHLRE_03G205950V5,CHLRE_01G001678V5,CHLRE_01G010296V5,CHLRE_01G000900V5,CHLRE_01G004750V5,CHLRE_10G420650V5,CHLRE_03G145187V5,CHLRE_01G001983V5,5715524.0,5723010.0,5720915.0,5726082.0,5725276.0,5725123.0,5728847.0,5721900.0,5725839.0,5722497.0,5722467.0,5725530.0,5721826.0
CHLRE_01G002750V5,CHLRE_01G051950V5,CHLRE_12G483500V5,CHLRE_01G002227V5,CHLRE_02G091000V5,CHLRE_01G004500V5,CHLRE_06G281350V5,CHLRE_04G220050V5,CHLRE_01G001700V5,CHLRE_01G010950V5,CHLRE_01G001200V5,CHLRE_01G005450V5,CHLRE_10G427750V5,CHLRE_03G188700V5,CHLRE_01G002050V5,5717899.0,5718627.0,5715851.0,5719387.0,5725027.0,5724814.0,5728903.0,5721956.0,5722051.0,5721074.0,5715872.0,5715253.0,5723931.0
