CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
Cre01.g001350,Cre01.g000400,Cre01.g039350,Cre01.g001650,Cre01.g034200,Cre01.g008650,Cre01.g001350,Cre01.g001650,Cre01.g029100,Cre01.g001650,Cre01.g004450,Cre01.g004450,Cre01.g001350
Cre01.g003000,Cre01.g011100,Cre02.g080450,Cre01.g008600,Cre01.g035050,Cre01.g017650,Cre02.g087000,Cre04.g224750,Cre09.g389763,Cre01.g007550,Cre01.g004651,Cre01.g004900,Cre01.g001400
Cre01.g013300,Cre01.g015600,Cre02.g105900,Cre01.g011100,Cre01.g040100,Cre01.g019650,Cre02.g088450,Cre04.g233102,Cre04.g225650,Cre01.g011000,Cre01.g011000,Cre01.g008650,Cre01.g001750
Cre01.g018500,Cre01.g034200,Cre02.g115850,Cre01.g014400,Cre01.g055250,Cre01.g020000,Cre03.g201900,Cre05.g233550,Cre06.g278700,Cre01.g013300,Cre01.g032300,Cre01.g014050,Cre01.g002050
Cre01.g034200,Cre01.g036200,Cre02.g119650,Cre01.g020305,Cre02.g086100,Cre01.g026650,Cre04.g233102,Cre06.g268850,Cre06.g297850,Cre01.g015451,Cre01.g032650,Cre01.g014100,Cre01.g002300
Cre01.g049750,Cre01.g051350,Cre03.g153600,Cre01.g023200,Cre02.g087000,Cre01.g029100,Cre04.g233202,Cre07.g312150,Cre07.g321850,Cre01.g018400,Cre01.g053300,Cre01.g015600,Cre01.g004200
Cre01.g051450,Cre01.g053300,Cre03.g173850,Cre01.g024250,Cre02.g093750,Cre01.g029850,Cre04.g233302,Cre09.g395251,Cre07.g325727,Cre01.g018500,Cre02.g086100,Cre01.g016800,Cre01.g004300
Cre01.g055453,Cre02.g075100,Cre03.g183750,Cre01.g027150,Cre02.g094200,Cre01.g037300,Cre05.g244100,Cre10.g430000,Cre10.g428966,Cre01.g020100,Cre02.g097400,Cre01.g017900,Cre01.g004450
Cre02.g075100,Cre02.g090900,Cre03.g194750,Cre01.g029100,Cre02.g097200,Cre01.g051350,Cre05.g235800,Cre11.g467695,Cre12.g555300,Cre01.g022150,Cre02.g097800,Cre01.g018100,Cre01.g005050
Cre02.g075400,Cre02.g107050,Cre03.g201900,Cre01.g049750,Cre02.g100633,Cre01.g066917,Cre06.g260050,Cre11.g477625,Cre13.g583050,Cre01.g029350,Cre02.g101350,Cre01.g018400,Cre01.g005850
Cre02.g075900,Cre02.g110650,Cre03.g211745,Cre01.g051350,Cre02.g116000,Cre02.g073200,Cre06.g283550,Cre11.g482841,Cre13.g605150,Cre01.g029800,Cre02.g104700,Cre01.g018900,Cre01.g007651
Cre02.g077750,Cre09.g389050,Cre03.g205025,Cre02.g075400,Cre09.g387652,Cre02.g076300,Cre07.g312150,Cre12.g497900,Cre16.g674800,Cre01.g031500,Cre03.g144324,Cre01.g019850,Cre01.g011100
Cre02.g086550,Cre09.g386949,Cre03.g204801,Cre02.g086550,Cre03.g150050,Cre02.g076350,Cre08.g365351,Cre14.g612150,,Cre01.g036250,Cre03.g159300,Cre01.g020000,Cre01.g014400
Cre02.g087000,Cre03.g161550,Cre04.g233102,Cre02.g087000,Cre03.g153300,Cre02.g078500,Cre08.g368250,Cre16.g684600,,Cre01.g038600,Cre03.g161550,Cre01.g020100,Cre01.g020100
Cre02.g087050,Cre03.g172500,Cre04.g233302,Cre02.g094200,Cre03.g157950,Cre02.g079500,Cre08.g380452,Cre16.g678050,,Cre01.g040000,Cre03.g170100,Cre01.g020750,Cre01.g029100
Cre02.g088450,Cre03.g207600,Cre06.g260050,Cre02.g107500,Cre03.g168800,Cre02.g086100,Cre10.g448850,Cre16.g689759,,Cre01.g040379,Cre03.g176550,Cre01.g023200,Cre01.g029350
Cre02.g110700,Cre04.g217945,Cre06.g268850,Cre02.g119650,Cre03.g170100,Cre02.g089350,Cre10.g458950,Cre17.g702150,,Cre01.g050500,Cre03.g194750,Cre01.g024250,Cre01.g030300
Cre02.g112266,Cre04.g224750,Cre06.g310750,Cre09.g388352,Cre03.g202600,Cre02.g094250,Cre12.g501550,Cre17.g711150,,Cre02.g075700,Cre03.g204800,Cre01.g024300,Cre01.g034200
Cre09.g388450,Cre04.g228300,Cre07.g312150,Cre09.g391838,Cre03.g200900,Cre02.g101350,Cre13.g581150,Cre17.g720400,,Cre02.g078831,Cre03.g201900,Cre01.g026400,Cre01.g035050
Cre09.g389050,Cre05.g234662,Cre07.g320650,Cre09.g386949,Cre03.g204801,Cre02.g102250,Cre13.g583050,Cre17.g733208,,Cre02.g086150,Cre03.g204577,Cre01.g026650,Cre01.g036250
Cre09.g389850,Cre05.g237650,Cre07.g329450,Cre02.g145800,Cre04.g216826,Cre02.g104400,Cre13.g605150,,,Cre02.g086550,Cre04.g216826,Cre01.g027150,Cre01.g038300
