CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G000250V5,CHLRE_01G001700V5,CHLRE_01G000500V5,CHLRE_01G000500V5,CHLRE_01G000100V5,CHLRE_01G000550V5,CHLRE_01G000500V5,CHLRE_01G003050V5,CHLRE_01G006150V5,CHLRE_01G000550V5,CHLRE_01G001750V5,CHLRE_01G001300V5,CHLRE_01G000100V5
CHLRE_01G000500V5,CHLRE_01G007901V5,CHLRE_01G008100V5,CHLRE_01G001650V5,CHLRE_01G000250V5,CHLRE_01G000900V5,CHLRE_01G001664V5,CHLRE_01G009575V5,CHLRE_01G006850V5,CHLRE_01G001400V5,CHLRE_01G003550V5,CHLRE_01G004400V5,CHLRE_01G000350V5
CHLRE_01G000550V5,CHLRE_01G008891V5,CHLRE_01G009575V5,CHLRE_01G001657V5,CHLRE_01G000550V5,CHLRE_01G001250V5,CHLRE_01G001750V5,CHLRE_01G017600V5,CHLRE_01G009575V5,CHLRE_01G001600V5,CHLRE_01G004400V5,CHLRE_01G004450V5,CHLRE_01G000500V5
CHLRE_01G001350V5,CHLRE_01G008900V5,CHLRE_01G010201V5,CHLRE_01G002400V5,CHLRE_01G001000V5,CHLRE_01G001400V5,CHLRE_01G013100V5,CHLRE_01G018900V5,CHLRE_01G009765V5,CHLRE_01G002150V5,CHLRE_01G004700V5,CHLRE_01G004500V5,CHLRE_01G000550V5
CHLRE_01G001400V5,CHLRE_01G009575V5,CHLRE_01G010900V5,CHLRE_01G002900V5,CHLRE_01G001600V5,CHLRE_01G001600V5,CHLRE_01G013200V5,CHLRE_01G022450V5,CHLRE_01G012350V5,CHLRE_01G002300V5,CHLRE_01G006000V5,CHLRE_01G004700V5,CHLRE_01G000600V5
CHLRE_01G001600V5,CHLRE_01G010800V5,CHLRE_01G012150V5,CHLRE_01G003150V5,CHLRE_01G001700V5,CHLRE_01G001678V5,CHLRE_01G015000V5,CHLRE_01G024900V5,CHLRE_01G029150V5,CHLRE_01G002350V5,CHLRE_01G007850V5,CHLRE_01G004900V5,CHLRE_01G001000V5
CHLRE_01G001678V5,CHLRE_01G011100V5,CHLRE_01G016556V5,CHLRE_01G003550V5,CHLRE_01G002050V5,CHLRE_01G001700V5,CHLRE_01G015750V5,CHLRE_01G026050V5,CHLRE_01G036550V5,CHLRE_01G002400V5,CHLRE_01G008850V5,CHLRE_01G004950V5,CHLRE_01G001100V5
CHLRE_01G001750V5,CHLRE_01G012350V5,CHLRE_01G016900V5,CHLRE_01G005813V5,CHLRE_01G002150V5,CHLRE_01G003850V5,CHLRE_01G021500V5,CHLRE_01G038950V5,CHLRE_02G080050V5,CHLRE_01G002500V5,CHLRE_01G009575V5,CHLRE_01G005701V5,CHLRE_01G001350V5
CHLRE_01G002050V5,CHLRE_01G015650V5,CHLRE_01G022000V5,CHLRE_01G006000V5,CHLRE_01G002600V5,CHLRE_01G003950V5,CHLRE_01G023773V5,CHLRE_01G039350V5,CHLRE_02G081700V5,CHLRE_01G002600V5,CHLRE_01G010550V5,CHLRE_01G006850V5,CHLRE_01G001400V5
CHLRE_01G002150V5,CHLRE_01G016556V5,CHLRE_01G022050V5,CHLRE_01G006050V5,CHLRE_01G003463V5,CHLRE_01G004900V5,CHLRE_01G026050V5,CHLRE_01G041200V5,CHLRE_02G109333V5,CHLRE_01G002700V5,CHLRE_01G011630V5,CHLRE_01G006900V5,CHLRE_01G001450V5
