CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15
5717875.0,5724629.0,5724629.0,5729104.0,5718837.0,5722614.0,,5729104.0,5722614,5724629.0,5721688.0,5715253.0,5724629.0,,5722605.0
5728788.0,5715071.0,5715834.0,5728210.0,5728910.0,5721074.0,,5724629.0,5728718,5728678.0,5721689.0,5728210.0,5726058.0,,5724629.0
5724629.0,5719358.0,5715835.0,5722202.0,5720115.0,5728788.0,,5725400.0,5720278,5729059.0,5717875.0,5716082.0,5722462.0,,5722946.0
5722946.0,5725097.0,,5716082.0,,5722946.0,,5715225.0,5726024,5727920.0,5720278.0,5715193.0,,,5721254.0
5728678.0,,,5717864.0,,5721254.0,,5722462.0,5722946,5724900.0,5724629.0,5716374.0,,,5728678.0
5724360.0,,,5724382.0,,5728678.0,,,5721254,5728553.0,5715904.0,5726079.0,,,5726351.0
5716475.0,,,5715512.0,,5722614.0,,,5725627,5728939.0,5719168.0,5722370.0,,,5715426.0
5726863.0,,,5722573.0,,5722365.0,,,5723580,5716894.0,5725027.0,5722736.0,,,5716097.0
5718565.0,,,5728843.0,,5728796.0,,,5726351,5726860.0,5716475.0,5718821.0,,,5729095.0
5728210.0,,,5722220.0,,5729095.0,,,5718066,5722804.0,5723010.0,5722364.0,,,5720572.0
5716080.0,,,5718837.0,,5727234.0,,,5722614,5715071.0,5719116.0,5721825.0,,,5717594.0
5716082.0,,,5725193.0,,5727920.0,,,5726863,5726159.0,5715749.0,5719944.0,,,5715512.0
5729095.0,,,5715225.0,,5728553.0,,,5728210,5718821.0,5719388.0,5722444.0,,,5718002.0
5727234.0,,,5720267.0,,5715512.0,,,5716080,5718520.0,5728210.0,5720558.0,,,5722612.0
5721802.0,,,5720270.0,,5722804.0,,,5716082,5715225.0,5716082.0,5728920.0,,,5720284.0
5725358.0,,,5720697.0,,5722300.0,,,5729095,5728614.0,5729095.0,5727014.0,,,5717009.0
5715517.0,,,5724384.0,,5715219.0,,,5727234,5728446.0,5728958.0,5719519.0,,,5715136.0
5718356.0,,,5728853.0,,5715071.0,,,5727920,5719165.0,5721861.0,5719644.0,,,5729096.0
5728831.0,,,5719668.0,,5720284.0,,,5721692,5726057.0,5719079.0,5728176.0,,,5720083.0
5729256.0,,,5720618.0,,5718520.0,,,5720572,5717048.0,5722100.0,5722404.0,,,5722622.0
5715219.0,,,5722364.0,,5729143.0,,,5728553,5715549.0,5715894.0,5728910.0,,,5722617.0
5720879.0,,,5726129.0,,5729096.0,,,5715517,5728173.0,5722476.0,5726191.0,,,5722284.0
5726058.0,,,5717360.0,,5719165.0,,,5727929,5722285.0,5717306.0,5727059.0,,,5716990.0
5727862.0,,,5728173.0,,5724575.0,,,5722476,5717229.0,5725701.0,5719589.0,,,5723766.0
5729096.0,,,5722285.0,,5721553.0,,,5718356,5726441.0,5724070.0,5719789.0,,,5727925.0
