CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
5722497.0,5724629.0,5724629.0,5717251.0,5724629.0,5727572.0,5724629.0,5717125.0,5724629.0,5729217,5724629.0,5729217.0,5724629.0
5724629.0,5727920.0,5716198.0,5724629.0,5727572.0,5716179.0,5718906.0,5717896.0,5720618.0,5715546,5723010.0,5724629.0,5722926.0
5727572.0,5722300.0,5728696.0,5726531.0,5715452.0,5721692.0,,,5717905.0,5724629,5722105.0,5722926.0,5723010.0
5718755.0,5718821.0,5718906.0,5723010.0,5728696.0,5720896.0,,,,5722926,5719116.0,5725627.0,5718833.0
5728678.0,5729096.0,,5719116.0,5724076.0,5717594.0,,,,5715904,5722589.0,5722105.0,5719116.0
5716074.0,5715997.0,,5718585.0,5726191.0,5725358.0,,,,5722946,5715894.0,5716528.0,5727023.0
5719116.0,5717896.0,,5722100.0,5719789.0,5728012.0,,,,5722105,5725358.0,5727920.0,5715452.0
5727929.0,5728910.0,,5728553.0,,5724011.0,,,,5727023,5720095.0,5728958.0,5717594.0
5718356.0,5726191.0,,5717531.0,,5719723.0,,,,5722589,5718002.0,5725358.0,5718829.0
5718002.0,5715835.0,,5728641.0,,5728696.0,,,,5719839,5727652.0,5720095.0,5725358.0
5724690.0,,,5726042.0,,5719633.0,,,,5728351,5720271.0,5718356.0,5715517.0
5720271.0,,,5724689.0,,5720993.0,,,,5722438,5729096.0,5724690.0,5727008.0
5724011.0,,,5726058.0,,5723050.0,,,,5720572,5727049.0,5722804.0,5715512.0
5729096.0,,,5724011.0,,5716170.0,,,,5717594,5720290.0,5716374.0,5726491.0
5720267.0,,,5723886.0,,5728957.0,,,,5721802,5726823.0,5726079.0,5716374.0
5720270.0,,,5728696.0,,5727211.0,,,,5725358,5726391.0,5717023.0,5728012.0
5719165.0,,,5715238.0,,5720328.0,,,,5715517,5717125.0,5716641.0,5716641.0
5722372.0,,,5722284.0,,5724921.0,,,,5727008,5717290.0,5722220.0,5725922.0
5728696.0,,,5716990.0,,5721137.0,,,,5727995,5727924.0,5720271.0,5724011.0
5722796.0,,,5723842.0,,5728187.0,,,,5720255,5725683.0,5724011.0,5729096.0
5726468.0,,,5717125.0,,5716266.0,,,,5721993,5725597.0,5718436.0,5719165.0
5720589.0,,,5715725.0,,5716318.0,,,,5727887,5715399.0,5729096.0,5728696.0
5715725.0,,,5721825.0,,5716449.0,,,,5723611,5721467.0,5716804.0,5722284.0
5719792.0,,,5722051.0,,5716454.0,,,,5724241,5717896.0,5727049.0,5727882.0
5725683.0,,,5721137.0,,5716466.0,,,,5722288,5726114.0,5719165.0,5720950.0
5722233.0,,,5726191.0,,5716482.0,,,,5722667,5722009.0,5715331.0,5725916.0
5721467.0,,,,,5716484.0,,,,5715219,5719256.0,5715238.0,5722237.0
5715997.0,,,,,5717133.0,,,,5721805,5723945.0,5722284.0,5720646.0
5727204.0,,,,,5717168.0,,,,5717470,5715406.0,5721553.0,5728094.0
5728486.0,,,,,5717177.0,,,,5720271,5726191.0,5728280.0,5721825.0
5725097.0,,,,,5721749.0,,,,5729096,5715022.0,5720950.0,5715933.0
5715757.0,,,,,5721766.0,,,,5720267,5718906.0,5725477.0,5727668.0
5726191.0,,,,,5721776.0,,,,5720270,,5717290.0,5722233.0
5718004.0,,,,,5721781.0,,,,5716231,,5715725.0,5715997.0
5723284.0,,,,,5721835.0,,,,5727049,,5727924.0,5715766.0
5719736.0,,,,,5721892.0,,,,5723924,,5719083.0,5718949.0
5719917.0,,,,,5721901.0,,,,5728696,,5720432.0,5724199.0
5716930.0,,,,,5721930.0,,,,5725206,,5725683.0,5726837.0
5726980.0,,,,,5721954.0,,,,5728280,,5728069.0,5727888.0
,,,,,5721959.0,,,,5720950,,5715834.0,5726191.0
,,,,,5721962.0,,,,5716844,,5715399.0,5721212.0
,,,,,5721972.0,,,,5723498,,5726114.0,5722181.0
,,,,,5723807.0,,,,5720618,,5725368.0,5725919.0
,,,,,5723810.0,,,,5717290,,5721991.0,5719736.0
,,,,,5725955.0,,,,5719183,,5722009.0,5723704.0
,,,,,5726000.0,,,,5727201,,5721707.0,5726501.0
,,,,,5726011.0,,,,5722237,,5716851.0,5727678.0
,,,,,5726025.0,,,,5720646,,5719426.0,5721478.0
,,,,,5728507.0,,,,5723061,,5719256.0,5722217.0
,,,,,5728603.0,,,,5728094,,5715406.0,5728909.0
,,,,,5716514.0,,,,5727924,,5726191.0,5718906.0
,,,,,5720043.0,,,,5725597,,5718004.0,
,,,,,5720945.0,,,,5720458,,5723284.0,
,,,,,5719625.0,,,,5726114,,5715198.0,
,,,,,5720919.0,,,,5725097,,5721212.0,
,,,,,5724279.0,,,,5722009,,5717254.0,
,,,,,,,,,5715848,,5720839.0,
,,,,,,,,,5719256,,5722283.0,
,,,,,,,,,5723945,,5715835.0,
,,,,,,,,,5725138,,5718906.0,
,,,,,,,,,5720945,,,
,,,,,,,,,5718634,,,
,,,,,,,,,5717299,,,
,,,,,,,,,5726664,,,
,,,,,,,,,5719634,,,
,,,,,,,,,5724234,,,
,,,,,,,,,5715022,,,
,,,,,,,,,5722177,,,
,,,,,,,,,5719095,,,
,,,,,,,,,5728909,,,
,,,,,,,,,5718906,,,
,,,,,,,,,5719752,,,
