CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
ChCC-v11001184m.g,ChCC-v11026269m.g,ChCC-v11030307m.g,ChCC-v11006219m.g,ChCC-v11006219m.g,ChCC-v11037118m.g,ChCC-v11026269m.g,ChCC-v11008201m.g,ChCC-v11006219m.g,ChCC-v11006219m.g,ChCC-v11026269m.g,ChCC-v11006219m.g,ChCC-v11008201m.g,ChCC-v11008201m.g,ChCC-v11035395m.g,ChCC-v11016393m.g,ChCC-v11024113m.g,ChCC-v11010569m.g,ChCC-v11029092m.g,ChCC-v11007301m.g,ChCC-v11013041m.g,ChCC-v11029092m.g,ChCC-v11030075m.g,ChCC-v11029092m.g,ChCC-v11007453m.g,ChCC-v11019529m.g,ChCC-v11015240m.g,ChCC-v11011491m.g
ChCC-v11003891m.g,ChCC-v11031447m.g,ChCC-v11036625m.g,ChCC-v11026269m.g,ChCC-v11023339m.g,ChCC-v11029380m.g,ChCC-v11006219m.g,ChCC-v11026269m.g,ChCC-v11026269m.g,ChCC-v11026269m.g,ChCC-v11006219m.g,ChCC-v11026269m.g,ChCC-v11037118m.g,ChCC-v11006219m.g,ChCC-v11006219m.g,ChCC-v11020794m.g,ChCC-v11011056m.g,ChCC-v11025418m.g,ChCC-v11010569m.g,ChCC-v11029090m.g,ChCC-v11027587m.g,ChCC-v11010569m.g,ChCC-v11024349m.g,ChCC-v11021230m.g,ChCC-v11028776m.g,ChCC-v11010557m.g,ChCC-v11030307m.g,ChCC-v11033127m.g
ChCC-v11021781m.g,ChCC-v11006219m.g,ChCC-v11026269m.g,ChCC-v11023339m.g,ChCC-v11026269m.g,ChCC-v11028595m.g,ChCC-v11023339m.g,ChCC-v11006219m.g,ChCC-v11023339m.g,ChCC-v11037118m.g,ChCC-v11018441m.g,ChCC-v11011521m.g,ChCC-v11029366m.g,ChCC-v11026269m.g,ChCC-v11023339m.g,ChCC-v11017557m.g,ChCC-v11012530m.g,ChCC-v11010578m.g,ChCC-v11010578m.g,ChCC-v11012902m.g,ChCC-v11010281m.g,ChCC-v11010578m.g,ChCC-v11034967m.g,ChCC-v11027317m.g,ChCC-v11014750m.g,ChCC-v11015171m.g,ChCC-v11036072m.g,ex.Cre04.g216826.t1.2.g
ChCC-v11018031m.g,ChCC-v11007308m.g,ChCC-v11006219m.g,ChCC-v11008201m.g,ChCC-v11029269m.g,ChCC-v11007594m.g,ChCC-v11025360m.g,ChCC-v11023339m.g,ChCC-v11008201m.g,ChCC-v11023339m.g,ChCC-v11023339m.g,ChCC-v11023601m.g,ChCC-v11026447m.g,ChCC-v11023339m.g,ChCC-v11026269m.g,ChCC-v11029090m.g,ChCC-v11036414m.g,ChCC-v11027112m.g,ChCC-v11001142m.g,ChCC-v11013573m.g,ChCC-v11029092m.g,ChCC-v11013505m.g,ChCC-v11021289m.g,ChCC-v11015447m.g,ChCC-v11029092m.g,ChCC-v11004331m.g,ChCC-v11012928m.g,ChCC-v11029016m.g
ChCC-v11026269m.g,ChCC-v11023339m.g,ChCC-v11029213m.g,ChCC-v11037118m.g,ChCC-v11008757m.g,ChCC-v11012251m.g,ChCC-v11028463m.g,ChCC-v11036625m.g,ChCC-v11020765m.g,ChCC-v11021851m.g,ChCC-v11018031m.g,ChCC-v11001420m.g,ChCC-v11036625m.g,ChCC-v11014179m.g,ChCC-v11014209m.g,Chreiv61e012031m.g,ChCC-v11023411m.g,ChCC-v11014750m.g,ChCC-v11031739m.g,ChCC-v11009723m.g,ChCC-v11015287m.g,ChCC-v11012107m.g,ChCC-v11012462m.g,ChCC-v11001418m.g,ChCC-v11029016m.g,ChCC-v11025626m.g,ChCC-v11001011m.g,ChCC-v11031213m.g
ChCC-v11006219m.g,ChCC-v11028017m.g,ChCC-v11023339m.g,ChCC-v11010078m.g,ChCC-v11014803m.g,ChCC-v11006219m.g,ChCC-v11031213m.g,ChCC-v11001117m.g,ChCC-v11021851m.g,ChCC-v11036427m.g,ChCC-v11023411m.g,ChCC-v11023339m.g,ChCC-v11029312m.g,ChCC-v11031447m.g,ChCC-v11015317m.g,ChCC-v11012107m.g,ChCC-v11016435m.g,ChCC-v11031353m.g,ChCC-v11036072m.g,ChCC-v11006603m.g,ChCC-v11005182m.g,ChCC-v11029747m.g,ChCC-v11010569m.g,ChCC-v11029745m.g,ChCC-v11029745m.g,ChCC-v11036072m.g,ChCC-v11002774m.g,ChCC-v11015287m.g
ChCC-v11014049m.g,ChCC-v11029745m.g,ChCC-v11034175m.g,ChCC-v11009832m.g,ChCC-v11009651m.g,ChCC-v11018031m.g,ChCC-v11036625m.g,ChCC-v11018205m.g,ChCC-v11028595m.g,ChCC-v11006458m.g,ChCC-v11007594m.g,ChCC-v11005238m.g,ChCC-v11029745m.g,ChCC-v11007308m.g,ChCC-v11022898m.g,ChCC-v11007444m.g,ChCC-v11036072m.g,ChCC-v11014803m.g,ChCC-v11000081m.g,ChCC-v11029014m.g,ChCC-v11034367m.g,ChCC-v11023002m.g,ChCC-v11023518m.g,ChCC-v11023518m.g,ChCC-v11021419m.g,ChCC-v11029090m.g,ChCC-v11005222m.g,ChCC-v11016084m.g
ChCC-v11014216m.g,ChCC-v11001322m.g,ChCC-v11029211m.g,ChCC-v11036625m.g,ChCC-v11007312m.g,ChCC-v11003874m.g,ChCC-v11018205m.g,ChCC-v11029745m.g,ChCC-v11014980m.g,ChCC-v11023540m.g,ChCC-v11037163m.g,ChCC-v11002753m.g,ChCC-v11031821m.g,ChCC-v11021162m.g,ChCC-v11026077m.g,ChCC-v11021144m.g,ChCC-v11029090m.g,ChCC-v11005012m.g,ChCC-v11027718m.g,ChCC-v11010569m.g,ChCC-v11004512m.g,ChCC-v11035995m.g,ChCC-v11035329m.g,ChCC-v11034492m.g,ChCC-v11015520m.g,ChCC-v11029092m.g,ChCC-v11008410m.g,ChCC-v11026107m.g
ChCC-v11029348m.g,ChCC-v11019593m.g,ChCC-v11016444m.g,ChCC-v11004467m.g,ChCC-v11030652m.g,ChCC-v11023339m.g,,ChCC-v11019593m.g,ChCC-v11018408m.g,ChCC-v11021844m.g,ChCC-v11015093m.g,ChCC-v11017223m.g,ChCC-v11008689m.g,ChCC-v11036625m.g,ChCC-v11027927m.g,ChCC-v11023995m.g,ChCC-v11014187m.g,Chreiv61e012031m.g,ChCC-v11035708m.g,ChCC-v11027905m.g,ChCC-v11015219m.g,ChCC-v11010727m.g,ChCC-v11009396m.g,ChCC-v11005392m.g,ChCC-v11011491m.g,ChCC-v11017729m.g,ChCC-v11001038m.g,ChCC-v11011678m.g
ex.Cre01.g039000.t1.1.g,ChCC-v11006334m.g,ChCC-v11029745m.g,ChCC-v11020840m.g,ChCC-v11036625m.g,ChCC-v11009683m.g,,ChCC-v11015699m.g,ChCC-v11015764m.g,ChCC-v11025855m.g,ChCC-v11007312m.g,ChCC-v11028643m.g,ChCC-v11014799m.g,ChCC-v11016444m.g,ChCC-v11029686m.g,ChCC-v11007353m.g,ChCC-v11008065m.g,ChCC-v11015707m.g,ChCC-v11029337m.g,ChCC-v11036696m.g,ChCC-v11007658m.g,ChCC-v11017557m.g,ChCC-v11036072m.g,ChCC-v11014140m.g,ChCC-v11022197m.g,ChCC-v11023035m.g,ChCC-v11029090m.g,ChCC-v11011718m.g
