Source_Name	Sample	Comment_Sample_description	Comment_Sample_description	Comment_Sample_source_name	Characteristics_Organism	Term_Source_REF	Term_Accession_Number	Extract_Name	Material_Type	Labeled Extract Name	Label	Hybridization_Name	Array_Design_REF	Protocol_REF	Protocol_REF	Normalization_Name	Derived_Array_Data_File	Comment_Derived_ArrayExpress_FTP_file
GSM94475 2	MA41	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42697.gif	MA41	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94475 extract 2	total RNA	GSM94475 LE 2	Cy5	GSM94475	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94475_sample_table.txt norm	GSM94475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94475 1	MA83	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42697.gif	MA83	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94475 extract 1	total RNA	GSM94475 LE 1	Cy3	GSM94475	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94475_sample_table.txt norm	GSM94475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94474 2	CB4856	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42696.gif	CB4856	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94474 extract 2	total RNA	GSM94474 LE 2	Cy5	GSM94474	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94474_sample_table.txt norm	GSM94474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94474 1	N2	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42696.gif	N2	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94474 extract 1	total RNA	GSM94474 LE 1	Cy3	GSM94474	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94474_sample_table.txt norm	GSM94474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94473 1	PB306-2	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42695.gif	PB306-2	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94473 extract 1	total RNA	GSM94473 LE 1	Cy3	GSM94473	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94473_sample_table.txt norm	GSM94473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94473 2	PB303	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42695.gif	PB303	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94473 extract 2	total RNA	GSM94473 LE 2	Cy5	GSM94473	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94473_sample_table.txt norm	GSM94473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94472 2	PB306-2(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17479.gif	PB306-2(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94472 extract 2	total RNA	GSM94472 LE 2	Cy5	GSM94472	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94472_sample_table.txt norm	GSM94472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94472 1	AB1-2(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17479.gif	AB1-2(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94472 extract 1	total RNA	GSM94472 LE 1	Cy3	GSM94472	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94472_sample_table.txt norm	GSM94472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94471 1	N2-4(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16499.gif	N2-4(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94471 extract 1	total RNA	GSM94471 LE 1	Cy3	GSM94471	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94471_sample_table.txt norm	GSM94471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94471 2	MA24-4(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16499.gif	MA24-4(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94471 extract 2	total RNA	GSM94471 LE 2	Cy5	GSM94471	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94471_sample_table.txt norm	GSM94471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
