^SAMPLE = GSM182247
!Sample_title = Saccharomyces cerevisiae MA-A1 MA-A4
!Sample_geo_accession = GSM182247
!Sample_status = Public on Jun 01 2007
!Sample_submission_date = Apr 16 2007
!Sample_last_update_date = Jun 01 2007
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = Saccharomyces cerevisiae MA-A1
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_characteristics_ch1 = Saccharomyces cerevisiae MA-A1
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Genisphere 3DNA System
!Sample_source_name_ch2 = Saccharomyces cerevisiae MA-A4
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_characteristics_ch2 = Saccharomyces cerevisiae MA-A4
!Sample_molecule_ch2 = total RNA
!Sample_extract_protocol_ch2 = See Townsend, Cavalieri and Hartl 2003, PMID: 12716989: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=PubMed&cmd=search&term=12716989
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Genisphere 3DNA System
!Sample_hyb_protocol = Genisphere 3DNA System
!Sample_scan_protocol = Axon scnanner and Genepix
!Sample_description = see Landry et al.
!Sample_data_processing = Spots of bad quality were given negative flags
!Sample_platform_id = GPL5092
!Sample_contact_name = Christian,,Landry
!Sample_contact_email = clandry@post.harvard.edu
!Sample_contact_laboratory = Hartl Laboratory
!Sample_contact_department = OEB
!Sample_contact_institute = Harvard University
!Sample_contact_address = 16 Divinity avenue
!Sample_contact_city = Cambridge
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02138
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7537
!Sample_data_row_count = 7744
#ID_REF = Platform ID
#F635_Median = median spot intensity at 635
#B635_Median = median background intensity at 635
#F532_Median = median spot intensity at 532
#B532_Median = median background intensity at 532
#Flags = zero signififies pass, less than zero is a bad spot
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = log ratio of median F635 divided by F532
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	Flags	VALUE	UNF_VALUE
1	890	50	1163	73	0	-0.39	-0.39
2	507	55	619	76	0	-0.29	-0.29
3	7740	55	10134	79	0	-0.39	-0.39
4	25020	53	28033	78	0	-0.16	-0.16
5	857	52	1100	77	0	-0.36	-0.36
6	28214	55	29612	79	0	-0.07	-0.07
7	673	52	898	77	0	-0.42	-0.42
8	295	51	360	76	0	-0.29	-0.29
9	6366	52	7525	75	0	-0.24	-0.24
10	34875	52	33686	76	0	0.05	0.05
11	845	52	1018	77	0	-0.27	-0.27
12	25841	53	24643	78	0	0.07	0.07
13	600	52	679	75	0	-0.18	-0.18
14	215	50	287	73	0	-0.42	-0.42
15	6502	50	6798	72	0	-0.06	-0.06
16	25894	50	25208	73	0	0.04	0.04
17	1111	53	1274	76	0	-0.20	-0.20
18	22802	52	22182	76	0	0.04	0.04
19	410	51	530	73	0	-0.37	-0.37
20	197	51	225	74	0	-0.19	-0.19
21	4868	51	5758	73	0	-0.24	-0.24
22	19168	54	20638	73	0	-0.11	-0.11
23	502	51	674	74	0	-0.43	-0.43
24	29420	57	31530	83	0	-0.10	-0.10
25	898	53	1026	78	0	-0.19	-0.19
26	5671	51	7305	75	0	-0.37	-0.37
27	586	50	825	72	0	-0.49	-0.49
28	599	52	857	72	0	-0.52	-0.52
29	5962	51	8775	72	0	-0.56	-0.56
30	7950	50	16450	73	0	-1.05	-1.05
31	133	51	203	73	0	-0.61	-0.61
32	181	50	233	73	0	-0.36	-0.36
33	252	51	322	75	0	-0.35	-0.35
34	191	51	270	74	0	-0.50	-0.50
35	1245	50	1164	73	0	0.10	0.10
36	517	52	518	74	0	-0.00	-0.00
37	500	51	669	73	0	-0.42	-0.42
38	608	50	749	72	0	-0.30	-0.30
39	189	50	261	73	0	-0.47	-0.47
40	459	51	594	73	0	-0.37	-0.37
41	1542	50	2165	71	0	-0.49	-0.49
42	342	51	396	73	0	-0.21	-0.21
43	798	52	1085	71	0	-0.44	-0.44
44	347	51	549	72	0	-0.66	-0.66
45	601	48	907	70	0	-0.59	-0.59
46	4379	49	4319	72	0	0.02	0.02
47	5253	48	7536	72	0	-0.52	-0.52
48	276	47	372	72	0	-0.43	-0.43
49	324	48	455	71	0	-0.49	-0.49
50	278	49	449	71	0	-0.69	-0.69
51	964	51	1152	72	0	-0.26	-0.26
52	1341	50	1974	73	0	-0.56	-0.56
53	870	49	1201	74	0	-0.47	-0.47
54	666	49	948	73	0	-0.51	-0.51
