KEGG Pathway	Hits	Score	Phytozome v5 Transcript IDs
Apoptosis	4	0.001987	Cre16.g669800.t1.2, Cre15.g641250.t1.2, Cre12.g517600.t1.2, Cre02.g112250.t1.2
Photosynthesis - antenna proteins	4	0.0056902	Cre16.g673650.t1.1, Cre10.g425900.t1.2, Cre08.g367500.t1.1, Cre03.g156900.t1.2
Wnt signaling pathway	9	0.011568	Cre03.g189650.t1.3, Cre02.g110850.t1.2, Cre16.g669800.t1.2, Cre03.g158550.t1.2, Cre15.g641250.t1.2, Cre12.g543450.t1.2, Cre01.g024650.t1.3, Cre07.g349000.t1.3, Cre12.g504250.t1.3
Proteasome	5	0.01554	Cre17.g708300.t1.2, Cre08.g373250.t1.2, Cre01.g030850.t1.2, Cre14.g610950.t1.2, Cre16.g665000.t1.2
Renal cell carcinoma	4	0.025294	Cre03.g189650.t1.3, Cre08.g385050.t1.3, Cre12.g543450.t1.2, Cre03.g177450.t1.3
Ether lipid metabolism	3	0.027956	Cre05.g248150.t1.2, Cre12.g505400.t1.2, Cre05.g230900.t1.3
Biosynthesis of ansamycins	1	0.035474	Cre02.g080200.t1.2
Insect hormone biosynthesis	1	0.035474	Cre10.g426700.t1.3
Long-term potentiation	5	0.035837	Cre03.g189650.t1.3, Cre16.g669800.t1.2, Cre08.g385050.t1.3, Cre15.g641250.t1.2, Cre16.g675500.t1.2
Photosynthesis	4	0.040566	Cre12.g486300.t1.2, Cre05.g243800.t1.2, Cre07.g330250.t1.2, Cre12.g560950.t1.2
MAPK signaling pathway	11	0.057029	Cre02.g110850.t1.2, Cre16.g669800.t1.2, Cre08.g385050.t1.3, Cre15.g641250.t1.2, Cre03.g194100.t1.2, Cre01.g024650.t1.3, Cre07.g349000.t1.3, Cre06.g268950.t1.2, Cre12.g504250.t1.3, Cre13.g584100.t1.3, Cre08.g380600.t1.3
Jak-STAT signaling pathway	1	0.069697	Cre03.g189650.t1.3
