## source: http://pathways.mcdb.ucla.edu/algal/id_conversion.html
JGI_v5.3.1_ID	JGI_v5.5_ID
g18373	Cre38.g759997.t1.1
Cre08.g363350	Cre08.g363350.t1.1
Cre08.g379050	Cre08.g379050.t1.1
g8540	Cre08.g364751.t1.1
Cre08.g372000	Cre08.g372000.t1.2
Cre08.g378150	Cre08.g378150.t1.1
g8382	Cre08.g358567.t2.1, Cre08.g358567.t1.1
g8382	Cre08.g358567.t2.1, Cre08.g358567.t1.1
g8759	Cre08.g373352.t1.1
g8447	Cre08.g360700.t1.1
Cre08.g374850	Cre08.g374850.t1.1
Cre08.g358459	Cre08.g358459.t1.2
g8455	Cre08.g361063.t1.2
Cre08.g367700	Cre08.g367700.t1.1
Cre08.g375200	Cre08.g375200.t2.1, Cre08.g375200.t1.2
g8840	N/A
Cre08.g368550	Cre08.g368550.t1.1
g9027	Cre08.g383450.t1.1
g8912	Cre08.g378601.t1.1
Cre08.g371200	Cre08.g371200.t1.2
g9056	Cre08.g384850.t1.1
g8473	Cre08.g361925.t1.1
Cre08.g367000	Cre08.g367000.t1.2
Cre08.g373435	Cre08.g373436.t1.1
g8350	Cre08.g358534.t1.1
g8677	N/A
Cre08.g370250	Cre08.g370250.t1.2, Cre08.g370250.t2.1
g8397	Cre08.g358582.t1.1
g8508	Cre08.g363283.t1.1
Cre08.g362400	Cre08.g362400.t1.1
Cre08.g382350	Cre08.g382350.t1.2
Cre08.g369600	Cre08.g369600.t1.1
Cre08.g376650	Cre08.g376650.t1.2
Cre08.g366550	Cre08.g366550.t1.1
g9046	Cre08.g384355.t1.1
Cre08.g359050	Cre08.g359051.t1.1
Cre08.g378100	Cre08.g378100.t1.1
Cre08.g359800	Cre08.g359800.t1.2
g8998	Cre08.g382476.t1.1
g8702	Cre08.g371533.t1.1
Cre08.g366650	Cre08.g366650.t1.1
Cre08.g377800	Cre08.g377800.t1.1
g8674	Cre08.g370116.t1.1
g8850	Cre08.g375676.t1.1
g8815	Cre08.g374100.t1.1, Cre08.g374100.t2.1
