	HEG
0	ChCC-v11019327m.g
1	ChCC-v11008048m.g
2	ChCC-v11010677m.g
3	ChCC-v11026996m.g
4	ChCC-v11030093m.g
5	ChCC-v11015778m.g
6	ChCC-v11019566m.g
7	ChCC-v11029841m.g
8	ChCC-v11001773m.g
9	ChCC-v11036696m.g
10	ChCC-v11024633m.g
11	ChCC-v11035616m.g
12	ChCC-v11036143m.g
13	ChCC-v11008214m.g
14	ChCC-v11001326m.g
15	ChCC-v11003036m.g
16	ChCC-v11033091m.g
17	ChCC-v11017786m.g
18	ChCC-v11033085m.g
19	ChCC-v11027350m.g
20	ChCC-v11015785m.g
21	ChCC-v11007383m.g
22	ChCC-v11018197m.g
23	ChCC-v11034159m.g
24	ChCC-v11023740m.g
25	ChCC-v11001812m.g
26	ChCC-v11004437m.g
27	ChCC-v11035453m.g
28	ChCC-v11024432m.g
29	ChCC-v11021470m.g
30	ChCC-v11018631m.g
31	ChCC-v11029930m.g
32	ChCC-v11010119m.g
33	ChCC-v11032687m.g
34	ChCC-v11000702m.g
35	ChCC-v11018206m.g
36	ChCC-v11008461m.g
37	ChCC-v11034798m.g
38	ChCC-v11026151m.g
39	fli.orf.31.g
40	ChCC-v11022161m.g
41	ChCC-v11031821m.g
42	ChCC-v11019364m.g
43	ChCC-v11014310m.g
44	ChCC-v11036105m.g
45	ChCC-v11003863m.g
46	ChCC-v11001542m.g
47	ChCC-v11006331m.g
48	ChCC-v11026107m.g
49	ChCC-v11020310m.g
50	ChCC-v11035620m.g
51	ChCC-v11000741m.g
52	ChCC-v11027342m.g
53	ChCC-v11035052m.g
54	ChCC-v11007397m.g
55	ChCC-v11018093m.g
56	ChCC-v11034366m.g
57	ChCC-v11006483m.g
58	ChCC-v11013251m.g
59	ChCC-v11036405m.g
60	ChCC-v11023579m.g
61	ChCC-v11001573m.g
62	ChCC-v11015749m.g
63	ChCC-v11005993m.g
64	ChCC-v11013084m.g
65	ChCC-v11024809m.g
66	ChCC-v11036847m.g
67	ChCC-v11006510m.g
68	ChCC-v11015550m.g
69	ChCC-v11000358m.g
70	ChCC-v11034270m.g
71	ChCC-v11016950m.g
72	ChCC-v11002305m.g
73	ChCC-v11015683m.g
74	ChCC-v11014209m.g
75	ChCC-v11019173m.g
76	ChCC-v11012916m.g
77	ChCC-v11037211m.g
78	ChCC-v11032792m.g
79	ChCC-v11024645m.g
80	ChCC-v11025916m.g
81	ChCC-v11026092m.g
82	ChCC-v11004691m.g
83	ChCC-v11017785m.g
84	ChCC-v11006735m.g
85	ChCC-v11012659m.g
86	ChCC-v11025416m.g
87	ChCC-v11000022m.g
88	ChCC-v11021298m.g
89	ChCC-v11006928m.g
90	ChCC-v11036051m.g
91	ChCC-v11010839m.g
92	ChCC-v11021493m.g
93	ChCC-v11002186m.g
94	ChCC-v11021893m.g
95	ChCC-v11008310m.g
96	ChCC-v11029850m.g
97	ChCC-v11026947m.g
98	ChCC-v11013715m.g
99	ChCC-v11020314m.g
100	ChCC-v11025957m.g
101	ChCC-v11002521m.g
102	ChCC-v11013627m.g
103	ChCC-v11026689m.g
104	ChCC-v11026866m.g
105	ChCC-v11025721m.g
106	ChCC-v11028475m.g
107	ChCC-v11003581m.g
108	ChCC-v11034367m.g
109	ChCC-v11021128m.g
110	ChCC-v11033399m.g
111	ChCC-v11028369m.g
112	ChCC-v11015156m.g
113	ChCC-v11034258m.g
114	ChCC-v11030162m.g
115	ChCC-v11023128m.g
116	ChCC-v11007105m.g
117	ChCC-v11035316m.g
118	ChCC-v11014206m.g
119	ChCC-v11015328m.g
120	ChCC-v11021804m.g
121	ChCC-v11003595m.g
122	ChCC-v11034255m.g
123	ChCC-v11005073m.g
124	ChCC-v11014262m.g
125	Chreiv61e012111m.g
126	ChCC-v11024256m.g
127	ChCC-v11001613m.g
128	ChCC-v11005957m.g
129	ChCC-v11033111m.g
130	ChCC-v11033181m.g
131	ChCC-v11018437m.g
132	ChCC-v11024568m.g
133	ChCC-v11036419m.g
134	ChCC-v11008454m.g
135	ChCC-v11033923m.g
136	ex.Chreiv61e028219m.g
137	ChCC-v11032475m.g
138	ChCC-v11006506m.g
139	ChCC-v11021584m.g
140	ChCC-v11016196m.g
141	ChCC-v11036286m.g
142	ChCC-v11016108m.g
143	ChCC-v11018107m.g
144	ChCC-v11014397m.g
145	ChCC-v11015777m.g
146	ChCC-v11016920m.g
147	ChCC-v11003442m.g
148	ChCC-v11002519m.g
149	ChCC-v11024849m.g
150	ChCC-v11013483m.g
151	ChCC-v11026080m.g
152	ChCC-v11009056m.g
153	ChCC-v11002571m.g
154	ChCC-v11030194m.g
155	ChCC-v11026613m.g
156	ChCC-v11017072m.g
157	ChCC-v11033119m.g
158	ChCC-v11015840m.g
159	ChCC-v11037001m.g
160	ChCC-v11009760m.g
161	ChCC-v11035966m.g
162	ChCC-v11024349m.g
163	ChCC-v11025200m.g
164	ChCC-v11020988m.g
165	ChCC-v11006259m.g
166	ChCC-v11023380m.g
167	ChCC-v11013138m.g
168	ChCC-v11031559m.g
169	ChCC-v11005751m.g
170	ChCC-v11006306m.g
171	ChCC-v11004467m.g
172	ChCC-v11023209m.g
173	ChCC-v11020609m.g
174	ChCC-v11026886m.g
175	ChCC-v11006312m.g
176	ChCC-v11024716m.g
177	ChCC-v11035863m.g
178	ChCC-v11019960m.g
179	ChCC-v11035458m.g
180	ChCC-v11021456m.g
181	ChCC-v11032488m.g
182	ChCC-v11027563m.g
183	ChCC-v11004425m.g
184	ChCC-v11025604m.g
185	ChCC-v11035920m.g
186	ChCC-v11033165m.g
187	ChCC-v11001857m.g
188	ChCC-v11007872m.g
189	ChCC-v11018527m.g
190	ChCC-v11019393m.g
191	ChCC-v11022541m.g
192	ChCC-v11010507m.g
193	ChCC-v11026210m.g
194	ChCC-v11008607m.g
195	ChCC-v11006004m.g
196	ChCC-v11020024m.g
197	ChCC-v11013492m.g
198	ChCC-v11021305m.g
199	ChCC-v11007850m.g
200	ChCC-v11013831m.g
201	ChCC-v11029531m.g
202	ChCC-v11027709m.g
203	ChCC-v11035492m.g
204	ChCC-v11011865m.g
205	ChCC-v11007111m.g
206	ChCC-v11000924m.g
207	ChCC-v11022597m.g
208	ChCC-v11014295m.g
209	ChCC-v11018378m.g
210	ChCC-v11019894m.g
211	ChCC-v11011678m.g
