	LEG
0	ChCC-v11002773m.g
1	ChCC-v11011048m.g
2	ChCC-v11006742m.g
3	ChCC-v11018421m.g
4	ChCC-v11016141m.g
5	ChCC-v11016504m.g
6	ChCC-v11017547m.g
7	ChCC-v11010393m.g
8	ChCC-v11001654m.g
9	ChCC-v11029377m.g
10	ChCC-v11009954m.g
11	ChCC-v11000721m.g
12	ChCC-v11008207m.g
13	ChCC-v11008236m.g
14	ChCC-v11001275m.g
15	ChCC-v11016417m.g
16	ChCC-v11004767m.g
17	ChCC-v11032897m.g
18	ChCC-v11013327m.g
19	ChCC-v11020474m.g
20	ChCC-v11033831m.g
21	ChCC-v11027624m.g
22	ChCC-v11033753m.g
23	ChCC-v11033837m.g
24	ChCC-v11027451m.g
25	ChCC-v11034815m.g
26	ChCC-v11015048m.g
27	ChCC-v11035241m.g
28	ChCC-v11017503m.g
29	ChCC-v11016418m.g
30	ChCC-v11011925m.g
31	ChCC-v11006848m.g
32	ChCC-v11035717m.g
33	ChCC-v11031074m.g
34	ChCC-v11034321m.g
35	ChCC-v11005708m.g
36	ChCC-v11015611m.g
37	ChCC-v11002246m.g
38	ChCC-v11005760m.g
39	CreCp.g006500
40	ChCC-v11008283m.g
41	ChCC-v11001922m.g
42	ChCC-v11009504m.g
43	ChCC-v11023107m.g
44	ChCC-v11010382m.g
45	ex.Cre09.g391352.t1.1.g
46	ChCC-v11011695m.g
47	ChCC-v11020152m.g
48	ChCC-v11024540m.g
49	ChCC-v11019599m.g
50	ChCC-v11036818m.g
51	ChCC-v11000515m.g
52	ChCC-v11011797m.g
53	ChCC-v11011905m.g
54	ChCC-v11029412m.g
55	ChCC-v11027853m.g
56	ChCC-v11003145m.g
57	ChCC-v11029296m.g
58	ex.Chreiv61e021016m.g
59	ChCC-v11023508m.g
60	ChCC-v11010848m.g
61	ChCC-v11001463m.g
62	ChCC-v11033697m.g
63	ChCC-v11026915m.g
64	ChCC-v11029542m.g
65	ChCC-v11009986m.g
66	ChCC-v11004178m.g
67	ChCC-v11028969m.g
68	ChCC-v11016391m.g
69	ChCC-v11032209m.g
70	ChCC-v11034439m.g
71	ChCC-v11008337m.g
72	ChCC-v11026282m.g
73	ChCC-v11031315m.g
74	ChCC-v11032144m.g
75	ChCC-v11024029m.g
76	ChCC-v11011713m.g
77	ChCC-v11035884m.g
78	ChCC-v11009219m.g
79	ChCC-v11022573m.g
80	ChCC-v11002357m.g
81	ChCC-v11031367m.g
82	ChCC-v11028302m.g
83	ChCC-v11017366m.g
84	ChCC-v11000618m.g
85	ChCC-v11032223m.g
86	ex.Cre03.g202851.t1.1.g
87	ChCC-v11024336m.g
88	ex.Chreiv61e009052m.g
89	ChCC-v11025218m.g
90	ChCC-v11020180m.g
91	ChCC-v11021642m.g
92	ChCC-v11028763m.g
93	ChCC-v11009213m.g
94	ChCC-v11034322m.g
95	ChCC-v11020113m.g
96	ChCC-v11002257m.g
97	ChCC-v11022784m.g
98	ChCC-v11036024m.g
99	ChCC-v11019929m.g
100	ChCC-v11030846m.g
101	ChCC-v11021634m.g
102	ChCC-v11000888m.g
103	ChCC-v11016944m.g
104	CreCp.g001200
105	ChCC-v11020489m.g
106	ChCC-v11018011m.g
107	ChCC-v11027497m.g
108	ChCC-v11021520m.g
109	ChCC-v11008512m.g
110	ChCC-v11022893m.g
111	ChCC-v11020776m.g
112	CreCp.g002100
113	ChCC-v11016700m.g
114	ChCC-v11014997m.g
115	ChCC-v11029935m.g
116	ChCC-v11030609m.g
117	ChCC-v11025318m.g
118	gex.Chreiv61e009404m
119	ChCC-v11022513m.g
120	ChCC-v11021017m.g
121	ChCC-v11026835m.g
122	ChCC-v11015711m.g
123	ChCC-v11033763m.g
124	ChCC-v11023123m.g
125	ChCC-v11006719m.g
126	ChCC-v11030452m.g
127	ChCC-v11007978m.g
128	ChCC-v11034458m.g
129	ChCC-v11014497m.g
130	ChCC-v11018287m.g
131	ChCC-v11028896m.g
132	ChCC-v11028149m.g
133	ChCC-v11011989m.g
134	ChCC-v11022949m.g
135	ChCC-v11022943m.g
136	ChCC-v11036897m.g
137	ex.Cre11.g478400.t1.1.g
138	ChCC-v11011582m.g
139	ChCC-v11034457m.g
140	ChCC-v11003340m.g
141	ChCC-v11023979m.g
142	ChCC-v11015663m.g
143	ChCC-v11015817m.g
144	ex.Cre05.g241600.t1.2.g
145	ChCC-v11033977m.g
146	ChCC-v11003752m.g
147	ChCC-v11033006m.g
148	ChCC-v11004176m.g
149	ChCC-v11022628m.g
150	ChCC-v11017513m.g
151	ChCC-v11009915m.g
152	ChCC-v11007045m.g
153	ChCC-v11010132m.g
154	ex.Cre03.g146547.t1.1.g
155	ChCC-v11006501m.g
156	ChCC-v11033962m.g
157	ChCC-v11011903m.g
158	ChCC-v11007288m.g
159	ChCC-v11021843m.g
160	ChCC-v11012150m.g
161	ChCC-v11017956m.g
162	ChCC-v11012994m.g
163	ChCC-v11011868m.g
164	ChCC-v11034600m.g
165	ChCC-v11015192m.g
166	ChCC-v11002623m.g
167	ChCC-v11009646m.g
168	ChCC-v11018452m.g
169	ChCC-v11004190m.g
170	ChCC-v11030745m.g
171	ex.Cre17.g744347.t1.1.g
172	ChCC-v11034480m.g
173	ChCC-v11016502m.g
174	ChCC-v11034026m.g
175	ChCC-v11025230m.g
176	ChCC-v11015359m.g
177	ChCC-v11024039m.g
178	ChCC-v11000802m.g
179	ChCC-v11034182m.g
180	ChCC-v11032544m.g
181	ChCC-v11000443m.g
182	ChCC-v11013986m.g
183	ChCC-v11008611m.g
184	ChCC-v11032349m.g
185	ChCC-v11028272m.g
186	ChCC-v11020069m.g
187	ChCC-v11030871m.g
188	ChCC-v11005878m.g
189	ChCC-v11001824m.g
190	ChCC-v11000914m.g
191	ChCC-v11034524m.g
192	ChCC-v11002595m.g
193	ChCC-v11037123m.g
194	ChCC-v11037341m.g
195	ex.Cre12.g538250.t1.1.g
196	ChCC-v11014973m.g
197	ChCC-v11018130m.g
198	ChCC-v11016137m.g
199	ChCC-v11025572m.g
200	ChCC-v11017878m.g
201	ChCC-v11030826m.g
202	ChCC-v11036038m.g
203	ChCC-v11031425m.g
204	ChCC-v11017721m.g
205	ChCC-v11006703m.g
206	ChCC-v11003951m.g
207	ChCC-v11017241m.g
208	ChCC-v11014334m.g
209	ChCC-v11007896m.g
210	ChCC-v11031026m.g
211	ChCC-v11023137m.g
212	ChCC-v11005951m.g
213	ChCC-v11028898m.g
214	Chreiv61e012099m.g
215	ChCC-v11023145m.g
216	ChCC-v11010635m.g
217	ChCC-v11018403m.g
218	ChCC-v11035535m.g
219	ChCC-v11030699m.g
220	ChCC-v11035711m.g
221	ChCC-v11017474m.g
222	ChCC-v11021316m.g
223	ChCC-v11016677m.g
224	ChCC-v11007639m.g
225	ChCC-v11020133m.g
226	ChCC-v11031513m.g
227	ChCC-v11018397m.g
228	ChCC-v11021135m.g
229	ChCC-v11020834m.g
230	ChCC-v11020041m.g
231	ChCC-v11010422m.g
232	ChCC-v11011198m.g
233	ChCC-v11005271m.g
234	ChCC-v11027847m.g
235	ChCC-v11020956m.g
236	ChCC-v11002038m.g
237	ex.Chreiv61e010409m.g
238	ChCC-v11034037m.g
239	ChCC-v11001956m.g
240	ChCC-v11012469m.g
241	ChCC-v11023535m.g
242	ChCC-v11018652m.g
243	ChCC-v11029953m.g
244	ChCC-v11033104m.g
245	ChCC-v11026566m.g
246	ChCC-v11021625m.g
247	ChCC-v11033732m.g
248	ChCC-v11000549m.g
249	ChCC-v11010165m.g
