	mean	Vm_per_gen	Vm_per_median_gen	Vm_per_mut	Vm_per_median_mut
ChCC-v11000010m.g	-0.5649381863642051	0.003070040569778609	0.0030520347581069504	0.01429807797566526	0.018005444780072846
ChCC-v11000011m.g	-0.03154754585210913	0.0034842958216900833	0.003463860399763974	0.016227385995880198	0.020435005528087684
ChCC-v11000015m.g	-0.573850263742311	0.0036450896316993463	0.003623711152834676	0.016976249856556328	0.021378043250650448
ChCC-v11000021m.g	-0.37532688949266163	0.003384996381329215	0.0033651433513883586	0.015764919422898722	0.019852625409821467
ChCC-v11000022m.g	0.33929042907656276	0.0005874351989905225	0.0005839898870078573	0.002735857748427938	0.0034452417799995727
ChCC-v11000023m.g	0.6081355502377095	0.0011263670384359002	0.0011197608870492093	0.005245821147548231	0.006606016777854601
ChCC-v11000027m.g	0.26941543293986653	0.0009986013945099468	0.0009927445896124475	0.0046507791284142305	0.005856685557562259
ChCC-v11000028m.g	0.5700678246422034	0.0013222595543777946	0.0013145044918709515	0.00615814996018944	0.007754904487464144
ChCC-v11000029m.g	0.8590708995786256	0.0016205903947061127	0.001611085619514793	0.007547564047921719	0.009504581519292952
ChCC-v11000032m.g	0.7300187853304713	0.0037405374534488136	0.0037185991723718177	0.017420778313742058	0.021937834056285372
ChCC-v11000033m.g	-0.4806094300063721	0.0010057395328975725	0.0009998408627632553	0.004684023529244647	0.0058985499413219105
ChCC-v11000035m.g	0.12556717679476187	0.0019266373607998613	0.001915337617786809	0.008972914392962847	0.011299512766246213
ChCC-v11000037m.g	0.14527593168220548	0.00064401555806095	0.0006402384018349984	0.0029993690498236886	0.00377707926153251
ChCC-v11000040m.g	0.14077851973752553	0.0007580351721134965	0.000753589289969811	0.003530391782398239	0.004445791553115155
ChCC-v11000042m.g	0.47106667078201625	0.0010490338097824813	0.0010428812183795905	0.004885657655156249	0.006152466035922779
ChCC-v11000046m.g	0.2857255383075804	0.0022894439837642354	0.00227601637710318	0.010662611081761487	0.013427333056289098
ChCC-v11000048m.g	-0.08646039245408911	0.00213748953106967	0.0021249531384482014	0.009954914696650488	0.012536137176335142
ChCC-v11000049m.g	0.0796155237009864	0.00035796230359732065	0.0003558628519198495	0.0016671352748776022	0.0020994088984413713
ChCC-v11000051m.g	-0.565320544339281	0.0028531415251830694	0.0028364078280844873	0.01328791560745331	0.01673335612796843
ChCC-v11000056m.g	-0.056468890855428944	0.001377236323556157	0.001369158821873139	0.006414192873856557	0.0080773370935255
ChCC-v11000058m.g	0.5356954027168414	0.0010780500689061483	0.001071727296919216	0.005020794871125424	0.006322643152316113
ChCC-v11000060m.g	0.8193404056381866	0.005156691773365171	0.005126447736255688	0.02401622369354023	0.030243420848304337
ChCC-v11000066m.g	0.9014041526462084	0.0034411387764122173	0.003420956470890246	0.016026390997750013	0.020181894281522707
ChCC-v11000067m.g	-0.45386333693308	0.0016235063982245604	0.0016139845206500655	0.007561144730240547	0.009521683553984856
ChCC-v11000068m.g	-0.1681749101413894	0.0007835461937660095	0.0007789506892831444	0.0036492040809773486	0.004595410843547102
ChCC-v11000071m.g	1.002964535205424	0.005047991922580726	0.00501838541093629	0.02350997665636468	0.029605908373658892
ChCC-v11000075m.g	0.5053912449144659	0.001099559131353398	0.0010931102085489578	0.005120968873736864	0.006448791399338471
ChCC-v11000079m.g	1.3102304301910643	0.006852577530748978	0.006812387110564075	0.03191446029522866	0.0401896012533692
ChCC-v11000081m.g	-0.5239746415830153	0.0018373804842915715	0.001826604233549152	0.008557218980744928	0.01077603116244197
ChCC-v11000082m.g	1.092791291537926	0.006127615089093655	0.006091676579232663	0.028538097903716687	0.03593777756760174
ChCC-v11000084m.g	0.681274593797937	0.0027380635876071186	0.002722004823501915	0.012751963952306832	0.01605843688721785
ChCC-v11000086m.g	-0.8853349139012383	0.0031913227732258257	0.0031726056404934974	0.014862924713854734	0.018716751346660628
ChCC-v11000091m.g	0.15750679125494435	0.00047466767828014517	0.0004718837486780839	0.002210666381215584	0.002783872875912797
ChCC-v11000101m.g	0.7567464200837077	0.0015716598788052686	0.0015624420814679162	0.007319680306375513	0.009217609512868732
ChCC-v11000102m.g	-0.36243561450585	0.0004848867320217836	0.00048204286759053936	0.002258259507076457	0.0028438064838464975
ChCC-v11000104m.g	0.6991003765286614	0.003402735244319082	0.003382778175809677	0.015847534502557766	0.019956661858450013
ChCC-v11000108m.g	0.12504101534052275	0.00037106371104255137	0.0003688874195091464	0.0017281523660153842	0.0021762471886641443
ChCC-v11000109m.g	0.2795010183391583	0.0009320530731024571	0.0009265865746243984	0.004340844107359268	0.005466387091117073
ChCC-v11000112m.g	-0.5777726495788669	0.0010934512895429853	0.001087038189277974	0.005092522865782446	0.006412969589840125
ChCC-v11000113m.g	-0.9856407853935589	0.0042942071986181475	0.0042690216402061386	0.019999380455722457	0.0251850452238441
ChCC-v11000118m.g	0.19547008706923283	0.0024040309586347763	0.002389931298480404	0.01119627617981351	0.014099372855651066
ChCC-v11000120m.g	1.0976288950131297	0.00497425751648141	0.004945083457698677	0.02316657393449986	0.029173464323739233
ChCC-v11000123m.g	0.8084763892060322	0.005680823229760252	0.005647505157607733	0.026457257374595557	0.03331739325392025
ChCC-v11000124m.g	-0.08186482587599403	0.0031217963135604407	0.0031034869540514554	0.014539119630803565	0.01830898643222195
ChCC-v11000133m.g	-0.4014212113779587	0.0010696764611718835	0.0010634028004590365	0.004981796527748227	0.006273532878936186
ChCC-v11000136m.g	0.38810357871423456	0.0011178145057974926	0.0011112585150808328	0.005205989498495401	0.006555857129911667
ChCC-v11000138m.g	2.2536306574579754	0.014400840337507152	0.014316379297616245	0.06706893064792017	0.08445931888852178
ChCC-v11000142m.g	1.028746626523602	0.0035995069848166264	0.0035783958485282544	0.016763958121430056	0.021110706121800858
ChCC-v11000143m.g	1.343158178510478	0.004609533841289616	0.004582498889681018	0.021467948972081353	0.027034400736665975
ChCC-v11000147m.g	0.271670046753877	0.0025688961456340332	0.002553829549883583	0.011964101635409362	0.015066288749171514
ChCC-v11000148m.g	0.046265035518963105	0.0007746907569758345	0.0007701471896981919	0.003607961718586148	0.004543474696611943
ChCC-v11000149m.g	-1.1872879605067341	0.0053845324890666926	0.005352952164398523	0.025077344628292784	0.031579681178411916
ChCC-v11000152m.g	0.8013442374105344	0.004142519246665554	0.00411822333926422	0.0192929252426099	0.024295412340953004
ChCC-v11000153m.g	0.4169152675881103	0.0020762005741511214	0.0020640236417357135	0.009669474076192567	0.012176684294738609
ChCC-v11000159m.g	-0.4297455476457635	0.0012105672844174395	0.0012034672979372404	0.005637966350600406	0.00709984180883733
ChCC-v11000161m.g	0.36294737534236	0.0006241665544779007	0.0006205058128113867	0.002906926427480699	0.0036606670741913387
ChCC-v11000163m.g	0.46477827427413404	0.0007015347608817928	0.0006974202540867017	0.0032672528214996504	0.004114422956719957
ChCC-v11000165m.g	1.4095771345751738	0.00532910268503614	0.005297847456597055	0.024819191798650587	0.0312545915735816
ChCC-v11000166m.g	0.06988090755775213	0.0003467153978270227	0.0003446819093388274	0.0016147551411192147	0.0020334470532503853
ChCC-v11000167m.g	1.2282652588607772	0.005224349591467629	0.005193708740732013	0.02433132596561284	0.030640226388848668
ChCC-v11000168m.g	-0.49404607097390457	0.004306235378563746	0.004280979274783383	0.02005539921210648	0.02525558915474429
ChCC-v11000171m.g	0.0030731313610281585	0.0012031149798412445	0.0011960587011849873	0.005603258785828215	0.007056134875498453
ChCC-v11000173m.g	0.7266545261302331	0.002959700099539074	0.002942341435578248	0.01378419009324219	0.017358310255707755
ChCC-v11000176m.g	0.5416239786280395	0.002212002453782202	0.0021990290422930765	0.01030194319836678	0.012973147139170613
ChCC-v11000177m.g	-0.22121592615855457	0.0036331116646451766	0.0036118034366498628	0.01692046495631222	0.02130779381274581
ChCC-v11000178m.g	0.12537421138389132	0.0019999639888689117	0.0019882341846154555	0.009314417973125468	0.011729565243598796
ChCC-v11000179m.g	0.19086985201954557	0.0006280214589153056	0.0006243381082044697	0.0029248798463303817	0.003683275657824863
ChCC-v11000182m.g	0.34186361392221937	0.0018846408796666094	0.0018735874463400159	0.00877732448191809	0.011053208098664355
ChCC-v11000185m.g	0.2736006818271651	0.0005837513685477282	0.0005803276622590843	0.0027187010712691083	0.0034236365262222046
ChCC-v11000186m.g	-0.31130711459754473	0.0007877383492569253	0.0007831182577497026	0.003668728176745096	0.004619997366912364
ChCC-v11000189m.g	0.747121214435727	0.0024573976312007575	0.0024429849750992874	0.011444820402050032	0.014412362425053497
