X209.CC2931.L15_rep2	X199.CC2931.ANC.rep1	X215.CC2931.L4_rep1	G6.CC2931.L14_rep3	G5.CC2931.L11_rep1	X222.CC2931.L6_rep2	X202.CC2931.L1.rep1	B6.CC2931.L13_rep1	E6.CC2931.L14_rep1	X213.CC2931.L3_rep2	C6.CC2931.L13_rep2	X203.CC2931.L1.rep2	X220.CC2931.L5_rep3	X214.CC2931.L3_rep3	X207.CC2931.L2.rep3	H5.CC2931.L11_rep2	A6.CC2931.L11_rep3	X216.CC2931.L4_rep2	C5.CC2931.L9_rep3	X200.CC2931.ANC.rep2	X205.CC2931.L2.rep1	F5.CC2931.L10_rep3	X226.CC2931.L7_rep3	F6.CC2931.L14_rep2	X201.CC2931.ANC.rep3	X218.CC2931.L5_rep1	X206.CC2931.L2.rep2	X225.CC2931.L7_rep2	X210.CC2931.L15_rep3	E5.CC2931.L10_rep2	X204.CC2931.L1.rep3	D5.CC2931.L10_rep1	X217.CC2931.L4_rep3	A5.CC2931.L9_rep1	X211.CC2931.L3_rep1	B5.CC2931.L9_rep2	X208.CC2931.L15_rep1	D6.CC2931.L13_rep3	X223.CC2931.L6_rep3	X224.CC2931.L7_rep1	X219.CC2931.L5_rep2	X221.CC2931.L6_rep1
ChCC-v11000010m.g	0	0	0	1	3	1	1	0	3	1	0	1	1	0	0	3	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	3	1	0	0
ChCC-v11000011m.g	2	2	6	0	3	0	0	0	0	2	1	5	4	0	1	1	1	8	0	0	0	1	0	1	0	1	0	0	3	2	4	0	1	1	0	0	3	1	2	0	0	0
ChCC-v11000015m.g	1	0	6	0	1	2	2	0	0	1	2	1	0	0	0	3	0	5	0	0	0	0	0	0	1	3	0	1	0	0	3	0	1	1	0	0	3	2	1	0	1	0
ChCC-v11000021m.g	1	1	0	0	0	2	2	0	1	0	0	1	2	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	1	1	0	0	0	6	2	2	0	1	1
ChCC-v11000022m.g	129	191	183	34	126	51	84	76	80	111	70	66	48	45	111	105	57	120	103	71	46	43	43	44	80	87	75	135	127	28	122	93	78	36	27	53	179	73	16	107	66	66
ChCC-v11000023m.g	16	38	21	5	15	18	22	6	6	19	16	12	5	28	7	15	6	17	21	15	6	3	11	9	23	14	13	16	31	5	25	5	10	16	7	7	22	9	14	8	4	18
ChCC-v11000027m.g	6	4	4	1	2	3	0	3	5	1	1	3	3	2	0	0	5	1	1	5	0	0	1	2	0	4	4	3	13	3	5	0	2	3	0	1	13	4	4	4	6	4
ChCC-v11000028m.g	76	161	52	16	151	46	101	18	65	38	66	72	85	27	35	120	72	34	93	42	14	24	13	49	32	39	16	56	80	50	65	17	69	11	25	9	123	60	15	30	68	41
ChCC-v11000029m.g	23	32	11	8	15	15	28	10	14	14	9	25	19	9	9	16	4	20	6	36	4	2	12	19	16	12	14	25	28	2	27	5	22	8	8	5	25	19	13	14	18	19
ChCC-v11000032m.g	2	0	1	0	0	0	6	1	6	0	0	4	2	2	1	0	0	1	0	3	0	0	1	0	0	1	1	0	1	0	1	0	3	0	0	0	1	2	2	0	0	0
ChCC-v11000033m.g	47	71	56	32	61	97	91	5	77	52	32	64	64	75	58	69	21	94	46	23	19	13	10	47	15	34	53	21	125	24	36	11	25	3	23	7	83	36	117	24	37	41
ChCC-v11000035m.g	7	4	3	0	5	16	6	1	8	6	1	6	8	3	5	11	3	3	3	3	2	0	0	1	1	2	4	2	16	2	5	0	0	0	1	1	6	5	19	1	11	5
ChCC-v11000037m.g	11	15	5	6	18	14	13	3	6	5	10	14	11	4	3	14	10	4	4	5	4	2	5	2	3	16	1	6	7	2	9	9	7	1	2	4	22	5	18	4	8	20
ChCC-v11000040m.g	411	476	112	69	623	413	437	87	258	382	230	454	173	235	114	655	324	89	278	182	43	29	72	164	142	448	101	215	184	52	293	142	208	54	125	53	377	271	512	199	158	454
ChCC-v11000042m.g	10	7	10	1	12	4	11	3	4	13	1	2	2	3	6	8	3	14	0	7	5	0	1	6	5	5	10	18	5	5	10	10	3	1	2	3	11	4	3	5	1	6
ChCC-v11000046m.g	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0
ChCC-v11000048m.g	7	1	1	2	4	3	1	1	6	5	1	3	5	1	1	2	1	0	3	3	4	0	1	7	0	1	1	1	7	0	0	0	5	2	0	0	3	1	1	1	1	6
ChCC-v11000049m.g	73	84	55	33	76	78	72	8	82	45	56	51	70	40	60	80	31	60	57	44	24	27	13	83	45	37	44	45	103	47	45	14	69	11	31	14	103	55	63	31	90	108
ChCC-v11000051m.g	1	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0
ChCC-v11000056m.g	5	3	6	1	3	5	3	1	4	2	2	8	0	3	1	8	6	6	2	1	3	0	2	5	1	0	3	3	12	2	3	0	4	1	0	0	11	4	8	0	3	2
ChCC-v11000058m.g	1	9	13	3	9	3	18	2	5	4	5	2	3	0	4	3	2	14	0	5	0	5	2	1	4	2	5	5	13	2	2	7	5	2	1	2	8	6	5	5	1	1
ChCC-v11000060m.g	1	1	0	2	2	0	3	0	3	1	7	2	0	0	1	5	1	2	0	0	1	0	1	1	3	0	1	0	5	0	0	0	2	0	1	0	1	5	0	3	0	0
ChCC-v11000066m.g	3	1	1	1	4	7	3	1	0	7	4	7	0	0	3	3	1	4	1	3	3	1	1	0	2	5	2	4	4	2	1	0	2	0	2	0	3	7	3	1	1	3
ChCC-v11000067m.g	462	391	462	67	632	70	800	245	264	266	183	387	333	56	214	418	224	287	188	117	74	48	298	103	82	222	86	650	381	49	628	152	193	108	109	103	725	295	48	525	350	113
ChCC-v11000068m.g	69	56	54	6	66	14	93	16	30	34	11	53	38	13	22	54	34	72	19	12	15	6	2	17	20	24	20	20	50	8	76	20	36	12	19	9	73	31	7	15	40	15
ChCC-v11000071m.g	2	0	0	1	3	1	2	0	0	2	0	0	0	0	1	3	2	0	0	1	0	0	1	0	2	1	0	1	1	0	2	0	2	1	0	0	0	1	1	2	0	4
ChCC-v11000075m.g	7	11	3	1	6	5	3	1	3	10	5	3	2	0	5	7	4	7	4	1	0	2	3	1	5	2	2	4	10	3	3	2	3	1	3	1	6	4	4	4	3	3
ChCC-v11000079m.g	1	1	2	1	5	1	3	0	0	4	0	6	0	0	2	3	2	6	0	2	1	0	0	2	4	0	3	3	3	0	1	0	4	1	1	1	2	2	1	1	0	2
ChCC-v11000081m.g	24	22	162	4	59	21	33	11	16	23	24	30	19	15	10	59	34	90	18	19	3	2	11	9	5	14	13	7	49	5	24	9	68	19	2	20	34	21	17	15	18	12
ChCC-v11000082m.g	3	3	5	0	4	5	4	0	4	0	1	2	3	8	0	4	1	5	4	2	0	1	0	0	1	0	0	1	5	0	0	0	4	0	0	0	2	0	1	1	0	4
ChCC-v11000084m.g	0	2	3	5	4	2	1	0	2	1	0	0	0	2	2	0	0	1	1	1	0	1	0	2	1	2	3	2	3	0	0	0	0	0	3	0	6	2	2	2	0	2
ChCC-v11000086m.g	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0
