name	285.CC2344-L12-rep3	247.CC2344-ANC-rep1	252.CC2344-L1-rep3	275.CC2344-L9-rep2	257.CC2344-L3-rep2	249.CC2344-ANC-rep3	288.CC2344-L13-rep3	251.CC2344-L1-rep2	276.CC2344-L9-rep3	265.CC2344-L6-rep1	271.CC2344-L8-rep1	254.CC2344-L2-rep2	269.CC2344-L7-rep2	240.CC2344-L15-rep2	281.CC2344-L11-rep2	290.CC2344-L14-rep2	266.CC2344-L6-rep2	253.CC2344-L2-rep1	198.CC2344-L15-rep3	282.CC2344-L11-rep3	258.CC2344-L3-rep3	264.CC2344-L5-rep3	279.CC2344-L10-rep3	259.CC2344-L4-rep1	263.CC2344-L5-rep2	287.CC2344-L13-rep2	280.CC2344-L11-rep1	250.CC2344-L1-rep1	267.CC2344-L6-rep3	286.CC2344-L13-rep1	268.CC2344-L7-rep1	248.CC2344-ANC-rep2	239.CC2344-L7-rep3	278.CC2344-L10-rep2	255.CC2344-L2-rep3	283.CC2344-L12-rep1	292.CC2344-L15-rep1	261.CC2344-L4-rep3	272.CC2344-L8-rep2	274.CC2344-L9-rep1	284.CC2344-L12-rep2	262.CC2344-L5-rep1	277.CC2344-L10-rep1	256.CC2344-L3-rep1	291.CC2344-L14-rep3	289.CC2344-L14-rep1	273.CC2344-L8-rep3	260.CC2344-L4-rep2
ChCC-v11000010m.g	0	0	1	4	0	2	0	0	4	0	0	0	0	1	3	1	0	0	2	1	0	0	0	1	1	1	4	2	0	0	0	1	0	0	0	2	1	0	0	2	1	0	0	1	0	1	0	3
ChCC-v11000011m.g	1	3	7	12	5	2	0	1	5	1	2	0	2	5	3	7	0	2	1	5	1	2	0	2	2	0	3	3	5	1	0	2	0	0	3	5	5	7	4	4	0	11	2	2	0	2	2	2
ChCC-v11000015m.g	0	0	1	1	1	0	1	0	0	2	0	0	0	2	0	1	0	0	3	2	1	2	0	0	1	0	2	3	0	1	1	1	2	0	1	0	0	1	2	2	0	1	0	0	0	0	0	2
ChCC-v11000021m.g	0	0	1	3	1	0	0	1	3	0	2	0	1	2	4	6	0	2	0	0	0	0	0	0	1	1	4	0	2	2	0	2	0	2	4	1	0	0	1	2	0	0	0	0	0	1	0	3
ChCC-v11000022m.g	13	64	107	155	141	80	95	73	99	83	76	88	27	56	76	59	98	206	101	97	101	67	24	74	44	125	80	125	62	79	37	180	10	100	95	47	31	26	87	84	40	35	117	55	64	203	29	53
ChCC-v11000023m.g	8	15	31	40	48	31	30	12	28	45	19	16	10	20	12	7	43	53	35	26	23	21	4	14	15	58	14	46	12	24	11	39	1	18	32	14	14	9	30	23	16	5	19	14	20	79	9	19
ChCC-v11000027m.g	21	15	53	80	80	37	80	23	47	114	41	41	22	36	26	36	94	139	98	54	64	50	21	61	20	96	33	71	75	35	18	80	12	66	72	24	43	43	45	98	24	26	39	35	33	104	33	37
ChCC-v11000028m.g	33	46	184	247	127	122	76	83	132	36	49	47	30	64	87	103	16	48	45	65	27	28	22	72	74	84	87	124	49	63	40	105	36	51	83	79	30	39	124	159	60	17	61	38	93	94	38	84
ChCC-v11000029m.g	13	17	61	90	37	36	27	20	65	14	15	16	7	19	24	31	12	23	6	15	13	8	7	17	27	34	32	34	15	29	18	35	6	27	31	30	12	20	26	43	13	6	13	12	23	37	9	37
ChCC-v11000032m.g	0	0	0	2	0	0	4	1	3	0	0	0	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	4	0	0	0	3	0	0	1	0	1	1	0	0	0	0	0	0
ChCC-v11000033m.g	38	15	84	173	53	80	40	64	87	26	32	9	15	48	74	135	20	24	73	41	22	23	22	73	72	39	87	72	81	30	26	17	33	62	44	44	28	43	73	107	101	6	35	26	40	34	33	126
ChCC-v11000035m.g	1	1	2	3	3	2	1	0	2	2	2	0	0	0	0	2	0	1	2	0	2	0	1	0	0	0	1	0	2	1	0	0	0	2	0	4	0	0	2	1	1	0	0	0	1	1	1	0
ChCC-v11000037m.g	14	6	25	17	32	58	23	27	17	8	13	7	9	18	11	12	12	22	17	9	4	6	0	12	16	25	6	16	12	21	4	14	4	9	24	33	5	10	32	46	10	3	7	15	17	26	8	9
ChCC-v11000040m.g	121	192	783	424	774	1267	526	806	363	167	354	156	266	252	193	275	211	400	276	223	209	136	88	300	219	762	225	420	176	251	277	463	87	309	646	565	123	41	306	942	137	68	252	436	538	696	227	112
ChCC-v11000042m.g	1	0	5	10	4	2	5	0	1	0	0	1	1	3	4	5	0	4	3	2	1	5	0	1	0	6	9	2	3	3	4	11	2	1	9	3	1	0	7	0	3	0	2	3	4	6	1	2
ChCC-v11000046m.g	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ChCC-v11000048m.g	0	0	4	22	12	8	2	2	12	1	9	1	1	5	6	3	1	0	7	12	0	3	1	1	2	6	6	10	7	5	1	3	2	4	10	11	1	2	7	4	3	0	3	2	11	3	1	7
ChCC-v11000049m.g	31	26	104	219	111	137	57	40	148	62	37	12	20	103	94	69	32	35	78	111	41	54	13	21	54	67	107	109	125	39	36	57	31	53	76	45	53	68	99	80	70	6	38	42	53	71	32	103
ChCC-v11000050m.g	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ChCC-v11000051m.g	0	0	1	6	0	2	2	0	2	2	2	1	0	0	1	0	0	1	1	2	0	0	0	0	3	1	4	1	3	0	0	2	0	2	0	5	1	0	0	7	0	0	1	2	1	0	1	5
ChCC-v11000056m.g	4	1	18	19	7	17	3	5	22	2	5	3	5	11	5	10	1	8	12	3	2	3	6	2	4	7	6	15	1	3	4	3	6	1	11	6	15	6	10	7	8	1	1	5	11	5	2	12
ChCC-v11000058m.g	0	3	0	3	3	4	11	0	4	1	4	1	3	1	2	0	1	0	5	1	0	2	1	2	0	6	4	2	1	1	0	1	0	0	1	4	0	1	2	1	3	2	2	0	2	2	0	0
ChCC-v11000060m.g	0	0	0	3	2	0	2	3	1	0	1	0	0	1	0	4	0	0	1	0	0	1	0	1	1	3	0	0	2	1	0	3	0	0	3	3	0	0	1	3	0	1	0	3	2	4	0	0
ChCC-v11000066m.g	0	1	0	28	2	5	7	1	12	2	6	0	1	2	2	1	0	3	2	0	0	1	0	0	2	11	1	1	1	1	1	7	0	7	4	7	1	1	1	10	1	0	2	4	13	0	4	5
ChCC-v11000067m.g	49	192	490	338	549	472	361	282	255	144	296	205	186	139	266	299	64	386	136	162	118	59	61	186	441	355	352	244	82	289	181	462	36	133	479	203	112	70	504	297	211	50	210	179	185	541	187	208
ChCC-v11000068m.g	10	25	63	59	116	74	78	53	60	22	43	30	42	37	58	77	14	68	23	58	16	12	17	24	67	83	81	35	8	47	21	69	9	26	67	29	19	20	80	42	75	9	38	42	24	69	30	35
ChCC-v11000071m.g	0	0	2	1	3	6	1	3	2	0	1	1	0	2	1	2	0	0	0	2	1	0	1	0	0	1	0	1	4	1	0	2	0	1	1	4	0	2	1	3	2	0	0	1	2	0	0	2
ChCC-v11000075m.g	1	0	5	5	3	5	6	4	0	2	1	1	3	2	6	0	2	2	2	6	0	3	0	6	2	4	4	2	5	2	0	3	2	3	5	2	4	7	7	1	4	0	2	1	3	2	2	3
ChCC-v11000079m.g	1	1	3	2	3	1	3	0	1	0	1	1	0	1	0	4	1	4	2	0	2	1	1	2	0	5	2	0	1	1	1	8	0	1	0	5	0	0	4	11	2	0	1	2	0	4	3	1
ChCC-v11000081m.g	10	23	38	36	50	44	33	17	26	9	18	10	23	11	18	22	8	18	15	27	20	25	1	17	37	72	30	42	25	23	24	60	13	22	38	19	16	21	32	16	15	10	15	13	31	44	11	39
ChCC-v11000082m.g	4	1	1	15	3	4	4	4	1	1	2	5	2	4	5	2	3	1	3	1	1	4	0	4	7	6	8	1	4	1	1	2	2	3	5	7	0	1	5	7	3	1	1	1	2	7	2	9
ChCC-v11000084m.g	0	0	2	10	3	3	0	0	5	1	1	3	0	1	3	1	0	0	0	0	3	4	2	1	3	3	3	2	0	2	0	1	0	1	2	1	0	0	2	4	0	0	0	1	3	0	4	1
ChCC-v11000086m.g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ChCC-v11000090m.g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ChCC-v11000091m.g	1	2	10	4	13	8	9	3	3	2	6	8	4	10	12	3	0	15	9	6	2	12	2	3	4	14	8	12	13	2	2	9	1	9	11	7	5	8	9	9	2	0	6	9	3	7	1	7
ChCC-v11000101m.g	5	1	4	10	5	6	5	2	1	2	2	4	4	8	6	4	1	7	8	2	4	2	3	3	4	8	3	4	3	5	10	7	0	2	14	10	9	2	11	5	5	1	5	2	4	4	4	3
ChCC-v11000102m.g	21	24	79	121	73	67	46	32	83	28	31	29	21	64	45	37	20	39	52	23	27	37	11	45	35	41	63	43	58	49	26	62	29	15	40	31	26	36	74	58	45	12	34	27	38	47	24	86
ChCC-v11000104m.g	1	4	10	9	8	10	7	3	2	2	4	2	1	2	2	5	0	0	6	0	5	4	0	4	4	8	3	3	1	3	4	7	2	0	7	5	0	1	13	1	5	2	3	1	2	7	2	1
ChCC-v11000108m.g	34	27	91	133	62	73	48	50	86	29	37	21	24	58	45	68	21	37	63	57	27	46	16	65	38	56	51	77	63	34	36	39	36	34	56	47	41	49	78	58	87	3	45	23	47	65	53	75
ChCC-v11000109m.g	1	2	18	24	5	4	4	9	18	10	4	3	4	15	7	5	2	4	32	5	4	7	1	4	12	7	5	13	7	9	2	6	2	12	2	2	8	4	16	15	1	0	7	6	3	4	3	12
ChCC-v11000112m.g	39	44	306	376	103	107	100	131	211	217	94	77	34	94	125	62	56	79	244	117	53	45	24	60	62	61	173	302	160	85	43	98	22	71	77	50	92	55	129	135	62	25	70	56	81	99	29	110
ChCC-v11000113m.g	0	0	4	5	0	0	2	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	3	1	2	1	2	0	0	0	1	0	0	2	3	0	0	1	3	0	3	0	0
ChCC-v11000118m.g	1	0	0	2	1	1	0	2	3	2	2	0	4	0	2	0	0	6	3	2	3	0	1	3	2	0	1	3	2	3	1	1	2	2	4	1	3	0	1	10	0	0	0	4	1	2	0	3
ChCC-v11000120m.g	0	0	3	1	0	0	0	2	0	0	0	0	2	8	0	0	0	0	0	4	0	0	1	0	2	1	0	0	1	0	0	2	0	0	1	2	3	0	0	3	7	0	0	0	0	0	0	0
ChCC-v11000121m.g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ChCC-v11000123m.g	3	4	13	21	10	10	2	7	14	6	2	2	2	8	8	17	0	0	0	16	3	1	0	7	5	5	13	16	13	4	1	7	0	1	11	10	6	6	5	13	6	1	3	0	4	4	6	10
ChCC-v11000124m.g	0	0	3	8	4	0	0	0	1	0	0	0	0	0	6	2	0	0	0	2	0	0	0	1	0	0	0	3	2	1	0	0	0	1	2	4	0	0	0	0	2	0	0	0	0	1	0	0
ChCC-v11000126m.g	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	3
ChCC-v11000128m.g	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ChCC-v11000130m.g	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ChCC-v11000133m.g	9	2	23	22	23	13	27	12	22	7	14	2	5	4	28	15	3	10	10	21	7	11	7	8	7	9	25	19	10	17	13	7	0	12	2	11	21	11	38	23	40	4	9	6	14	5	9	19
ChCC-v11000136m.g	0	8	18	21	10	17	10	8	10	9	9	3	0	8	7	12	3	9	4	5	1	3	1	9	6	14	14	13	6	7	2	16	6	11	14	13	7	5	13	13	4	1	13	10	9	9	3	7
ChCC-v11000138m.g	2	2	4	5	4	4	6	2	6	2	3	2	1	2	0	1	1	1	5	1	0	0	0	0	3	1	0	1	1	3	0	6	1	1	2	3	0	0	2	2	2	2	1	1	2	2	0	2
ChCC-v11000142m.g	1	1	5	3	2	1	4	2	1	1	2	1	2	6	1	4	0	3	5	9	0	0	1	1	3	1	1	6	2	0	0	4	6	1	4	6	0	2	6	1	7	0	0	2	0	3	0	3
ChCC-v11000143m.g	2	0	0	9	3	2	2	2	4	0	4	0	0	0	4	4	0	1	5	0	2	4	0	1	0	2	8	2	1	0	0	2	2	6	2	2	1	1	1	1	1	0	4	1	1	2	2	2
