name	F7.GB117-rep3	D7.GB117-rep1	A7.GB119-rep1	B7.GB119-rep2	G7.GB49-rep1	E7.GB117-rep2	C7.GB119-rep3	C8.GB141-rep2	G8.GB66-rep3	B8.GB141-rep1	D8.GB141-rep3	F9.GB123-rep1	G9.GB123-rep2	E9.GB57-rep3	H7.GB49-rep2	E8.GB66-rep1	D9.GB57-rep2	B9.GB13-rep3	A9.GB13-rep2	H8.GB13-rep1	H9.GB123-rep3	A8.GB49-rep3	C9.GB57-rep1	F8.GB66-rep2
ChCC-v11000010m.g	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0
ChCC-v11000011m.g	1	0	0	0	1	0	3	0	7	0	6	0	2	0	0	4	1	1	4	2	0	0	0	0
ChCC-v11000015m.g	0	0	1	1	2	0	5	2	1	0	0	0	0	1	0	1	1	0	1	1	0	2	0	0
ChCC-v11000021m.g	0	0	0	2	0	1	2	1	2	0	3	0	0	0	1	0	4	1	3	1	0	1	4	1
ChCC-v11000022m.g	26	31	13	25	78	60	22	13	129	36	35	50	36	10	1	66	34	19	97	56	76	36	31	106
ChCC-v11000023m.g	4	2	1	2	5	15	1	0	11	9	5	9	18	1	0	7	2	5	22	16	22	5	3	8
ChCC-v11000027m.g	1	7	2	1	6	7	1	1	2	1	3	3	4	0	1	6	2	5	2	6	0	2	0	9
ChCC-v11000028m.g	13	17	20	21	32	16	48	43	47	47	57	49	31	26	2	45	26	40	34	67	36	34	38	19
ChCC-v11000029m.g	2	10	4	8	14	2	17	7	15	16	15	7	6	0	1	32	8	4	20	16	7	15	9	8
ChCC-v11000032m.g	0	1	0	0	0	0	1	1	0	1	0	2	5	0	1	2	0	0	0	0	7	0	0	0
ChCC-v11000033m.g	6	7	12	17	21	4	28	34	71	15	20	13	26	13	17	22	24	11	22	37	21	15	9	24
ChCC-v11000035m.g	0	0	9	2	1	0	5	18	1	2	8	1	5	3	1	6	3	0	2	3	0	2	12	3
ChCC-v11000037m.g	10	4	1	8	10	9	3	16	26	5	3	4	17	2	1	21	8	7	13	8	7	2	6	8
ChCC-v11000040m.g	105	194	95	144	443	110	296	624	481	104	155	237	190	197	73	322	128	207	281	338	123	71	227	208
ChCC-v11000042m.g	6	3	2	1	5	7	0	3	1	1	1	1	2	0	1	3	6	0	2	2	0	1	0	7
ChCC-v11000046m.g	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ChCC-v11000048m.g	0	0	0	1	0	0	0	4	5	0	4	1	0	0	0	3	0	0	2	4	1	1	0	1
ChCC-v11000049m.g	8	15	35	30	58	11	42	18	37	53	67	18	46	1	10	58	24	51	102	86	34	31	20	28
ChCC-v11000050m.g	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ChCC-v11000051m.g	0	1	1	0	0	1	0	3	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0
ChCC-v11000056m.g	64	35	7	2	10	37	8	7	8	10	9	3	1	1	0	4	5	4	1	8	7	0	8	6
ChCC-v11000058m.g	12	3	1	0	10	5	2	0	3	1	1	2	5	0	2	4	2	0	0	1	1	1	2	3
ChCC-v11000060m.g	0	2	0	1	2	1	4	0	1	0	0	6	0	0	0	1	0	2	0	0	0	0	0	0
ChCC-v11000066m.g	5	3	1	4	5	6	1	3	9	5	4	3	2	3	0	3	2	4	2	2	0	1	1	4
ChCC-v11000067m.g	85	46	68	74	369	77	188	127	383	124	279	359	117	53	13	310	385	144	360	376	228	57	377	267
ChCC-v11000068m.g	5	8	7	12	39	11	41	34	64	20	35	47	17	6	15	38	48	21	42	58	24	10	43	37
ChCC-v11000071m.g	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0
ChCC-v11000075m.g	0	0	0	2	2	2	0	1	2	0	3	1	1	0	0	0	1	1	4	1	2	4	1	1
ChCC-v11000079m.g	2	7	0	0	0	0	0	0	0	2	0	0	1	0	2	1	0	3	0	0	2	1	1	0
ChCC-v11000081m.g	7	22	12	37	24	9	12	8	19	19	24	17	17	0	7	24	8	13	14	17	11	8	12	5
ChCC-v11000082m.g	2	5	3	1	5	0	4	2	3	3	5	2	4	5	0	10	3	1	0	9	1	6	0	0
ChCC-v11000084m.g	0	0	1	1	0	1	0	0	3	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0
ChCC-v11000086m.g	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ChCC-v11000090m.g	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ChCC-v11000091m.g	7	4	3	2	14	11	0	1	4	0	14	4	6	0	0	4	7	2	3	4	12	5	1	5
ChCC-v11000101m.g	6	4	2	1	2	5	5	9	1	1	4	0	1	0	0	2	7	1	0	1	4	3	3	2
ChCC-v11000102m.g	17	17	15	16	59	13	24	23	43	31	37	27	34	8	1	30	15	17	22	24	24	34	43	19
ChCC-v11000104m.g	4	3	4	1	6	2	2	1	5	1	1	3	9	2	1	3	6	0	2	1	4	4	1	3
ChCC-v11000108m.g	22	28	23	33	113	11	26	41	49	34	37	54	40	36	72	46	28	33	19	37	24	61	41	27
ChCC-v11000109m.g	3	2	2	0	6	1	1	2	4	4	7	3	2	2	0	2	0	3	4	2	0	6	2	0
ChCC-v11000112m.g	45	48	31	18	55	39	25	33	39	58	50	39	48	15	5	37	18	22	32	40	25	62	21	20
