level_0	index	value	expression	gene	k0	k4	k0:k4	value_group	GENEID
Cre13.g605150	ChCC-v11029745m.g	19	high		0.0232396594306843	0.2092680072814998	0.11105213707809214	(17.0, 19.0]	5724629.0
Cre12.g523400	ChCC-v11026269m.g	14	high		0.0786346834692479	0.2505046080945144	0.3139051375836541	(12.0, 14.0]	
Cre11.g467663	ChCC-v11023339m.g	14	high		0.145647473992636	0.501235678703585	0.29057682878709706	(12.0, 14.0]	
Cre03.g145187	ChCC-v11006219m.g	14	high	1.0	0.0996725050998237	0.3883081688047709	0.2566840285812681	(12.0, 14.0]	
Cre02.g088450	ChCC-v11003589m.g	12	high	1.0	0.1590368191194839	0.5734219370671683	0.2773469392065741	(11.0, 12.0]	
Cre07.g344050	ChCC-v11016444m.g	11	neither		0.0635059936440019	0.2837092258530057	0.2238418347273112	(11.0, 12.0]	
Cre09.g395251	ChCC-v11019593m.g	10	high		0.1394007448505289	0.3764820063667562	0.370271998377339	(9.0, 11.0]	
Cre03.g161550	ChCC-v11007006m.g	9	high	1.0	0.0485463545253704	0.2340799683441418	0.20739217827472567	(8.0, 9.0]	5729096.0
Cre03.g188750	ChCC-v11008201m.g	9	high		0.0263718852095198	0.2974321205181887	0.08866522271896689	(8.0, 9.0]	
Cre17.g744997	ChCC-v11037118m.g	9	neither		0.0840793319921794	0.281020087081058	0.29919331698138496	(8.0, 9.0]	
Cre03.g169050	ChCC-v11007312m.g	9	high		0.0586986167142088	0.3831192178244929	0.15321240486844664	(8.0, 9.0]	
Cre12.g559800	ChCC-v11027112m.g	9	high		0.0750625939177369	0.3421351505153856	0.21939456908962465	(8.0, 9.0]	5728696.0
Cre11.g467695	ChCC-v11023411m.g	9	high		0.0062370421812431	0.0087083706957584	0.7162122972418923	(8.0, 9.0]	
Cre07.g312150	ChCC-v11014803m.g	9	high		0.1444537065754434	0.4400048092807046	0.3283002901981646	(8.0, 9.0]	
Cre13.g582900	ChCC-v11029090m.g	9	high		0.2189559613583828	0.5898178545213796	0.37122640435505183	(8.0, 9.0]	
Cre05.g234662	ChCC-v11011056m.g	9	high		0.1144670967369038	0.4381898192406059	0.2612271935830873	(8.0, 9.0]	5726191.0
Cre03.g177950	ChCC-v11007708m.g	9	high	1.0	0.0566190415647452	0.369138161717445	0.15338170754635758	(8.0, 9.0]	
Cre13.g566600	ex.Cre13.g566600.t1.1.g	8	high		0.4078075088166799	0.8190663752896143	0.4978931147948576	(8.0, 9.0]	
Cre10.g461900	ChCC-v11022799m.g	8	high		0.032972342565837	0.2803948265196249	0.11759254967398358	(8.0, 9.0]	
Cre06.g260050	ChCC-v11012107m.g	8	neither		0.1170850417463303	0.4154817112943711	0.28180552492086686	(8.0, 9.0]	
Cre10.g421400	ChCC-v11020885m.g	8	high		0.1094814261090123	0.3711040691635983	0.29501542884119736	(8.0, 9.0]	
Cre03.g172500	ChCC-v11007452m.g	8	neither		0.0243341955949241	0.2871595915945614	0.0847410161708315	(8.0, 9.0]	5728910.0
Cre08.g376950	ChCC-v11018031m.g	8	high		0.0943124611764944	0.3848046117921715	0.2450918161745719	(8.0, 9.0]	
Cre16.g676700	ChCC-v11034400m.g	8	high	1.0	0.1116728709575072	0.3175160046442047	0.35170784881424544	(8.0, 9.0]	
Cre09.g391838	ChCC-v11005573m.g	8	high		0.0868895073417964	0.3932706466877526	0.22094073909051387	(8.0, 9.0]	
Cre07.g334300	ChCC-v11015951m.g	8	high		0.0643098780187733	0.3848737125916109	0.1670934540728492	(8.0, 9.0]	
Cre12.g489200	ChCC-v11024832m.g	8	high		0.1553371615553782	0.4130356352153455	0.37608658505794457	(8.0, 9.0]	
Cre13.g583050	ChCC-v11029092m.g	8	low		0.1329929326041689	0.427597279030462	0.3110238047017471	(8.0, 9.0]	
Cre17.g720400	ChCC-v11036072m.g	7	high		0.0958852569977164	0.3409483475143567	0.28123103601104515	(6.0, 8.0]	
Cre16.g650750	ChCC-v11032687m.g	7	high		0.0360971920840668	0.1816050390036486	0.19876756879714982	(6.0, 8.0]	
Cre07.g321850	ChCC-v11015246m.g	7	neither	1.0	0.0294417820433919	0.4522470626742357	0.06510110175021637	(6.0, 8.0]	
Cre01.g027050	ChCC-v11001322m.g	7	high		0.0333388219281253	0.3425688018717862	0.09732007627654045	(6.0, 8.0]	
Cre17.g717900	ChCC-v11035973m.g	7	high		0.0854453022653101	0.3118978614967972	0.2739528314021079	(6.0, 8.0]	
