	v5_5_gene	JGI_v5.5_ID	JGI_v6	transcript	gene	k0	k4	BetweennessCentralitychlamynetUnDirected	OutdegreechlamynetUnDirected	IndegreechlamynetUnDirected	BetweennessCentralitychlamynetDirected	OutdegreechlamynetDirected	IndegreechlamynetDirected
0				g18373.t1	g18373			4.48923730805762e-05	94.0	12.0	0.0550255420471155	94.0	12.0
2	Cre08.g379050	Cre08.g379050.t1.1	ChCC-v11018131m.g	Cre08.g379050.t1.3	Cre08.g379050	0.1661616983138686	0.4978960139836034	1.380392746419936e-06	0.0	4.0	0.0	0.0	4.0
4	Cre08.g372000	Cre08.g372000.t1.2	ChCC-v11017841m.g	Cre08.g372000.t1.2	Cre08.g372000	0.045077943052279	0.1839403527519112	0.0002752334069951	8.0	7.0	0.0133054741813622	8.0	7.0
5	Cre08.g378150	Cre08.g378150.t1.1	ChCC-v11018084m.g	Cre08.g378150.t1.3	Cre08.g378150	0.0315732250138521	0.2541230462103794	7.454789164697491e-05	186.0	66.0	0.0868067797993076	186.0	66.0
10				Cre08.g374850.t1.3	Cre08.g374850			2.304414239466093e-05	1.0	15.0	0.0130368343547235	1.0	15.0
16	Cre08.g368550	Cre08.g368550.t1.1	ChCC-v11017708m.g	Cre08.g368550.t1.2	Cre08.g368550	0.2001881862843941	0.8531836929011198	0.0002897023720731	0.0	4.0	0.0	0.0	4.0
17	Cre08.g383450	Cre08.g383450.t1.1	ChCC-v11018346m.g	g9027.t1	g9027	0.0934220419813216	0.2999589861634248	0.0003552397270337	3.0	0.0	0.0	3.0	0.0
18	Cre08.g378601	Cre08.g378601.t1.1	ex.Cre08.g378601.t1.1.g	g8912.t1	g8912	0.4063511637452218	0.7920395056869853	0.0001101176232966	0.0	5.0	0.0	0.0	5.0
21				g8473.t1	g8473			0.0011831635261538	75.0	17.0	0.6273877179383167	75.0	17.0
23				Cre08.g373435.t1.2	Cre08.g373435			0.0	2.0	0.0	0.0	2.0	0.0
26				Cre08.g370250.t1.2	Cre08.g370250			0.0032797326102854	41.0	18.0	1.3329648914643435	41.0	18.0
