seq_id	source	type	start	end	score	strand	phase	attributes	length
chromosome_01	JGI_gene	gene	27912	34257	.	+	.	ChCC-v11000010m.g	6345
chromosome_01	JGI_gene	gene	34228	44035	.	+	.	ChCC-v11000011m.g	9807
chromosome_01	JGI_gene	gene	45127	50471	.	+	.	ChCC-v11000015m.g	5344
chromosome_01	JGI_gene	gene	50276	55511	.	-	.	ChCC-v11000021m.g	5235
chromosome_01	JGI_gene	gene	55410	58109	.	-	.	ChCC-v11000022m.g	2699
chromosome_01	JGI_gene	gene	58006	61839	.	+	.	ChCC-v11000023m.g	3833
chromosome_01	JGI_gene	gene	61892	64662	.	-	.	ChCC-v11000027m.g	2770
chromosome_01	JGI_gene	gene	64465	69414	.	-	.	ChCC-v11000028m.g	4949
chromosome_01	JGI_gene	gene	68839	73616	.	+	.	ChCC-v11000029m.g	4777
chromosome_01	JGI_gene	gene	73776	81160	.	+	.	ChCC-v11000032m.g	7384
chromosome_01	JGI_gene	gene	81269	88176	.	+	.	ChCC-v11000033m.g	6907
chromosome_01	JGI_gene	gene	87627	92926	.	-	.	ChCC-v11000035m.g	5299
chromosome_01	JGI_gene	gene	93594	101474	.	+	.	ChCC-v11000037m.g	7880
chromosome_01	JGI_gene	gene	101165	107652	.	-	.	ChCC-v11000040m.g	6487
chromosome_01	JGI_gene	gene	107779	114715	.	-	.	ChCC-v11000042m.g	6936
chromosome_01	JGI_gene	gene	115197	117889	.	-	.	ChCC-v11000046m.g	2692
chromosome_01	JGI_gene	gene	118135	120416	.	-	.	ChCC-v11000048m.g	2281
chromosome_01	JGI_gene	gene	120146	124673	.	+	.	ChCC-v11000049m.g	4527
chromosome_01	JGI_gene	gene	125453	129652	.	+	.	ChCC-v11000050m.g	4199
chromosome_01	JGI_gene	gene	130360	135968	.	-	.	ChCC-v11000051m.g	5608
chromosome_01	JGI_gene	gene	137505	142027	.	-	.	ChCC-v11000056m.g	4522
chromosome_01	JGI_gene	gene	156068	169954	.	+	.	ChCC-v11000058m.g	13886
chromosome_01	JGI_gene	gene	170493	179951	.	+	.	ChCC-v11000060m.g	9458
chromosome_01	JGI_gene	gene	183765	213459	.	+	.	ChCC-v11000066m.g	29694
chromosome_01	JGI_gene	gene	214328	223298	.	-	.	ChCC-v11000067m.g	8970
chromosome_01	JGI_gene	gene	222586	228543	.	+	.	ChCC-v11000068m.g	5957
chromosome_01	JGI_gene	gene	228876	233546	.	+	.	ChCC-v11000071m.g	4670
chromosome_01	JGI_gene	gene	241783	247770	.	+	.	ChCC-v11000075m.g	5987
chromosome_01	JGI_gene	gene	248817	251391	.	+	.	ChCC-v11000079m.g	2574
chromosome_01	JGI_gene	gene	253151	257339	.	-	.	ChCC-v11000081m.g	4188
chromosome_01	JGI_gene	gene	256842	263604	.	+	.	ChCC-v11000082m.g	6762
chromosome_01	JGI_gene	gene	263641	271317	.	+	.	ChCC-v11000084m.g	7676
chromosome_01	JGI_gene	gene	271258	271869	.	+	.	ChCC-v11000086m.g	611
chromosome_01	JGI_gene	gene	273668	275561	.	-	.	ChCC-v11000090m.g	1893
chromosome_01	JGI_gene	gene	280005	291716	.	+	.	ChCC-v11000091m.g	11711
chromosome_01	JGI_gene	gene	301479	310919	.	-	.	ChCC-v11000101m.g	9440
