	chromosome	end	gene	gene_end	gene_length	gene_midpoint	gene_start	min_distance_to_mutations	start	trial
0	chromosome_04	3329823.0	ChCC-v11010359m.g	3345700.0	16741.0	3337329.0	3328959.0	499133.0	3329822.0	trial_0
1	chromosome_07	3217092.0	ChCC-v11015941m.g	3217371.0	808.0	3216967.0	3216563.0	381725.0	3217091.0	trial_0
2	chromosome_12	3534872.0	ChCC-v11025751m.g	3536582.0	2088.0	3535538.0	3534494.0	1883395.0	3534871.0	trial_0
3	chromosome_13	1880940.0	ChCC-v11028773m.g	1882572.0	3569.0	1880787.0	1879003.0	1603486.0	1880939.0	trial_0
4	chromosome_09	5458606.0	ex.Cre09.g408676.t1.1.g	5463929.0	8971.0	5459443.0	5454958.0	415975.0	5458605.0	trial_0
5	chromosome_08	795666.0	ChCC-v11017336m.g	796526.0	6508.0	793272.0	790018.0	587993.0	795665.0	trial_0
8	chromosome_04	1116780.0	ChCC-v11009674m.g	1117649.0	5611.0	1114843.0	1112038.0	542538.0	1116779.0	trial_0
9	chromosome_12	1868360.0	ChCC-v11025040m.g	1869818.0	7097.0	1866269.0	1862721.0	214126.0	1868359.0	trial_0
0	chromosome_10	1139117.0	ChCC-v11021070m.g	1139861.0	18771.0	1130475.0	1121090.0	855414.0	1139116.0	trial_1
1	chromosome_17	6450673.0	intergenic	6450673.0	1.0	6450672.0	6450672.0	1077720.0	6450672.0	trial_1
2	chromosome_04	3312049.0	intergenic	3312049.0	1.0	3312048.0	3312048.0	473852.0	3312048.0	trial_1
3	chromosome_06	2734540.0	intergenic	2734540.0	1.0	2734539.0	2734539.0	3534466.0	2734539.0	trial_1
5	chromosome_07	1332802.0	ChCC-v11015279m.g	1337519.0	11245.0	1331896.0	1326274.0	212917.0	1332801.0	trial_1
6	chromosome_09	5756658.0	ChCC-v11020311m.g	5757304.0	3473.0	5755567.0	5753831.0	119851.0	5756657.0	trial_1
7	chromosome_01	7950458.0	intergenic	7950458.0	1.0	7950457.0	7950457.0	16493.0	7950457.0	trial_1
8	chromosome_07	980173.0	ChCC-v11015139m.g	982099.0	11205.0	976496.0	970894.0	141792.0	980172.0	trial_1
9	chromosome_11	3788011.0	ChCC-v11024166m.g	3789722.0	15603.0	3781920.0	3774119.0	361101.0	3788010.0	trial_1
10	chromosome_05	1014443.0	ChCC-v11010893m.g	1017462.0	3964.0	1015480.0	1013498.0	1853841.0	1014442.0	trial_1
0	chromosome_11	1459995.0	ChCC-v11023458m.g	1460500.0	1355.0	1459822.0	1459145.0	399601.0	1459994.0	trial_2
1	chromosome_12	1576979.0	intergenic	1576979.0	1.0	1576978.0	1576978.0	75165.0	1576978.0	trial_2
2	chromosome_04	730300.0	intergenic	730300.0	1.0	730299.0	730299.0	157994.0	730299.0	trial_2
4	chromosome_12	182928.0	ChCC-v11024459m.g	187360.0	6171.0	184274.0	181189.0	1241340.0	182927.0	trial_2
6	chromosome_02	3154017.0	ChCC-v11003975m.g	3167012.0	17301.0	3158361.0	3149711.0	593435.0	3154016.0	trial_2
7	chromosome_07	6037793.0	intergenic	6037793.0	1.0	6037792.0	6037792.0	538936.0	6037792.0	trial_2
8	chromosome_12	4218402.0	ChCC-v11026058m.g	4227760.0	9795.0	4222862.0	4217965.0	1229403.0	4218401.0	trial_2
10	chromosome_12	3764991.0	ChCC-v11025855m.g	3776853.0	13621.0	3770042.0	3763232.0	1682223.0	3764990.0	trial_2
0	chromosome_08	1815640.0	ChCC-v11017641m.g	1820954.0	6719.0	1817594.0	1814235.0	1612315.0	1815639.0	trial_3
1	chromosome_17	6750163.0	intergenic	6750163.0	1.0	6750162.0	6750162.0	1377210.0	6750162.0	trial_3
2	chromosome_14	3356480.0	ChCC-v11030898m.g	3359774.0	5855.0	3356846.0	3353919.0	1935128.0	3356479.0	trial_3
3	chromosome_04	2630900.0	ChCC-v11010130m.g	2646643.0	20489.0	2636398.0	2626154.0	182522.0	2630899.0	trial_3
4	chromosome_09	4038964.0	ChCC-v11019801m.g	4042639.0	3858.0	4040710.0	4038781.0	1398488.0	4038963.0	trial_3
5	chromosome_07	1314169.0	ChCC-v11015274m.g	1321201.0	16702.0	1312850.0	1304499.0	193871.0	1314168.0	trial_3
6	chromosome_02	8403147.0	intergenic	8403147.0	1.0	8403146.0	8403146.0	942474.0	8403146.0	trial_3
7	chromosome_05	885703.0	intergenic	885703.0	1.0	885702.0	885702.0	1983619.0	885702.0	trial_3
9	chromosome_13	1512969.0	ChCC-v11028600m.g	1516910.0	9623.0	1512098.0	1507287.0	1234797.0	1512968.0	trial_3
10	chromosome_07	1939653.0	ChCC-v11015509m.g	1941892.0	4478.0	1939653.0	1937414.0	155295.0	1939652.0	trial_3
0	chromosome_07	37148.0	intergenic	37148.0	1.0	37147.0	37147.0	574544.0	37147.0	trial_4
1	chromosome_12	5022530.0	ChCC-v11026341m.g	5025566.0	9238.0	5020947.0	5016328.0	431318.0	5022529.0	trial_4
2	chromosome_17	1933498.0	ChCC-v11035665m.g	1943523.0	11125.0	1937960.0	1932398.0	188971.0	1933497.0	trial_4
3	chromosome_05	233986.0	ChCC-v11010652m.g	263205.0	31003.0	247703.0	232202.0	2621618.0	233985.0	trial_4
5	chromosome_07	1022871.0	ChCC-v11015148m.g	1036081.0	21232.0	1025465.0	1014849.0	93054.0	1022870.0	trial_4
6	chromosome_02	6478250.0	ChCC-v11005154m.g	6482662.0	10072.0	6477626.0	6472590.0	501830.0	6478249.0	trial_4
7	chromosome_12	2037390.0	ChCC-v11025127m.g	2040802.0	3642.0	2038981.0	2037160.0	386838.0	2037389.0	trial_4
8	chromosome_06	5725131.0	ChCC-v11013723m.g	5729758.0	8922.0	5725297.0	5720836.0	543708.0	5725130.0	trial_4
9	chromosome_17	5272739.0	intergenic	5272739.0	1.0	5272738.0	5272738.0	100214.0	5272738.0	trial_4
10	chromosome_10	4312599.0	ChCC-v11022240m.g	4339025.0	82974.0	4297538.0	4256051.0	4022477.0	4312598.0	trial_4
1	chromosome_07	5539943.0	ChCC-v11016817m.g	5541680.0	2416.0	5540472.0	5539264.0	41616.0	5539942.0	trial_5
3	chromosome_09	1895348.0	ChCC-v11019085m.g	1897523.0	11516.0	1891765.0	1886007.0	750457.0	1895347.0	trial_5
4	chromosome_12	1054376.0	ChCC-v11024720m.g	1057554.0	5118.0	1054995.0	1052436.0	370619.0	1054375.0	trial_5
5	chromosome_06	7433583.0	ChCC-v11014264m.g	7434042.0	10293.0	7428895.0	7423749.0	426206.0	7433582.0	trial_5
6	chromosome_03	6521667.0	ChCC-v11008422m.g	6523335.0	3240.0	6521715.0	6520095.0	871200.0	6521666.0	trial_5
7	chromosome_07	6339996.0	intergenic	6339996.0	1.0	6339995.0	6339995.0	841139.0	6339995.0	trial_5
8	chromosome_07	6288509.0	ChCC-v11017064m.g	6290429.0	2538.0	6289160.0	6287891.0	790304.0	6288508.0	trial_5
9	chromosome_13	2621090.0	ChCC-v11029017m.g	2621199.0	2601.0	2619898.0	2618598.0	1596977.0	2621089.0	trial_5
10	chromosome_12	5812942.0	ChCC-v11026737m.g	5815350.0	6961.0	5811869.0	5808389.0	344223.0	5812941.0	trial_5
0	chromosome_11	279140.0	intergenic	279140.0	1.0	279139.0	279139.0	781082.0	279139.0	trial_6
1	chromosome_10	1609461.0	ChCC-v11021242m.g	1612206.0	5829.0	1609291.0	1606377.0	1334230.0	1609460.0	trial_6
2	chromosome_11	2142111.0	ChCC-v11023690m.g	2143857.0	3391.0	2142161.0	2140466.0	1081940.0	2142110.0	trial_6
