seq_id	source	type	start	end	score	strand	phase	attributes	genename
chromosome_01	JGI_gene	mRNA	27912	34257	.	+	.	ID=PAC4GC:75136167	ChCC-v11000010m.g
chromosome_01	JGI_gene	mRNA	40849	44035	.	+	.	ID=PAC4GC:75137443	ChCC-v11000011m.g
chromosome_01	JGI_gene	mRNA	39579	44035	.	+	.	ID=PAC4GC:75137442	ChCC-v11000011m.g
chromosome_01	JGI_gene	mRNA	34228	44035	.	+	.	ID=PAC4GC:75137441	ChCC-v11000011m.g
chromosome_01	JGI_gene	mRNA	45127	50471	.	+	.	ID=PAC4GC:75137901	ChCC-v11000015m.g
chromosome_01	JGI_gene	mRNA	50276	55493	.	-	.	ID=PAC4GC:75137352	ChCC-v11000021m.g
chromosome_01	JGI_gene	mRNA	50469	55511	.	-	.	ID=PAC4GC:75137350	ChCC-v11000021m.g
chromosome_01	JGI_gene	mRNA	55410	58109	.	-	.	ID=PAC4GC:75136952	ChCC-v11000022m.g
chromosome_01	JGI_gene	mRNA	58006	61839	.	+	.	ID=PAC4GC:75136271	ChCC-v11000023m.g
chromosome_01	JGI_gene	mRNA	62069	64662	.	-	.	ID=PAC4GC:75135986	ChCC-v11000027m.g
chromosome_01	JGI_gene	mRNA	61892	64522	.	-	.	ID=PAC4GC:75135987	ChCC-v11000027m.g
chromosome_01	JGI_gene	mRNA	61892	62769	.	-	.	ID=PAC4GC:75135989	ChCC-v11000027m.g
chromosome_01	JGI_gene	mRNA	64465	69414	.	-	.	ID=PAC4GC:75137954	ChCC-v11000028m.g
chromosome_01	JGI_gene	mRNA	68839	73616	.	+	.	ID=PAC4GC:75138163	ChCC-v11000029m.g
chromosome_01	JGI_gene	mRNA	73776	81160	.	+	.	ID=PAC4GC:75136992	ChCC-v11000032m.g
chromosome_01	JGI_gene	mRNA	81269	88176	.	+	.	ID=PAC4GC:75136672	ChCC-v11000033m.g
chromosome_01	JGI_gene	mRNA	81269	88176	.	+	.	ID=PAC4GC:75136671	ChCC-v11000033m.g
chromosome_01	JGI_gene	mRNA	87627	92789	.	-	.	ID=PAC4GC:75136027	ChCC-v11000035m.g
chromosome_01	JGI_gene	mRNA	87627	92926	.	-	.	ID=PAC4GC:75136026	ChCC-v11000035m.g
chromosome_01	JGI_gene	mRNA	95769	101474	.	+	.	ID=PAC4GC:75136469	ChCC-v11000037m.g
chromosome_01	JGI_gene	mRNA	93594	101471	.	+	.	ID=PAC4GC:75136468	ChCC-v11000037m.g
chromosome_01	JGI_gene	mRNA	101165	104630	.	-	.	ID=PAC4GC:75135929	ChCC-v11000040m.g
chromosome_01	JGI_gene	mRNA	101165	107652	.	-	.	ID=PAC4GC:75135927	ChCC-v11000040m.g
chromosome_01	JGI_gene	mRNA	101165	107652	.	-	.	ID=PAC4GC:75135928	ChCC-v11000040m.g
chromosome_01	JGI_gene	mRNA	107779	114715	.	-	.	ID=PAC4GC:75137629	ChCC-v11000042m.g
chromosome_01	JGI_gene	mRNA	115310	117889	.	-	.	ID=PAC4GC:75135709	ChCC-v11000046m.g
chromosome_01	JGI_gene	mRNA	115197	117889	.	-	.	ID=PAC4GC:75135710	ChCC-v11000046m.g
chromosome_01	JGI_gene	mRNA	115323	117889	.	-	.	ID=PAC4GC:75135711	ChCC-v11000046m.g
chromosome_01	JGI_gene	mRNA	118135	120416	.	-	.	ID=PAC4GC:75137382	ChCC-v11000048m.g
chromosome_01	JGI_gene	mRNA	120146	124673	.	+	.	ID=PAC4GC:75137677	ChCC-v11000049m.g
chromosome_01	JGI_gene	mRNA	125453	129652	.	+	.	ID=PAC4GC:75137567	ChCC-v11000050m.g
chromosome_01	JGI_gene	mRNA	130360	135968	.	-	.	ID=PAC4GC:75136939	ChCC-v11000051m.g
chromosome_01	JGI_gene	mRNA	137510	142027	.	-	.	ID=PAC4GC:75136710	ChCC-v11000056m.g
chromosome_01	JGI_gene	mRNA	137505	141081	.	-	.	ID=PAC4GC:75136711	ChCC-v11000056m.g
chromosome_01	JGI_gene	mRNA	156068	169954	.	+	.	ID=PAC4GC:75136113	ChCC-v11000058m.g
chromosome_01	JGI_gene	mRNA	170493	179951	.	+	.	ID=PAC4GC:75135614	ChCC-v11000060m.g
chromosome_01	JGI_gene	mRNA	183765	213459	.	+	.	ID=PAC4GC:75137645	ChCC-v11000066m.g
chromosome_01	JGI_gene	mRNA	214328	223298	.	-	.	ID=PAC4GC:75137177	ChCC-v11000067m.g
chromosome_01	JGI_gene	mRNA	222586	228543	.	+	.	ID=PAC4GC:75137424	ChCC-v11000068m.g
chromosome_01	JGI_gene	mRNA	228876	233546	.	+	.	ID=PAC4GC:75136450	ChCC-v11000071m.g
chromosome_01	JGI_gene	mRNA	228876	233546	.	+	.	ID=PAC4GC:75136451	ChCC-v11000071m.g
chromosome_01	JGI_gene	mRNA	228876	233546	.	+	.	ID=PAC4GC:75136452	ChCC-v11000071m.g
chromosome_01	JGI_gene	mRNA	241783	247770	.	+	.	ID=PAC4GC:75135655	ChCC-v11000075m.g
chromosome_01	JGI_gene	mRNA	241783	247770	.	+	.	ID=PAC4GC:75135656	ChCC-v11000075m.g
chromosome_01	JGI_gene	mRNA	243779	247770	.	+	.	ID=PAC4GC:75135657	ChCC-v11000075m.g
chromosome_01	JGI_gene	mRNA	248817	251391	.	+	.	ID=PAC4GC:75135573	ChCC-v11000079m.g
chromosome_01	JGI_gene	mRNA	253151	257339	.	-	.	ID=PAC4GC:75135871	ChCC-v11000081m.g
chromosome_01	JGI_gene	mRNA	256842	263604	.	+	.	ID=PAC4GC:75135975	ChCC-v11000082m.g
chromosome_01	JGI_gene	mRNA	258766	263604	.	+	.	ID=PAC4GC:75135976	ChCC-v11000082m.g
chromosome_01	JGI_gene	mRNA	263641	271317	.	+	.	ID=PAC4GC:75136908	ChCC-v11000084m.g
chromosome_01	JGI_gene	mRNA	271370	271869	.	+	.	ID=PAC4GC:75137929	ChCC-v11000086m.g
chromosome_01	JGI_gene	mRNA	271258	271591	.	+	.	ID=PAC4GC:75137930	ChCC-v11000086m.g
chromosome_01	JGI_gene	mRNA	273668	275561	.	-	.	ID=PAC4GC:75135667	ChCC-v11000090m.g
chromosome_01	JGI_gene	mRNA	280005	291716	.	+	.	ID=PAC4GC:75137622	ChCC-v11000091m.g
chromosome_01	JGI_gene	mRNA	301479	310919	.	-	.	ID=PAC4GC:75137360	ChCC-v11000101m.g
chromosome_01	JGI_gene	mRNA	313666	321223	.	-	.	ID=PAC4GC:75137824	ChCC-v11000102m.g
chromosome_01	JGI_gene	mRNA	321024	336860	.	+	.	ID=PAC4GC:75136494	ChCC-v11000104m.g
chromosome_01	JGI_gene	mRNA	321024	336860	.	+	.	ID=PAC4GC:75136493	ChCC-v11000104m.g
chromosome_01	JGI_gene	mRNA	321010	336780	.	+	.	ID=PAC4GC:75136492	ChCC-v11000104m.g
chromosome_01	JGI_gene	mRNA	336329	341254	.	-	.	ID=PAC4GC:75135886	ChCC-v11000108m.g
chromosome_01	JGI_gene	mRNA	341436	345536	.	-	.	ID=PAC4GC:75136652	ChCC-v11000109m.g
chromosome_01	JGI_gene	mRNA	341432	345536	.	-	.	ID=PAC4GC:75136651	ChCC-v11000109m.g
chromosome_01	JGI_gene	mRNA	345469	352542	.	+	.	ID=PAC4GC:75137095	ChCC-v11000112m.g
chromosome_01	JGI_gene	mRNA	353950	356917	.	+	.	ID=PAC4GC:75136718	ChCC-v11000113m.g
chromosome_01	JGI_gene	mRNA	352512	356917	.	+	.	ID=PAC4GC:75136714	ChCC-v11000113m.g
chromosome_01	JGI_gene	mRNA	356890	359968	.	-	.	ID=PAC4GC:75138175	ChCC-v11000118m.g
chromosome_01	JGI_gene	mRNA	360068	362571	.	+	.	ID=PAC4GC:75135995	ChCC-v11000120m.g
chromosome_01	JGI_gene	mRNA	360200	361875	.	+	.	ID=PAC4GC:75136994	ChCC-v11000121m.g
chromosome_01	JGI_gene	mRNA	365909	367959	.	-	.	ID=PAC4GC:75136081	ChCC-v11000123m.g
chromosome_01	JGI_gene	mRNA	367599	372579	.	+	.	ID=PAC4GC:75135795	ChCC-v11000124m.g
chromosome_01	JGI_gene	mRNA	373016	376155	.	+	.	ID=PAC4GC:75136076	ChCC-v11000126m.g
chromosome_01	JGI_gene	mRNA	373014	376116	.	+	.	ID=PAC4GC:75136077	ChCC-v11000126m.g
chromosome_01	JGI_gene	mRNA	376270	379888	.	+	.	ID=PAC4GC:75135821	ChCC-v11000128m.g
chromosome_01	JGI_gene	mRNA	380382	382926	.	+	.	ID=PAC4GC:75137376	ChCC-v11000130m.g
chromosome_01	JGI_gene	mRNA	381269	383104	.	+	.	ID=PAC4GC:75137377	ChCC-v11000130m.g
chromosome_01	JGI_gene	mRNA	384668	387190	.	-	.	ID=PAC4GC:75135644	ChCC-v11000133m.g
chromosome_01	JGI_gene	mRNA	387642	398128	.	+	.	ID=PAC4GC:75137998	ChCC-v11000136m.g
chromosome_01	JGI_gene	mRNA	399090	407596	.	-	.	ID=PAC4GC:75137541	ChCC-v11000138m.g
chromosome_01	JGI_gene	mRNA	408851	411833	.	-	.	ID=PAC4GC:75136978	ChCC-v11000142m.g
chromosome_01	JGI_gene	mRNA	411921	416846	.	+	.	ID=PAC4GC:75135664	ChCC-v11000143m.g
chromosome_01	JGI_gene	mRNA	414960	416846	.	+	.	ID=PAC4GC:75135666	ChCC-v11000143m.g
chromosome_01	JGI_gene	mRNA	419194	421822	.	+	.	ID=PAC4GC:75137888	ChCC-v11000147m.g
