Reactome Pathway	Hits	Score	Phytozome v5 Transcript IDs
3' -UTR-mediated translational regulation	29	6.9268e-07	Cre06.g298650.t1.2, Cre12.g498100.t1.2, Cre13.g568650.t1.2, Cre03.g194400.t1.2, Cre06.g308250.t1.2, Cre14.g621450.t1.2, Cre02.g102250.t1.2, Cre12.g520500.t1.3, Cre02.g091100.t1.2, Cre09.g400650.t1.2, Cre12.g537800.t1.2, Cre12.g494050.t1.2, Cre06.g272950.t1.3, Cre16.g654500.t1.1, Cre13.g568900.t1.2, Cre08.g360900.t1.2, Cre02.g075700.t1.2, Cre12.g498250.t1.2, Cre10.g420750.t1.2, Cre12.g515650.t1.2, Cre10.g456200.t1.2, Cre06.g282500.t1.2, Cre06.g257150.t1.2, Cre01.g040000.t1.2, Cre06.g302750.t1.2, Cre16.g682300.t1.2, Cre14.g617900.t1.2, Cre08.g382500.t1.2, Cre10.g430400.t1.2
Regulation of beta-cell development	25	1.2687e-05	Cre13.g568650.t1.2, Cre05.g234700.t1.3, Cre14.g621450.t1.2, Cre02.g102250.t1.2, Cre12.g520500.t1.3, Cre02.g091100.t1.2, Cre09.g400650.t1.2, Cre12.g537800.t1.2, Cre03.g206800.t1.3, Cre12.g494050.t1.2, Cre06.g272950.t1.3, Cre13.g568900.t1.2, Cre08.g360900.t1.2, Cre06.g280950.t1.2, Cre02.g075700.t1.2, Cre12.g498250.t1.2, Cre10.g420750.t1.2, Cre10.g456200.t1.2, Cre06.g282500.t1.2, Cre06.g257150.t1.2, Cre01.g040000.t1.2, Cre16.g682300.t1.2, Cre14.g617900.t1.2, Cre08.g382500.t1.2, Cre10.g430400.t1.2
Metabolism of proteins	47	3.0476e-05	Cre06.g298650.t1.2, Cre13.g587050.t1.2, Cre10.g439100.t1.2, Cre12.g516200.t1.2, Cre02.g078100.t1.3, Cre12.g498100.t1.2, Cre13.g568650.t1.2, Cre03.g194400.t1.2, Cre06.g308250.t1.2, Cre12.g498600.t1.2, Cre14.g621450.t1.2, Cre10.g441400.t1.2, Cre02.g102250.t1.2, Cre12.g520500.t1.3, Cre02.g091100.t1.2, Cre16.g656700.t1.2, Cre10.g435550.t1.2, Cre12.g522550.t1.2, Cre09.g400650.t1.2, Cre12.g537800.t1.2, Cre12.g494050.t1.2, Cre06.g272950.t1.3, Cre09.g414250.t1.3, Cre03.g172650.t1.2, Cre16.g654500.t1.1, Cre13.g568900.t1.2, Cre08.g360900.t1.2, Cre06.g251600.t1.2, Cre02.g075700.t1.2, Cre02.g097400.t1.2, Cre12.g498250.t1.2, Cre10.g420750.t1.2, Cre12.g515650.t1.2, Cre10.g456200.t1.2, Cre06.g282500.t1.2, Cre06.g257150.t1.2, Cre08.g367650.t1.2, Cre06.g249300.t1.2, Cre01.g040000.t1.2, Cre01.g027150.t1.3, Cre06.g302750.t1.2, Cre10.g441100.t1.2, Cre16.g682300.t1.2, Cre14.g617900.t1.2, Cre08.g382500.t1.2, Cre10.g430400.t1.2, Cre06.g293250.t1.3
Diabetes pathways	37	0.00017723	Cre02.g080600.t1.2, Cre06.g250100.t1.2, Cre13.g568650.t1.2, Cre06.g308250.t1.2, Cre14.g621450.t1.2, Cre02.g102250.t1.2, Cre12.g520500.t1.3, Cre02.g091100.t1.2, Cre10.g439900.t1.2, Cre09.g400650.t1.2, Cre12.g537800.t1.2, Cre07.g320150.t1.2, Cre12.g494050.t1.2, Cre09.g406800.t1.3, Cre06.g272950.t1.3, Cre09.g415450.t1.2, Cre13.g568900.t1.2, Cre08.g360900.t1.2, Cre02.g075700.t1.2, Cre12.g498250.t1.2, Cre10.g420750.t1.2, Cre10.g456200.t1.2, Cre06.g282500.t1.2, Cre06.g257150.t1.2, Cre10.g432550.t1.2, Cre07.g330400.t1.3, Cre01.g040000.t1.2, Cre09.g394800.t1.3, Cre16.g682300.t1.2, Cre03.g169800.t1.2, Cre07.g316050.t1.2, Cre14.g617900.t1.2, Cre09.g397350.t1.3, Cre08.g382500.t1.2, Cre10.g430400.t1.2, Cre07.g323850.t1.2, Cre06.g260350.t1.2
Gene Expression	54	0.011969	Cre13.g587050.t1.2, Cre02.g078100.t1.3, Cre06.g273300.t1.2, Cre12.g516200.t1.2, Cre08.g372800.t1.3, Cre06.g298650.t1.2, Cre05.g233800.t1.2, Cre12.g498050.t1.2, Cre12.g498100.t1.2, Cre06.g296250.t1.3, Cre10.g421600.t1.2, Cre13.g606050.t1.2, Cre13.g568650.t1.2, Cre03.g194400.t1.2, Cre06.g308250.t1.2, Cre12.g498600.t1.2, Cre10.g433750.t1.3, Cre14.g621450.t1.2, Cre02.g102250.t1.2, Cre16.g676400.t1.2, Cre12.g520500.t1.3, Cre02.g091100.t1.2, Cre09.g400650.t1.2, Cre12.g537800.t1.2, Cre12.g494050.t1.2, Cre06.g272950.t1.3, Cre16.g654500.t1.1, Cre13.g568900.t1.2, Cre08.g360900.t1.2, Cre06.g251600.t1.2, Cre16.g683500.t1.2, Cre02.g075700.t1.2, Cre12.g498250.t1.2, Cre10.g420750.t1.2, Cre12.g515650.t1.2, Cre10.g456200.t1.2, Cre01.g040150.t1.2, Cre06.g282500.t1.2, Cre17.g709750.t1.3, Cre16.g661900.t1.3, Cre06.g257150.t1.2, Cre07.g321650.t1.2, Cre01.g040000.t1.2, Cre06.g288100.t1.2, Cre07.g330300.t1.2, Cre06.g302750.t1.2, Cre03.g188550.t1.2, Cre16.g682300.t1.2, Cre03.g188750.t1.2, Cre07.g344050.t1.1, Cre14.g617900.t1.2, Cre01.g020400.t1.2, Cre08.g382500.t1.2, Cre10.g430400.t1.2
Metabolism of carbohydrates	20	0.025701	Cre06.g258700.t1.3, Cre12.g552200.t1.2, Cre10.g444700.t1.1, Cre06.g257950.t1.2, Cre13.g567800.t1.2, Cre12.g526800.t1.2, Cre12.g485150.t1.2, Cre05.g234700.t1.3, Cre02.g145800.t1.2, Cre07.g354250.t1.2, Cre03.g194700.t1.3, Cre03.g187450.t1.2, Cre03.g166950.t1.2, Cre03.g206800.t1.3, Cre06.g280950.t1.2, Cre03.g199000.t1.2, Cre06.g260200.t1.2, Cre07.g320850.t1.2, Cre03.g185550.t1.2, Cre16.g695950.t1.2
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	8	0.030517	Cre12.g528450.t1.2, Cre15.g638500.t1.2, Cre07.g327400.t1.1, Cre01.g051900.t1.2, Cre15.g641200.t1.2, Cre04.g221700.t1.2, Cre16.g679500.t1.2, Cre16.g664600.t1.2
Metabolism of lipids and lipoproteins	30	0.094893	Cre17.g725150.t1.2, Cre13.g585900.t1.2, Cre17.g723650.t1.2, Cre03.g158550.t1.2, Cre03.g182050.t1.2, Cre03.g180800.t1.1, Cre12.g530900.t1.2, Cre12.g512300.t1.2, Cre02.g097800.t1.3, Cre01.g022500.t1.2, Cre16.g663950.t1.2, Cre03.g206800.t1.3, Cre16.g695050.t1.2, Cre03.g172550.t1.2, Cre10.g432900.t1.2, Cre06.g308100.t1.2, Cre12.g534350.t1.2, Cre12.g529150.t1.2, Cre09.g395750.t1.3, Cre07.g340850.t1.2, Cre04.g224500.t1.3, Cre06.g260200.t1.2, Cre04.g224400.t1.3, Cre03.g172000.t1.2, Cre16.g682100.t1.2, Cre12.g530550.t1.3, Cre10.g426600.t1.2, Cre10.g427350.t1.3, Cre02.g103100.t1.1, Cre10.g426750.t1.2
PLC-mediated hydrolysis of PIP2	1	0.11224	Cre06.g270200.t1.3
Hormone biosynthesis	7	0.11297	Cre13.g585900.t1.2, Cre12.g512300.t1.2, Cre02.g097800.t1.3, Cre10.g426600.t1.2, Cre10.g427350.t1.3, Cre02.g103100.t1.1, Cre10.g426750.t1.2
