seq_id,source,type,start,end,score,strand,phase,attributes
chromosome_01,JGI_gene,gene,214328,223298,.,-,.,ID=ChCC-v11000067m.g
chromosome_01,JGI_gene,gene,499946,504861,.,+,.,ID=ChCC-v11000163m.g
chromosome_01,JGI_gene,gene,2353816,2360708,.,+,.,ID=ChCC-v11000695m.g
chromosome_01,JGI_gene,gene,2946549,2950766,.,+,.,ID=ChCC-v11000939m.g
chromosome_01,JGI_gene,gene,4924401,4939020,.,+,.,ID=ChCC-v11001667m.g
chromosome_01,JGI_gene,gene,6923138,6928905,.,+,.,ID=ChCC-v11002396m.g
chromosome_01,JGI_gene,gene,7174042,7176799,.,-,.,ID=ChCC-v11002485m.g
chromosome_01,JGI_gene,gene,7891588,7897599,.,+,.,ID=ChCC-v11002686m.g
chromosome_02,JGI_gene,gene,313295,317627,.,+,.,ID=ChCC-v11002915m.g
chromosome_02,JGI_gene,gene,345412,349077,.,-,.,ID=ChCC-v11002927m.g
chromosome_02,JGI_gene,gene,410178,415018,.,-,.,ID=ChCC-v11002959m.g
chromosome_02,JGI_gene,gene,648693,654474,.,+,.,ID=ChCC-v11003049m.g
chromosome_02,JGI_gene,gene,1766363,1771309,.,+,.,ID=ChCC-v11003493m.g
chromosome_02,JGI_gene,gene,1818710,1828007,.,+,.,ID=ChCC-v11003506m.g
chromosome_02,JGI_gene,gene,1826891,1832533,.,-,.,ID=ChCC-v11003509m.g
chromosome_02,JGI_gene,gene,2010391,2021857,.,-,.,ID=ChCC-v11003589m.g
chromosome_02,JGI_gene,gene,4989106,5003145,.,-,.,ID=ChCC-v11004630m.g
chromosome_02,JGI_gene,gene,5216786,5222219,.,-,.,ID=ChCC-v11004700m.g
chromosome_02,JGI_gene,gene,6434602,6441791,.,-,.,ID=ChCC-v11005145m.g
chromosome_02,JGI_gene,gene,6524390,6539047,.,-,.,ID=ChCC-v11005175m.g
chromosome_02,JGI_gene,gene,6633349,6639984,.,-,.,ID=ChCC-v11005222m.g
chromosome_02,JGI_gene,gene,6736879,6741669,.,-,.,ID=ChCC-v11005262m.g
chromosome_02,JGI_gene,gene,6850995,6857744,.,+,.,ID=ChCC-v11005309m.g
chromosome_02,JGI_gene,gene,7348858,7354511,.,+,.,ID=ChCC-v11005569m.g
chromosome_02,JGI_gene,gene,7567708,7569606,.,-,.,ID=ChCC-v11005644m.g
chromosome_03,JGI_gene,gene,244298,252824,.,+,.,ID=ChCC-v11006108m.g
chromosome_03,JGI_gene,gene,1413700,1416977,.,+,.,ID=ChCC-v11006504m.g
chromosome_03,JGI_gene,gene,2314205,2318949,.,-,.,ID=ChCC-v11006818m.g
chromosome_03,JGI_gene,gene,2333392,2341913,.,+,.,ID=ChCC-v11006827m.g
chromosome_03,JGI_gene,gene,2582447,2585437,.,-,.,ID=ChCC-v11006928m.g
chromosome_03,JGI_gene,gene,2703294,2708306,.,+,.,ID=ChCC-v11006975m.g
chromosome_03,JGI_gene,gene,2761751,2768187,.,-,.,ID=ChCC-v11007006m.g
chromosome_03,JGI_gene,gene,3829749,3833004,.,+,.,ID=ChCC-v11007353m.g
chromosome_03,JGI_gene,gene,3907188,3911602,.,-,.,ID=ChCC-v11007383m.g
chromosome_03,JGI_gene,gene,3963377,3967244,.,+,.,ID=ChCC-v11007400m.g
chromosome_03,JGI_gene,gene,4095520,4096792,.,-,.,ID=ChCC-v11007444m.g
chromosome_03,JGI_gene,gene,4299248,4304555,.,-,.,ID=ChCC-v11007540m.g
chromosome_03,JGI_gene,gene,5122238,5123864,.,+,.,ID=ChCC-v11007834m.g
chromosome_03,JGI_gene,gene,5131825,5139096,.,-,.,ID=ChCC-v11007854m.g
chromosome_03,JGI_gene,gene,5232840,5240469,.,-,.,ID=ChCC-v11007907m.g
chromosome_03,JGI_gene,gene,5386489,5390943,.,+,.,ID=ChCC-v11007998m.g
chromosome_03,JGI_gene,gene,5546115,5547308,.,-,.,ID=ChCC-v11008065m.g
chromosome_03,JGI_gene,gene,5595405,5601269,.,+,.,ID=ChCC-v11008089m.g
chromosome_03,JGI_gene,gene,6545600,6549265,.,-,.,ID=ChCC-v11008434m.g
chromosome_03,JGI_gene,gene,6603044,6603520,.,-,.,ID=ChCC-v11008460m.g
chromosome_03,JGI_gene,gene,6726392,6729857,.,-,.,ID=ChCC-v11008545m.g
chromosome_03,JGI_gene,gene,7890590,7898770,.,-,.,ID=ChCC-v11008930m.g
chromosome_03,JGI_gene,gene,8080814,8084167,.,+,.,ID=ChCC-v11009010m.g
chromosome_03,JGI_gene,gene,8920130,8924380,.,+,.,ID=ChCC-v11009278m.g
chromosome_04,JGI_gene,gene,1150706,1155171,.,+,.,ID=ChCC-v11009690m.g
chromosome_04,JGI_gene,gene,1240771,1243747,.,-,.,ID=ChCC-v11009723m.g
chromosome_04,JGI_gene,gene,2107106,2111461,.,-,.,ID=ChCC-v11009983m.g
chromosome_04,JGI_gene,gene,2141806,2146928,.,+,.,ID=ChCC-v11009993m.g
chromosome_04,JGI_gene,gene,4072448,4078668,.,-,.,ID=ChCC-v11010578m.g
chromosome_04,JGI_gene,gene,146897,149119,.,+,.,ID=ex.Cre04.g216826.t1.2.g
chromosome_05,JGI_gene,gene,482491,494130,.,-,.,ID=ChCC-v11010727m.g
chromosome_05,JGI_gene,gene,606333,608507,.,+,.,ID=ChCC-v11010760m.g
chromosome_05,JGI_gene,gene,1087379,1093849,.,+,.,ID=ChCC-v11010918m.g
chromosome_05,JGI_gene,gene,1528663,1532141,.,-,.,ID=ChCC-v11011056m.g
chromosome_05,JGI_gene,gene,1880625,1884111,.,+,.,ID=ChCC-v11011118m.g
chromosome_05,JGI_gene,gene,2337547,2340607,.,-,.,ID=ChCC-v11011267m.g
chromosome_05,JGI_gene,gene,3116825,3123564,.,-,.,ID=ChCC-v11011505m.g
chromosome_05,JGI_gene,gene,3122873,3131116,.,+,.,ID=ChCC-v11011506m.g
chromosome_06,JGI_gene,gene,57466,63332,.,-,.,ID=ChCC-v11011678m.g
chromosome_06,JGI_gene,gene,788376,793833,.,-,.,ID=ChCC-v11011880m.g
chromosome_06,JGI_gene,gene,1443520,1447511,.,+,.,ID=ChCC-v11012107m.g
chromosome_06,JGI_gene,gene,2631681,2636599,.,+,.,ID=ChCC-v11012513m.g
chromosome_06,JGI_gene,gene,2922632,2927616,.,-,.,ID=ChCC-v11012639m.g
chromosome_06,JGI_gene,gene,2931849,2939804,.,-,.,ID=ChCC-v11012646m.g
chromosome_06,JGI_gene,gene,3909733,3912643,.,-,.,ID=ChCC-v11013075m.g
chromosome_06,JGI_gene,gene,4677741,4682842,.,+,.,ID=ChCC-v11013270m.g
chromosome_06,JGI_gene,gene,4904572,4908248,.,-,.,ID=ChCC-v11013379m.g
chromosome_06,JGI_gene,gene,5111364,5115865,.,+,.,ID=ChCC-v11013479m.g
chromosome_06,JGI_gene,gene,6813116,6820490,.,+,.,ID=ChCC-v11014062m.g
chromosome_06,JGI_gene,gene,7055621,7064579,.,+,.,ID=ChCC-v11014123m.g
chromosome_06,JGI_gene,gene,7816267,7820726,.,+,.,ID=ChCC-v11014397m.g
chromosome_06,JGI_gene,gene,8409609,8413049,.,-,.,ID=ChCC-v11014629m.g
chromosome_06,JGI_gene,gene,8555454,8577965,.,-,.,ID=ChCC-v11014706m.g
chromosome_06,JGI_gene,gene,8793215,8809780,.,+,.,ID=ChCC-v11014767m.g
chromosome_07,JGI_gene,gene,1120223,1123674,.,+,.,ID=ChCC-v11015190m.g
chromosome_07,JGI_gene,gene,1252869,1256257,.,-,.,ID=ChCC-v11015246m.g
chromosome_07,JGI_gene,gene,1527727,1530900,.,+,.,ID=ChCC-v11015348m.g
chromosome_07,JGI_gene,gene,1793587,1803186,.,-,.,ID=ChCC-v11015447m.g
chromosome_07,JGI_gene,gene,3543479,3545487,.,-,.,ID=ChCC-v11016062m.g
chromosome_07,JGI_gene,gene,3833996,3834698,.,-,.,ID=ChCC-v11016169m.g
chromosome_07,JGI_gene,gene,3886814,3903518,.,+,.,ID=ChCC-v11016188m.g
chromosome_07,JGI_gene,gene,4392355,4399502,.,-,.,ID=ChCC-v11016385m.g
chromosome_07,JGI_gene,gene,4403797,4405638,.,-,.,ID=ChCC-v11016393m.g
chromosome_07,JGI_gene,gene,4931731,4936640,.,-,.,ID=ChCC-v11016593m.g
chromosome_08,JGI_gene,gene,1560663,1564199,.,-,.,ID=ChCC-v11017557m.g
chromosome_08,JGI_gene,gene,1957542,1962324,.,+,.,ID=ChCC-v11017696m.g
chromosome_08,JGI_gene,gene,2054512,2058014,.,+,.,ID=ChCC-v11017729m.g
chromosome_08,JGI_gene,gene,2171920,2183153,.,-,.,ID=ChCC-v11017769m.g
chromosome_08,JGI_gene,gene,2252384,2261042,.,-,.,ID=ChCC-v11017792m.g
chromosome_08,JGI_gene,gene,2322873,2336489,.,+,.,ID=ChCC-v11017810m.g
chromosome_08,JGI_gene,gene,3241351,3244775,.,-,.,ID=ChCC-v11018035m.g
chromosome_08,JGI_gene,gene,3353363,3354004,.,+,.,ID=ChCC-v11018058m.g
chromosome_08,JGI_gene,gene,3715168,3721220,.,+,.,ID=ChCC-v11018202m.g
chromosome_08,JGI_gene,gene,4416239,4419653,.,-,.,ID=ChCC-v11018425m.g
chromosome_08,JGI_gene,gene,4453696,4460019,.,+,.,ID=ChCC-v11018453m.g
