## source: http://pathways.mcdb.ucla.edu/algal/id_conversion.html
JGI_v5.3.1_ID	JGI_v5.5_ID
g6935	N/A
g13204	N/A
g11333	N/A
g15729	N/A
g5327	Cre05.g241632.t1.1
g16153	Cre16.g683793.t1.1
g2467	N/A
g2934	Cre03.g145387.t1.1
g2320	N/A
g5450	N/A
g9019	N/A
g9986	Cre09.g401256.t1.1
g9348	N/A
g13041	N/A
g12457	N/A
g2116	N/A
g7311	N/A
g10308	N/A
g5268	Cre05.g243601.t1.1
g5662	Cre06.g252850.t1.2, Cre06.g252850.t2.1
g16327	N/A
g8459	N/A
g8403	N/A
g12710	N/A
g15403	N/A
g1362	Cre02.g075994.t1.2
g12233	N/A
g13769	N/A
g8663	Cre08.g369700.t1.2
g2647	N/A
g11655	Cre11.g467725.t1.1
g17610	Cre17.g728600.t1.2
g11713	Cre11.g467783.t1.1
g10440	N/A
g14281	N/A
g16743	Cre16.g676869.t1.1
g17581	Cre17.g727201.t1.1
g11935	N/A
g10022	Cre09.g402589.t1.1
g7902	N/A
g2710	N/A
g10524	N/A
g14114	N/A
g6539	N/A
g7811	N/A
g3635	N/A
g9497	N/A
g13008	N/A
g1374	N/A
g14437	N/A
g2922	Cre03.g145167.t1.1
g1802	Cre02.g095035.t1.1
g14370	N/A
g13313	N/A
g13505	Cre12.g551852.t1.1
g117	N/A
g4773	N/A
g11138	N/A
g15172	N/A
g15490	Cre15.g642702.t1.1
g13094	N/A
g12702	N/A
g3836	N/A
g16872	Cre16.g691103.t1.1
g10244	Cre09.g413533.t1.1
g3524	N/A
g6454	N/A
g8453	N/A
g4186	Cre03.g206250.t1.1
g4468	Cre03.g211073.t1.1
g540	N/A
g13885	N/A
g10301	N/A
g11760	Cre11.g468380.t1.1
g11143	N/A
g1806	Cre02.g095036.t1.1
g15185	Cre14.g630550.t1.1
g2477	Cre02.g119400.t1.1
g2190	N/A
g16727	Cre16.g675076.t1.1
g6680	N/A
g16656	N/A
g6324	Cre06.g278181.t1.1, Cre06.g278181.t2.1
g2229	N/A
g3226	N/A
g1045	N/A
g9014	N/A
g17584	Cre17.g727326.t1.1
g6272	Cre06.g278126.t1.1
g6613	N/A
g2075	N/A
g16528	Cre16.g679151.t1.1
g3785	N/A
g14147	N/A
g15657	Cre16.g691352.t1.1
g14138	N/A
g4009	N/A
g3501	N/A
g11715	Cre11.g467785.t1.1
g11624	N/A
g5673	N/A
g11395	N/A
g10897	N/A
g587	N/A
g6989	N/A
g7971	N/A
g6668	N/A
g17704	N/A
g13388	N/A
g2554	N/A
g11696	Cre11.g467766.t1.1
g7283	Cre07.g314800.t1.2
g7611	N/A
g1919	Cre02.g095146.t1.1
g11645	Cre11.g467715.t1.1
g16941	N/A
g8281	N/A
g13230	N/A
g13468	N/A
g744	N/A
g8460	Cre08.g361300.t1.1
g8770	N/A
g8642	N/A
g7776	N/A
g17322	N/A
g13300	N/A
g10262	N/A
g10575	N/A
g1020	N/A
g17639	N/A
g4683	N/A
g13296	Cre12.g561101.t1.1
g5553	N/A
g1932	N/A
g11481	Cre11.g467552.t1.1
g10119	N/A
g17315	N/A
g8584	Cre08.g366350.t1.1
g3312	N/A
g6963	Cre06.g300966.t1.1
g12333	Cre12.g510750.t1.1
g13685	Cre12.g544113.t1.1
g13581	N/A
g5917	Cre06.g263357.t1.2
g5585	N/A
g10830	N/A
g3896	N/A
g9837	Cre09.g396475.t1.1
g5073	N/A
g13722	N/A
g15573	N/A
g4114	N/A
g1400	N/A
g9831	Cre09.g396252.t1.1
g3969	Cre03.g191776.t1.1
g6993	N/A
g12126	N/A
g5568	N/A
g15433	Cre15.g638954.t1.1, Cre15.g638954.t2.1
g1525	N/A
g9054	N/A
g8349	Cre08.g358532.t1.1
g3308	N/A
g5127	Cre05.g232455.t1.1
g5203	Cre05.g246551.t1.1
g3930	Cre03.g189800.t1.2
g5010	N/A
g12196	N/A
g10507	N/A
g11981	N/A
g11129	N/A
g9717	Cre09.g392171.t1.1
g5001	N/A
g3252	N/A
g14825	N/A
g9982	Cre09.g401108.t1.1
g336	N/A
g1248	Cre01.g057061.t1.1
g7012	N/A
g6146	N/A
g8804	N/A
g13728	N/A
g4898	Cre04.g224550.t2.1, Cre04.g224550.t1.2
g6413	Cre06.g278271.t1.1
g15505	N/A
g878	N/A
g1791	N/A
g6786	N/A
g5854	N/A
g4366	Cre03.g199983.t1.1
g6589	N/A
g15391	Cre15.g640652.t1.1
g4432	Cre03.g207265.t1.1
g5405	Cre05.g235102.t1.1
g12519	N/A
g17237	N/A
g6066	Cre06.g270350.t1.1
g10974	N/A
g10437	N/A
g4836	N/A
g16585	N/A
g10937	N/A
g9092	Cre09.g386149.t2.1, Cre09.g386149.t1.1
g14927	N/A
g7999	N/A
g13575	N/A
g9219	N/A
g8417	N/A
g3052	N/A
g1033	N/A
g12528	N/A
g17178	N/A
g10558	N/A
g6871	Cre06.g296983.t1.1
g4843	N/A
g9832	Cre09.g396289.t1.1
g11077	N/A
g10115	N/A
g12191	N/A
g11755	Cre11.g468365.t1.1, Cre11.g468365.t2.1
g8119	N/A
g12984	N/A
g17125	N/A
g7271	N/A
g469	N/A
g3842	N/A
g2194	Cre02.g107050.t1.1
g16787	Cre16.g681578.t1.1
g12840	N/A
g8261	N/A
g7973	N/A
g9690	Cre09.g391245.t1.1
g8781	Cre08.g373371.t1.1
g14502	N/A
g8822	N/A
g243	N/A
g2018	N/A
g16789	Cre16.g681802.t1.1
g3651	N/A
g4120	Cre03.g198651.t1.1
g5925	N/A
g15997	N/A
g1193	N/A
g6381	Cre06.g278239.t2.1, Cre06.g278239.t1.1
g12100	N/A
g1950	N/A
g3426	N/A
g9103	N/A
g4442	Cre03.g208385.t1.1
g772	N/A
g13256	N/A
