	total_exon_length
ChCC-v11000010m.g	5705
ChCC-v11000011m.g	7950
ChCC-v11000015m.g	3349
ChCC-v11000021m.g	3016
ChCC-v11000022m.g	2011
ChCC-v11000023m.g	2706
ChCC-v11000027m.g	649
ChCC-v11000028m.g	3011
ChCC-v11000029m.g	2785
ChCC-v11000032m.g	3730
ChCC-v11000033m.g	4565
ChCC-v11000035m.g	2589
ChCC-v11000037m.g	3686
ChCC-v11000040m.g	3717
ChCC-v11000042m.g	4166
ChCC-v11000046m.g	1028
ChCC-v11000048m.g	1633
ChCC-v11000049m.g	2785
ChCC-v11000050m.g	2247
ChCC-v11000051m.g	4057
ChCC-v11000056m.g	2296
ChCC-v11000058m.g	9971
ChCC-v11000060m.g	8835
ChCC-v11000066m.g	17292
ChCC-v11000067m.g	3404
ChCC-v11000068m.g	5010
ChCC-v11000071m.g	2206
ChCC-v11000075m.g	1507
ChCC-v11000079m.g	2352
ChCC-v11000081m.g	1983
ChCC-v11000082m.g	2450
ChCC-v11000084m.g	2179
ChCC-v11000086m.g	333
ChCC-v11000090m.g	706
ChCC-v11000091m.g	4173
ChCC-v11000101m.g	5629
ChCC-v11000102m.g	2924
ChCC-v11000104m.g	3785
ChCC-v11000108m.g	3008
ChCC-v11000109m.g	1526
ChCC-v11000112m.g	3459
ChCC-v11000113m.g	4405
ChCC-v11000118m.g	2785
ChCC-v11000120m.g	1221
ChCC-v11000121m.g	393
ChCC-v11000123m.g	1840
ChCC-v11000124m.g	3302
ChCC-v11000126m.g	1548
ChCC-v11000128m.g	2223
ChCC-v11000130m.g	763
ChCC-v11000133m.g	874
ChCC-v11000136m.g	2450
ChCC-v11000138m.g	2761
ChCC-v11000142m.g	909
ChCC-v11000143m.g	923
ChCC-v11000147m.g	1689
ChCC-v11000148m.g	1699
ChCC-v11000149m.g	4168
ChCC-v11000151m.g	2633
ChCC-v11000152m.g	19824
ChCC-v11000153m.g	4205
ChCC-v11000159m.g	227
ChCC-v11000161m.g	2138
ChCC-v11000163m.g	3030
ChCC-v11000165m.g	5033
ChCC-v11000166m.g	2967
ChCC-v11000167m.g	3496
ChCC-v11000168m.g	2607
ChCC-v11000170m.g	1864
ChCC-v11000171m.g	1551
ChCC-v11000173m.g	3016
ChCC-v11000176m.g	5021
ChCC-v11000177m.g	2659
ChCC-v11000178m.g	2597
ChCC-v11000179m.g	10328
ChCC-v11000182m.g	3584
ChCC-v11000185m.g	4994
ChCC-v11000186m.g	8674
ChCC-v11000189m.g	1263
ChCC-v11000197m.g	3128
ChCC-v11000205m.g	4989
ChCC-v11000212m.g	10542
ChCC-v11000217m.g	3662
ChCC-v11000220m.g	8603
ChCC-v11000221m.g	787
ChCC-v11000224m.g	1573
ChCC-v11000227m.g	8666
ChCC-v11000231m.g	9401
ChCC-v11000236m.g	3119
ChCC-v11000238m.g	341
ChCC-v11000240m.g	3058
ChCC-v11000241m.g	3547
ChCC-v11000243m.g	581
ChCC-v11000244m.g	1483
ChCC-v11000246m.g	2116
ChCC-v11000248m.g	4803
ChCC-v11000250m.g	12010
ChCC-v11000264m.g	2459
ChCC-v11000265m.g	1255
ChCC-v11000266m.g	2063
ChCC-v11000268m.g	3332
ChCC-v11000270m.g	5567
ChCC-v11000271m.g	1045
ChCC-v11000274m.g	1685
ChCC-v11000275m.g	2304
ChCC-v11000277m.g	3371
ChCC-v11000288m.g	1822
ChCC-v11000290m.g	2915
ChCC-v11000301m.g	5108
ChCC-v11000304m.g	1549
ChCC-v11000306m.g	1862
ChCC-v11000308m.g	977
ChCC-v11000310m.g	2124
ChCC-v11000314m.g	503
ChCC-v11000315m.g	590
ChCC-v11000316m.g	1538
ChCC-v11000318m.g	3159
ChCC-v11000322m.g	2543
ChCC-v11000323m.g	2986
ChCC-v11000325m.g	2115
ChCC-v11000327m.g	1151
ChCC-v11000329m.g	1153
ChCC-v11000332m.g	2662
ChCC-v11000333m.g	5605
ChCC-v11000335m.g	1059
ChCC-v11000336m.g	3405
ChCC-v11000344m.g	405
ChCC-v11000347m.g	3880
ChCC-v11000349m.g	1546
ChCC-v11000350m.g	1219
ChCC-v11000351m.g	1505
ChCC-v11000353m.g	1812
ChCC-v11000354m.g	3617
ChCC-v11000357m.g	2246
ChCC-v11000358m.g	780
ChCC-v11000359m.g	6210
ChCC-v11000360m.g	2834
ChCC-v11000361m.g	3142
ChCC-v11000362m.g	6068
ChCC-v11000365m.g	2876
ChCC-v11000367m.g	2275
ChCC-v11000368m.g	3147
ChCC-v11000370m.g	3272
ChCC-v11000373m.g	4417
ChCC-v11000376m.g	2546
ChCC-v11000377m.g	1564
ChCC-v11000378m.g	4865
ChCC-v11000379m.g	2591
ChCC-v11000380m.g	4094
ChCC-v11000383m.g	2921
ChCC-v11000384m.g	1389
ChCC-v11000385m.g	3563
ChCC-v11000389m.g	1989
ChCC-v11000393m.g	1667
ChCC-v11000394m.g	1428
ChCC-v11000396m.g	5467
ChCC-v11000397m.g	6287
ChCC-v11000400m.g	3616
ChCC-v11000407m.g	2826
ChCC-v11000410m.g	3719
ChCC-v11000411m.g	2948
ChCC-v11000412m.g	1471
ChCC-v11000413m.g	1670
ChCC-v11000415m.g	838
ChCC-v11000416m.g	2492
ChCC-v11000417m.g	2464
ChCC-v11000419m.g	3696
ChCC-v11000424m.g	4944
ChCC-v11000425m.g	8113
ChCC-v11000426m.g	2734
ChCC-v11000427m.g	3100
ChCC-v11000428m.g	2969
ChCC-v11000434m.g	12334
ChCC-v11000436m.g	2089
ChCC-v11000437m.g	1338
ChCC-v11000441m.g	2094
ChCC-v11000443m.g	855
ChCC-v11000447m.g	3206
ChCC-v11000449m.g	1415
ChCC-v11000450m.g	1862
