	mean	Vm_per_gen	Vm_per_median_gen	Vm_per_mut	Vm_per_median_mut	median	abs_mean	abs_median	k0	k4	k0:k4	k0:k4_Group
ChCC-v11000010m.g	0.9497724204107738	0.0080383895652189	0.0079656266555145	0.0494801471921748	0.0711393814347873	0.61377686027955	0.9497724204107738	0.61377686027955				
ChCC-v11000011m.g	0.26513109949118	0.0066543886164214	0.0065941535812683	0.0409609568612012	0.0588910360910101	0.331403524622283	0.26513109949118	0.331403524622283	0.3493376716913434	0.5829041126751264	0.5993055531691572	(0.4, 0.8]
ChCC-v11000015m.g	-1.62873860140109	0.0112449935066024	0.0111432046544312	0.0692183340167068	0.0995176802277935	-1.29897785354824	1.62873860140109	1.29897785354824	0.1299947973434218	0.3171426381150252	0.40989378822116523	(0.4, 0.8]
ChCC-v11000021m.g	-1.4987882375310262	0.0075453372135416	0.0074770373773737	0.0464451732416709	0.0667758905851948	-1.4148600813075	1.4987882375310262	1.4148600813075	0.1182682558641064	0.4436755408065186	0.2665647415431488	(0.0, 0.4]
ChCC-v11000022m.g	0.3033818876906838	0.0007528101152756	0.000745995733614	0.0046339077012104	0.0066623352232497	0.282974880515272	0.3033818876906838	0.282974880515272	0.0521949688493964	0.2560670563358018	0.20383320524038379	(0.0, 0.4]
ChCC-v11000023m.g	0.21343299597501747	0.0007895762908328	0.0007824291044606	0.004860221164063	0.006987714201917	0.237959237514905	0.21343299597501747	0.237959237514905	0.0469426932917326	0.3164730806161496	0.1483307622889715	(0.0, 0.4]
ChCC-v11000027m.g	-0.42798519351185005	0.0012931328832163	0.0012814275396952	0.0079598537594443	0.0114441671032011	-0.498092903493431	0.42798519351185005	0.498092903493431	0.0679647491445242	0.2004860772205104	0.3389998452100552	(0.0, 0.4]
ChCC-v11000028m.g	0.21471351316086698	0.0003183360925679	0.0003154545377277	0.001959511490336	0.0028172599162944	0.24367346070812	0.21471351316086698	0.24367346070812	0.0551083652911979	0.3402108390043102	0.1619829792974342	(0.0, 0.4]
ChCC-v11000029m.g	0.2483746262281771	0.0004416548584662	0.0004376570312489	0.0027185977026549	0.0039086253762699	0.163834738113616	0.2483746262281771	0.163834738113616	0.0272580292085075	0.2138260693937169	0.12747757691938594	(0.0, 0.4]
ChCC-v11000032m.g	0.12698972318151702	0.0029820251798993	0.0029550321078243	0.0183557967220979	0.0263907869853558	0.0019508280734903	0.12698972318151702	0.0019508280734903	0.1013732205337027	0.2988059368486242	0.33926106556931834	(0.0, 0.4]
ChCC-v11000033m.g	-0.7689852971922186	0.0015931005070718	0.001578679878735	0.0098062985057251	0.0140988669082311	-0.86845369535393	0.7689852971922186	0.86845369535393	0.2615513083043738	0.4461686178943979	0.5862162819489906	(0.4, 0.8]
ChCC-v11000035m.g	0.860707454751413	0.0055610660030098	0.0055107276435469	0.0342310312459748	0.0492151807725147	0.647442662747128	0.860707454751413	0.647442662747128	0.0276137384518273	0.2148463620349137	0.12852783817368021	(0.0, 0.4]
ChCC-v11000037m.g	0.3809910944220364	0.001366631899425	0.001354261248228	0.0084122754928004	0.0120946300481395	0.0973139131193312	0.3809910944220364	0.0973139131193312	0.063031143927092	0.2420800441972882	0.26037315110420023	(0.0, 0.4]
ChCC-v11000040m.g	0.7618653258757307	0.0017974558172193	0.0017811853796814	0.0110642035554322	0.0159074020929044	0.853179452603895	0.7618653258757307	0.853179452603895	0.2340314393357344	0.6455459976491432	0.36253255412936725	(0.0, 0.4]
ChCC-v11000042m.g	0.7714287218883977	0.0033150771890429	0.0032850693547357	0.0204058917444114	0.0293382820929086	0.69439047093181	0.7714287218883977	0.69439047093181	0.2152876805630406	0.5275685724886391	0.4080752565443551	(0.4, 0.8]
ChCC-v11000048m.g	-0.4101479908614942	0.0015466899932692	0.0015326894694817	0.0095206195105	0.0136881359754736	-0.315734223315247	0.4101479908614942	0.315734223315247	0.0357210367419409	0.1367411675954659	0.2612310350282935	(0.0, 0.4]
